sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,3,15045.40234375,15.627607345581055
1,per_sample_zscore,concat,mlp,local_value_abs,1.0,7,7,263.9670104980469,2.7947967052459717
2,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,82.71365356445312,1.5318702459335327
3,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,52.54197692871094,1.1549005508422852
4,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,15.260021209716797,0.6457832455635071
5,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,140.1616973876953,1.9963934421539307
6,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,75.09310150146484,1.504716157913208
7,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,6,30324.5546875,31.965951919555664
8,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,2127.627685546875,11.604601860046387
9,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,941.307861328125,7.933274745941162
10,per_sample_zscore,concat,mlp,local_value_abs,1.0,10,10,108.68408966064453,1.5571503639221191
11,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,66.76641082763672,1.3284128904342651
12,per_sample_zscore,concat,mlp,local_value_abs,1.0,3,3,12.025077819824219,0.4351729452610016
13,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,188.1610565185547,2.0522549152374268
14,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,8,39920.52734375,40.03831481933594
15,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,6,29950.20703125,30.323246002197266
16,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,54.1055908203125,0.896434485912323
17,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,3,15018.046875,15.671818733215332
18,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,11.009090423583984,0.35119375586509705
19,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,1.4962258338928223,0.20334556698799133
20,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,105.2640609741211,1.6157788038253784
21,per_sample_zscore,concat,mlp,local_value_abs,0.875,7,8,5295.298828125,7.742329120635986
22,per_sample_zscore,concat,mlp,local_value_abs,1.0,11,11,162.84376525878906,2.0465099811553955
23,per_sample_zscore,concat,mlp,local_value_abs,1.0,12,12,188.92556762695312,2.6646952629089355
24,per_sample_zscore,concat,mlp,local_value_abs,1.0,8,8,71.9432373046875,1.5077474117279053
25,per_sample_zscore,concat,mlp,local_value_abs,1.0,3,3,52.77058410644531,0.745808482170105
26,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,77.34341430664062,1.2636786699295044
27,per_sample_zscore,concat,mlp,local_value_abs,1.0,7,7,194.77847290039062,1.9305306673049927
