sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,3,15110.724609375,15.870511054992676
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,7,7,835.6915283203125,5.71829891204834
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,52.54117965698242,1.215750813484192
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,14.41780948638916,0.5152317881584167
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,133.80845642089844,1.693532943725586
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,214.2891387939453,2.8041484355926514
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,279.71435546875,2.819173812866211
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,6,29987.09375,30.67610740661621
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,5,25018.138671875,25.7232608795166
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,12,12,691.2774658203125,4.275193214416504
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,10,10,25.22562599182129,0.7696705460548401
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,4.312180042266846,0.26644232869148254
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,3,3,66.20021057128906,0.8300550580024719
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,213.04359436035156,2.176440954208374
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,77.02885437011719,1.4419405460357666
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,123.17742919921875,2.270697832107544
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,233.71112060546875,2.0837161540985107
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,3,3,68.80858612060547,1.3453986644744873
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,7.633677959442139,0.31619793176651
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,52.83393096923828,1.209879994392395
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,325.8655700683594,2.8496904373168945
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,405.1365966796875,3.5272014141082764
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,11,11,288.3204345703125,2.6514832973480225
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,12,12,910.419189453125,6.4869065284729
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,46.97207260131836,0.7369864583015442
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,3,15011.8134765625,15.901577949523926
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,71.38789367675781,1.1846811771392822
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,7,7,215.50523376464844,2.7651138305664062
28,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,13,13,598.2972412109375,4.046112060546875
29,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,6,29946.263671875,30.227489471435547
30,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,146.004638671875,1.9568434953689575
31,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,403.4347229003906,3.584880828857422
32,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,11,11,205.54421997070312,2.8016977310180664
33,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,7,7,679.0728149414062,5.812668323516846
34,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,3,3,196.6649169921875,1.9958916902542114
35,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,81.15515899658203,1.3109416961669922
36,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,4,19961.0390625,20.081401824951172
37,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,78.4366226196289,1.079850673675537
38,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,94.29244995117188,1.4509822130203247
39,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,7,7,1096.555908203125,5.486282825469971
40,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,368.89117431640625,3.049067735671997
41,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,16,16,691.8579711914062,5.311257362365723
42,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,979.9102783203125,5.733211517333984
43,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,631.7177734375,3.980130434036255
44,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,39.99580001831055,1.1962746381759644
45,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,13.711653709411621,0.6562587022781372
46,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,132.25465393066406,1.848199725151062
47,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,7,7,861.0714721679688,5.570956230163574
48,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,7,7,124.8521728515625,1.704793095588684
49,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,0.37807121872901917,0.07025706022977829
50,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,3,3,192.1384735107422,2.30818510055542
51,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,1341.72509765625,7.178976058959961
52,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.6666666666666666,9,11,20162.58203125,22.70124053955078
53,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,1077.5318603515625,5.923885345458984
54,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,29.58502769470215,0.8713963031768799
55,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,10,10,441.9781188964844,3.641533374786377
56,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9090909090909091,10,11,6030.5810546875,11.685561180114746
57,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,14,14,531.6344604492188,4.933757781982422
58,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,11,11,238.965576171875,2.3724684715270996
59,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,18.757579803466797,0.8595960736274719
60,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,12,12,432.3406066894531,4.479598522186279
61,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,233.9095458984375,2.319962978363037
62,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,123.60384368896484,1.9383316040039062
63,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,128.62411499023438,1.7032498121261597
64,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,262.3431091308594,3.7956767082214355
65,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,747.3511352539062,7.113044738769531
66,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,929.5513916015625,7.775943279266357
67,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,296.9855041503906,2.9329335689544678
68,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.8666666666666667,13,15,12487.3798828125,22.629384994506836
69,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,16,16,475.0416259765625,4.49261999130249
70,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,181.6591796875,2.6060328483581543
71,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,90.21585845947266,1.419834852218628
72,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,3.138047695159912,0.24626079201698303
73,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,186.16226196289062,2.0931456089019775
74,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,3,15083.076171875,15.892189979553223
75,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,76.65354919433594,1.1007153987884521
76,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,597.6863403320312,4.075821876525879
77,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,10,10,378.2267761230469,3.3396072387695312
78,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,1185.864990234375,5.979426860809326
79,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,13,13,227.73834228515625,2.5614330768585205
80,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,229.628662109375,1.9920083284378052
81,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,17,17,1699.91455078125,10.162471771240234
82,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,618.0355224609375,5.232134819030762
83,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,221.45135498046875,1.9704864025115967
84,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,10,10,366.7156982421875,3.6509482860565186
85,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,17.186777114868164,0.532547116279602
86,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,17,17,1038.8394775390625,7.115074157714844
87,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,15,15,892.3050537109375,5.858614921569824
88,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,607.7151489257812,5.381993293762207
89,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,82.29277801513672,1.679197072982788
90,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,46.82041549682617,1.0877856016159058
91,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,3,3,103.68892669677734,1.5128881931304932
92,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.875,7,8,5209.12841796875,7.588011264801025
93,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,10,10,1558.0643310546875,10.983846664428711
94,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,595.9156494140625,4.531589508056641
95,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,150.94754028320312,1.610160231590271
96,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,356.0306701660156,2.9190926551818848
97,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,5,24951.009765625,25.225032806396484
98,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,6,6,112.05604553222656,1.3807309865951538
99,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,10,10,125.61690521240234,2.1008810997009277
100,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,13,13,787.7001342773438,5.496063709259033
101,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,17,17,1154.5770263671875,6.63739013671875
102,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,14,14,745.1312255859375,4.987921237945557
103,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,4,19967.298828125,20.33527374267578
104,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.875,7,8,5579.3603515625,10.090858459472656
105,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.9230769230769231,12,13,5647.71533203125,9.857094764709473
106,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.0,0,4,20058.46484375,20.768217086791992
107,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,436.25927734375,4.092852592468262
108,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,262.2740478515625,2.587514877319336
109,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,359.38568115234375,2.689603567123413
110,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,5,5,741.6043701171875,4.220983982086182
111,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,13,13,907.7876586914062,5.03273868560791
112,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,7,7,610.5654907226562,5.021660804748535
113,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,931.1932373046875,6.117515563964844
114,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,9,9,145.4794158935547,1.8467971086502075
115,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,21.30908203125,0.557774007320404
116,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,8,8,287.9014892578125,2.858219623565674
117,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,2,2,41.98927688598633,0.9312020540237427
118,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.875,8,7,5703.96728515625,9.592341423034668
119,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,11,11,757.14794921875,6.257074356079102
120,per_sample_zscore,raw,concat,mlp,none,mu_threshold,1.0,4,4,145.1610870361328,1.931477427482605
121,per_sample_zscore,raw,concat,mlp,none,mu_threshold,0.6666666666666666,2,3,5352.8388671875,7.943589687347412
