sample_index,threshold_area,provided_mask_area,area_diff,mask_iou,mismatch_count,has_mu_maps,has_masks
0,1625,1625,0,1.0,0,True,True
1,2817,2817,0,1.0,0,True,True
2,2205,2205,0,1.0,0,True,True
3,1907,1907,0,1.0,0,True,True
4,3563,3563,0,1.0,0,True,True
5,1818,1818,0,1.0,0,True,True
6,1316,1316,0,1.0,0,True,True
7,2001,2001,0,1.0,0,True,True
8,2732,2732,0,1.0,0,True,True
9,1586,1586,0,1.0,0,True,True
10,1157,1157,0,1.0,0,True,True
11,2104,2104,0,1.0,0,True,True
12,1427,1427,0,1.0,0,True,True
13,2768,2768,0,1.0,0,True,True
14,3612,3612,0,1.0,0,True,True
15,2600,2600,0,1.0,0,True,True
16,2670,2670,0,1.0,0,True,True
17,2213,2213,0,1.0,0,True,True
18,1956,1956,0,1.0,0,True,True
19,1777,1777,0,1.0,0,True,True
20,1499,1499,0,1.0,0,True,True
21,1450,1450,0,1.0,0,True,True
22,2304,2304,0,1.0,0,True,True
23,2990,2990,0,1.0,0,True,True
24,2219,2219,0,1.0,0,True,True
25,1643,1643,0,1.0,0,True,True
26,1529,1529,0,1.0,0,True,True
27,2186,2186,0,1.0,0,True,True
28,1299,1299,0,1.0,0,True,True
29,4305,4305,0,1.0,0,True,True
30,1999,1999,0,1.0,0,True,True
31,3313,3313,0,1.0,0,True,True
32,1391,1391,0,1.0,0,True,True
33,3232,3232,0,1.0,0,True,True
34,2961,2961,0,1.0,0,True,True
35,2423,2423,0,1.0,0,True,True
36,3291,3291,0,1.0,0,True,True
37,2268,2268,0,1.0,0,True,True
38,2434,2434,0,1.0,0,True,True
39,3373,3373,0,1.0,0,True,True
40,3080,3080,0,1.0,0,True,True
41,2163,2163,0,1.0,0,True,True
42,2308,2308,0,1.0,0,True,True
43,2843,2843,0,1.0,0,True,True
44,2904,2904,0,1.0,0,True,True
45,2613,2613,0,1.0,0,True,True
46,1813,1813,0,1.0,0,True,True
47,3897,3897,0,1.0,0,True,True
48,1074,1074,0,1.0,0,True,True
49,2551,2551,0,1.0,0,True,True
