sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9287833827893175,1625,1625,14274.95703125,72.57994079589844
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9747545582047685,2815,2817,9680.763671875,60.514774322509766
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9299645390070922,2149,2205,14029.955078125,70.73667907714844
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9207317073170732,1873,1907,16095.4560546875,78.62782287597656
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9588965517241379,3538,3563,13279.9365234375,69.599853515625
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.959051724137931,1818,1818,9805.171875,55.340911865234375
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9712773998488284,1292,1316,6231.6103515625,44.1339111328125
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9718379446640316,1990,2001,7792.107421875,50.70795440673828
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9690424766018718,2738,2732,10464.3515625,62.91617965698242
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9664179104477612,1576,1586,7416.32861328125,46.135643005371094
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.08745583038869258,2536,1157,97988.9921875,234.36424255371094
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.19372266529457166,2536,2104,96362.28125,232.73590087890625
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.18016676593210243,2536,1427,92707.6796875,229.07762145996094
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.30576070901033975,2536,2768,99054.109375,235.43040466308594
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.6656732592793281,2536,3612,79862.1171875,216.21922302246094
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.22402287893231648,2536,2600,107799.171875,244.1842498779297
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5480225988700564,2536,2670,82173.0078125,218.5323944091797
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5565388397246804,2536,2213,80589.4375,216.94728088378906
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5895258315640481,2536,1956,79745.7421875,216.1027069091797
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4215557020435069,2536,1777,83348.6484375,219.709228515625
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23583460949464014,2536,1499,91563.671875,227.9324951171875
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.1637956204379562,2536,1450,93337.3046875,229.70790100097656
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.38801261829652994,2536,2304,85182.0234375,221.54444885253906
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5077762619372442,2536,2990,84107.09375,220.4684295654297
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.43525505584062785,2536,2219,85608.65625,221.97149658203125
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.17552742616033756,2536,1643,93284.8125,229.6553192138672
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.42832044975404077,2536,1529,82599.4765625,218.9593048095703
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.46645962732919255,2536,2186,84361.6484375,220.72325134277344
