sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9262435677530018,1744,1625,7974.3056640625,44.165645599365234
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.963013698630137,2915,2817,13281.9228515625,69.68800354003906
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9274809160305344,2340,2205,11925.9580078125,60.62908935546875
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9174757281553398,2043,1907,10373.8818359375,52.96522521972656
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9667574931880109,3655,3563,13855.48046875,75.85874938964844
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9472573839662447,1874,1818,13214.6171875,72.52122497558594
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9533527696793003,1364,1316,7132.255859375,47.70463562011719
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9551807228915663,2056,2001,9656.2138671875,58.57826232910156
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9577910657755891,2834,2732,14752.6669921875,75.72777557373047
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9085648148148148,1712,1586,10905.48046875,57.814754486083984
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.09673999469917838,2981,1157,101979.90625,231.16990661621094
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.22855762261415802,2981,2104,98377.03125,227.5634307861328
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.20965971459934138,2981,1427,96053.703125,225.23777770996094
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3200918484500574,2981,2768,99074.875,228.26197814941406
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.7590715048025614,2981,3612,75495.7890625,204.65927124023438
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23037918871252205,2981,2600,107560.421875,236.75599670410156
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5606186136426402,2981,2670,81091.0,210.26010131835938
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.559291504052837,2981,2213,80228.015625,209.396240234375
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5638264174849541,2981,1956,79563.0703125,208.73062133789062
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.40312592155706284,2981,1777,84483.03125,213.65550231933594
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2556053811659193,2981,1499,94426.2265625,223.60867309570312
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.19595141700404858,2981,1450,96281.71875,225.4660186767578
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4380952380952381,2981,2304,85120.4453125,214.2935791015625
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5193384223918575,2981,2990,82710.9140625,211.88162231445312
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4352746342809826,2981,2219,85680.6875,214.8543701171875
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.21269341725675323,2981,1643,95899.453125,225.0833740234375
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.410697528933375,2981,1529,84166.375,213.33853149414062
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4493688639551192,2981,2186,84337.640625,213.50994873046875
28,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4247669773635153,2981,1299,83204.015625,212.3751983642578
29,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5695820766910814,2981,4305,85619.8125,214.79342651367188
30,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25916561314791403,2981,1999,97867.0234375,227.05291748046875
31,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.6810897435897436,2981,3313,77558.21875,206.7237548828125
32,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.15814569536423842,2981,1391,100797.0546875,229.98585510253906
33,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.7756501857673621,2981,3232,73791.8046875,202.9535675048828
34,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.6315211422295443,2981,2961,79580.6875,208.74826049804688
35,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5011111111111111,2981,2423,83256.3671875,212.42759704589844
36,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4887253738428673,2981,3291,87557.0078125,216.73260498046875
37,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.7473368841544608,2981,2268,74667.5078125,203.83016967773438
38,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.6509146341463414,2981,2434,77553.703125,206.71923828125
39,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4759581881533101,2981,3373,86699.9921875,215.87469482421875
40,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3486871384067646,2981,3080,99075.5859375,228.26268005371094
41,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.6582849774339136,2981,2163,76845.0078125,206.00985717773438
42,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.476137315099079,2981,2308,84272.6640625,213.44493103027344
43,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.46552591847005537,2981,2843,86447.0859375,215.6215057373047
44,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.34146341463414637,2981,2904,94813.4375,223.99624633789062
45,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4484722941481098,2981,2613,86317.3828125,215.49169921875
46,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5514563106796116,2981,1813,79468.984375,208.63644409179688
47,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5656726610516731,2981,3897,87347.25,216.52259826660156
48,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.13331470095025152,2981,1074,97739.890625,226.92564392089844
49,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24819494584837545,2981,2551,98555.9609375,227.7425537109375
