sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.8784764207980653,1482,1625,4565.77587890625,12.373603820800781
1,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.9435540069686411,2761,2817,5089.34814453125,17.265235900878906
2,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.8714408973252804,2133,2205,6166.70751953125,16.11140251159668
3,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.8766001024065541,1758,1907,4359.875,13.567251205444336
4,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.9117965367965368,3503,3563,6694.2314453125,17.37300682067871
5,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.8757894736842106,1746,1818,5856.2177734375,18.563365936279297
6,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.9344262295081968,1280,1316,3306.442138671875,7.664709568023682
7,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.9275996112730807,1966,2001,4005.503173828125,11.046502113342285
8,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.9235188509874327,2625,2732,5543.6923828125,18.62199592590332
9,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.9063829787234042,1550,1586,3538.63525390625,8.712737083435059
10,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.1025995575221239,2830,1157,80037.09375,146.1836700439453
11,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.18748495788206979,2830,2104,91546.0625,157.7041473388672
12,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.16598192276088744,2830,1427,76543.0234375,142.68609619140625
13,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.32309146773812336,2830,2768,94349.84375,160.51075744628906
14,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.707847295864263,2830,3612,59093.453125,125.21907806396484
15,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.24541284403669725,2830,2600,100698.8515625,166.86611938476562
16,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.5492957746478874,2830,2670,56278.66796875,122.40145874023438
17,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.5139597718402882,2830,2213,49034.00390625,115.1495361328125
18,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.5884500497842682,2830,1956,39079.6875,105.18526458740234
19,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.43074534161490685,2830,1777,48080.80078125,114.19538879394531
20,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.2680140597539543,2830,1499,69599.078125,135.73519897460938
21,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.17550123592419664,2830,1450,76906.46875,143.04991149902344
22,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.38831800973499186,2830,2304,63577.1015625,129.70721435546875
23,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.5417218543046357,2830,2990,59636.3984375,125.76253509521484
24,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.45714285714285713,2830,2219,56937.37109375,123.0608139038086
25,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.17309205350118018,2830,1643,80853.3359375,147.000732421875
26,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.43435340572556763,2830,1529,47397.90234375,113.51181030273438
27,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.47572815533980584,2830,2186,52041.28125,118.15982818603516
28,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.4447165850244926,2830,1299,40247.921875,106.35467529296875
29,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.5919232485497545,2830,4305,82369.5625,148.51846313476562
30,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.2382051282051282,2830,1999,85690.5859375,151.8428192138672
31,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.7116188353301756,2830,3313,55290.328125,121.41214752197266
32,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.11725780836421387,2830,1391,84840.359375,150.9917449951172
33,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.7945529899348727,2830,3232,47228.9140625,113.3426513671875
34,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.6377262443438914,2830,2961,54583.59765625,120.7046890258789
35,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.5204052098408104,2830,2423,55095.7109375,121.21732330322266
36,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.5087503081094404,2830,3291,73157.453125,139.29714965820312
37,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.7182339063026626,2830,2268,35905.81640625,102.00820922851562
38,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.6828644501278772,2830,2434,42291.30859375,108.40011596679688
39,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.4402136057580683,2830,3373,79581.2578125,145.7273712158203
40,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.36300738007380073,2830,3080,93160.828125,159.32052612304688
41,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.6856853477380148,2830,2163,37039.91796875,103.14344787597656
42,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.4992704989786986,2830,2308,55093.08984375,121.21467590332031
43,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.49014972419227737,2830,2843,64836.69921875,130.9680633544922
44,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.3037744429286039,2830,2904,92022.2734375,158.18084716796875
45,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.40900854258348435,2830,2613,69636.3671875,135.77252197265625
46,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.5906132237067488,2830,1813,38528.37890625,104.63341522216797
47,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.5354941794110933,2830,3897,82881.6484375,149.03106689453125
48,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.13257905425007252,2830,1074,73315.4453125,139.45530700683594
49,per_sample_zscore,raw,concat,mlp,none,direct,mu_threshold,0.25930259770652936,2830,2551,91536.8046875,157.6949005126953
