sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9110481586402266,1748,1625,15950.263671875,85.06079864501953
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9644091223220456,2868,2817,11877.15234375,75.42877197265625
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9240397065170479,2253,2205,20235.40234375,99.96966552734375
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9285009861932939,2004,1907,15043.0498046875,78.68896484375
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9448669201520913,3598,3563,21896.216796875,105.45431518554688
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9223200414293112,1894,1818,15825.9921875,82.30054473876953
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9558173784977909,1340,1316,6487.88037109375,49.688507080078125
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9471153846153846,2049,2001,10011.98828125,63.67167663574219
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9650997150997151,2786,2732,12354.2373046875,77.12057495117188
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.9201905896366885,1638,1586,12366.4091796875,73.82891845703125
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.10104618525133963,3158,1157,104297.859375,244.7695770263672
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2294392523364486,3158,2104,100347.96875,240.81570434570312
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2236455831331732,3158,1427,97437.640625,237.90245056152344
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.33498535706240146,3158,2768,100526.2890625,240.99420166015625
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.7755048518227118,3158,3612,76072.9375,216.51637268066406
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23139435414884515,3158,2600,112232.0859375,252.71173095703125
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5776935571196535,3158,2670,81403.65625,221.85243225097656
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5527609135588321,3158,2213,80991.203125,221.4395751953125
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5338932213557288,3158,1956,80646.0,221.093994140625
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.400794777178541,3158,1777,84968.15625,225.42050170898438
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.26686615886833515,3158,1499,95547.5625,236.010498046875
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.19595120685180378,3158,1450,97947.8515625,238.41319274902344
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.43888303477344576,3158,2304,85910.625,226.36390686035156
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5024437927663734,3158,2990,84431.5703125,224.88340759277344
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.43348440415889095,3158,2219,87143.3828125,227.597900390625
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.21329289866060147,3158,1643,97402.4453125,237.86724853515625
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4181543116490166,3158,1529,85137.359375,225.58987426757812
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.44432432432432434,3158,2186,84980.5625,225.43292236328125
28,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4037795275590551,3158,1299,83538.0390625,223.98895263671875
29,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5885483184333758,3158,4305,86716.6640625,227.17074584960938
30,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.27270483711747284,3158,1999,98417.9609375,238.88377380371094
31,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.7033429849960516,3158,3313,77550.15625,217.99510192871094
32,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.17363261093911248,3158,1391,102563.5078125,243.033447265625
33,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.7492471940870518,3158,3232,75222.828125,215.6654052734375
34,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.6404825737265416,3158,2961,79628.546875,220.07554626464844
35,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5071563597083446,3158,2423,84174.859375,224.62640380859375
36,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5081852198316184,3158,3291,88468.65625,228.92449951171875
37,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.7079005350960025,3158,2268,75909.1484375,216.35240173339844
38,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.6618127786032689,3158,2434,77734.8515625,218.17994689941406
39,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.4749322493224932,3158,3373,87838.7421875,228.29397583007812
40,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.36558669001751315,3158,3080,100487.5390625,240.95542907714844
41,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.6183090024330901,3158,2163,77900.0390625,218.34530639648438
42,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.48451928299837044,3158,2308,84702.0,225.1540985107422
43,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.46330163374786637,3158,2843,88355.2109375,228.81094360351562
44,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3453173546382601,3158,2904,96059.59375,236.52305603027344
45,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.44927172275238575,3158,2613,87053.5625,227.50799560546875
46,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.5375811939375194,3158,1813,79915.0078125,220.36231994628906
47,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.58006718924972,3158,3897,88251.265625,228.70689392089844
48,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.12076271186440678,3158,1074,99275.71875,239.74240112304688
49,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2544495715227423,3158,2551,99390.7109375,239.8574981689453
