sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3458646616541353,1005,964,67398.390625,221.15597534179688
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23529411764705882,1071,1092,80845.5078125,243.90045166015625
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.33285233285233284,1643,1128,65421.93359375,212.6362762451172
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.31724627395315824,924,932,66933.9921875,220.5550537109375
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23472301541976015,1096,1066,80936.5625,243.80117797851562
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3291075050709939,1517,1104,65084.44140625,214.85455322265625
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3276872964169381,998,1040,68458.9296875,222.67398071289062
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2556390977443609,1141,1030,74218.953125,230.9232940673828
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3249357326478149,1497,1080,65104.08203125,214.8837432861328
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.35128036769533816,1050,1008,67421.78125,221.11363220214844
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23889209463358338,1143,1004,79737.125,241.67320251464844
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.33287671232876714,1723,1196,66786.53125,216.72842407226562
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.36171617161716174,1067,996,68567.2421875,223.99075317382812
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.21907060953530477,1042,978,78352.6875,239.46702575683594
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3301060396496081,1713,1172,66677.71875,215.4414520263672
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3609986504723347,1053,964,67900.1953125,222.04969787597656
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23577680525164113,1167,1092,83146.7578125,247.47735595703125
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3187817258883249,1470,1128,64812.1796875,212.92977905273438
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.30906495360456815,902,932,65517.29296875,217.33486938476562
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24015748031496062,1139,1066,82817.90625,248.36207580566406
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.33166081284495735,1550,1104,64788.28125,213.3231964111328
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3346328784925276,1014,1040,70176.859375,225.9093780517578
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2574712643678161,1158,1030,77243.4921875,237.17764282226562
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3255234297108674,1579,1080,65805.078125,216.4815216064453
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3348868175765646,997,1008,69115.109375,225.22129821777344
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.32555205047318614,1038,1063,68794.53125,223.0322723388672
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.26475365457498645,1155,1181,77680.3515625,236.89889526367188
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.32066869300911854,1510,1097,64311.28125,211.9813690185547
28,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.36061381074168797,1081,1047,67775.59375,221.57275390625
29,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23535851122058019,1107,1150,80274.6484375,241.6414031982422
30,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2964718272775145,1404,1058,63878.84765625,211.30706787109375
31,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3484455958549223,1072,1010,68820.3125,223.093017578125
32,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24568527918781727,1174,1280,83621.8125,247.1012725830078
33,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.30413756045137025,1368,1059,63478.625,210.69540405273438
34,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.30133333333333334,977,975,69735.4453125,224.74581909179688
35,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25892857142857145,1147,1250,90632.0625,263.1799621582031
36,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2951351351351351,1378,1018,62573.29296875,209.38177490234375
37,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.33002481389578164,1046,1098,72399.6328125,229.18785095214844
38,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.29010416666666666,1265,1212,81290.2265625,244.19847106933594
39,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.32163080407701017,1355,979,62724.0625,210.3424530029297
40,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3157894736842105,1037,1063,70702.4609375,227.27694702148438
41,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2549234135667396,1113,1181,77350.4921875,236.10894775390625
42,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.33026584867075665,1505,1097,64013.00390625,210.14759826660156
43,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.34585987261146495,1066,1047,66075.796875,217.86929321289062
44,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2420591456736035,1118,1150,81432.765625,244.32965087890625
45,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.32466181061394384,1488,1058,63921.40234375,210.13201904296875
46,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.34212261041529335,1026,1010,67809.7734375,221.75985717773438
47,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2532433834976648,1135,1280,84017.84375,248.75942993164062
48,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3123678646934461,1424,1059,63464.19140625,210.4480438232422
49,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.30589022757697454,976,975,69760.8203125,225.0074005126953
50,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2901840490797546,1029,1074,73331.59375,230.93788146972656
51,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2690951821386604,1132,1028,78844.5546875,240.76622009277344
52,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3224043715846995,1474,946,62926.92578125,208.90988159179688
53,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.31032412965186074,999,1184,70305.2890625,224.87484741210938
54,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.26089449541284404,1195,1004,74829.0546875,232.56504821777344
55,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2841100505334082,1368,919,63310.1328125,211.2938995361328
56,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3047158403869408,995,1163,76404.15625,240.11160278320312
57,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25441265976871574,1086,975,73624.8125,230.98178100585938
58,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.30804248861911987,1556,1030,64458.06640625,212.79248046875
59,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3609907120743034,1083,1115,67318.1953125,220.17300415039062
60,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24066135946111453,1075,951,78458.109375,239.985595703125
61,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3093601269169751,1473,1003,63462.82421875,208.3218536376953
62,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.33065512978986406,1061,1092,69610.7578125,224.2382049560547
63,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24289855072463767,1091,1053,76362.2109375,235.44012451171875
64,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3130482456140351,1422,973,62734.40625,208.67929077148438
65,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.28344958782498414,950,1074,71468.15625,227.99948120117188
66,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2566628041714948,1141,1028,75246.234375,233.4958038330078
67,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.31146637265711136,1433,946,62674.0234375,208.91836547851562
68,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.32290436835891384,1057,1184,73743.734375,231.6939697265625
69,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.26288056206088994,1153,1004,75083.625,233.4591064453125
70,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3163377192982456,1482,919,62755.34765625,208.72166442871094
71,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.30917592051431914,1077,1163,70071.4375,224.33792114257812
72,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2561340514661879,1124,975,77320.8671875,237.07569885253906
73,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3140412682435833,1581,1030,64157.0703125,210.46389770507812
74,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.36737235367372356,1081,1115,67091.109375,219.79287719726562
75,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3643801132787917,1097,1071,66710.4921875,219.08450317382812
76,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2545018007202881,1103,987,79832.4453125,242.27842712402344
77,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3389455028799291,1788,1234,67148.4140625,216.4436798095703
78,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3371868978805395,1054,1028,69200.2265625,223.78469848632812
79,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25268817204301075,1215,1115,83142.4921875,247.18385314941406
80,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3396044380125422,1575,1202,65374.22265625,212.78030395507812
81,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2905982905982906,970,993,71445.3125,228.3158721923828
82,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2556179775280899,1157,1078,76570.1796875,235.05599975585938
83,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3457807953443259,1607,1168,65337.86328125,213.99240112304688
84,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.32478097622027535,1004,1113,69954.796875,224.95660400390625
85,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2572062084257206,1207,1061,76143.6953125,234.49595642089844
86,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3427073403241182,1677,1140,65178.765625,213.6228485107422
87,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.32838589981447125,1078,1070,70830.6171875,227.31723022460938
88,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.26187717265353416,1154,1024,76207.1953125,234.85765075683594
89,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3312883435582822,1773,1265,67220.7578125,216.69610595703125
90,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.35964912280701755,1099,1071,66849.9765625,219.6294708251953
91,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2605294825511432,1108,987,80437.0703125,243.69764709472656
92,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.33716814159292036,1788,1234,66974.921875,215.82667541503906
93,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3193818415969092,1021,1028,68247.515625,221.7575225830078
94,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24571734475374732,1212,1115,81953.6484375,245.38650512695312
95,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3408221797323136,1603,1202,65668.984375,213.6145477294922
96,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2901960784313726,981,993,69957.21875,224.6278076171875
97,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2609427609427609,1169,1078,81688.640625,245.93572998046875
98,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.3494598403006106,1705,1168,65566.0390625,214.2158966064453
99,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.33414932680538556,1067,1113,71881.015625,228.14234924316406
