sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.26278944534194937,1381,964,79665.6796875,242.04429626464844
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24021792966815256,1412,1092,92603.2734375,266.4623107910156
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.18607954545454544,1377,1128,103976.796875,293.4761962890625
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24779735682819384,1334,932,80146.1015625,243.05917358398438
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.224,1382,1066,91356.5,262.6482849121094
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.18479307025986524,1358,1104,102209.203125,289.0766296386719
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2612704918032787,1422,1040,83691.109375,249.6533966064453
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2560163850486431,1423,1030,80182.703125,241.5864715576172
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.1811138014527845,1359,1080,102939.6484375,290.5321044921875
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24868004223864837,1357,1008,81222.328125,243.42288208007812
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24193548387096775,1383,1004,84454.3828125,250.51939392089844
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2036299247454626,1523,1196,98606.484375,281.6388244628906
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2767950052029136,1458,996,77542.9921875,236.17825317382812
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.22599164926931106,1371,978,89812.375,261.6037292480469
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.19825608077099588,1439,1172,104897.0078125,294.3575134277344
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.26199460916442047,1377,964,78497.84375,239.5798797607422
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24199112863479547,1428,1092,92127.2578125,265.56414794921875
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.18696883852691218,1386,1128,101081.1015625,288.4434509277344
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24712957900492072,1349,932,78225.859375,238.79220581054688
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.22526106414719047,1398,1066,93194.390625,266.3633728027344
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.18357487922705315,1346,1104,101593.7421875,288.19281005859375
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.260801665799063,1382,1040,83138.1171875,248.73068237304688
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2567703109327984,1476,1030,82937.3125,245.7498321533203
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.1825242718446602,1356,1080,99228.0859375,284.50079345703125
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.24868835257082897,1372,1008,83877.2734375,249.2091064453125
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23809523809523808,1355,1063,84637.2578125,249.5779266357422
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2709497206703911,1549,1181,88877.015625,258.02325439453125
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.20027752081406106,1498,1097,98181.34375,282.9182434082031
28,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2682801235839341,1416,1047,80147.453125,241.46717834472656
29,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25059552167698906,1475,1150,91670.296875,263.9314880371094
30,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.189873417721519,1386,1058,100119.0390625,287.2206726074219
31,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.25296239052035036,1422,1010,80175.171875,241.61204528808594
32,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.2659917165209388,1471,1280,94463.265625,268.9876403808594
33,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.18045476536042573,1381,1059,97753.921875,281.91217041015625
34,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,0.23613312202852615,1365,975,81965.4375,245.9542236328125
