sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,964,214971.4375,463.3330993652344
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1092,215534.640625,463.9018859863281
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1128,215717.53125,464.0887451171875
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,932,214857.671875,463.2207946777344
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1066,215401.109375,463.76495361328125
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1104,215630.75,464.002685546875
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1040,215264.28125,463.6252136230469
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1030,215257.515625,463.6214904785156
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1080,215649.6875,464.0329895019531
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1008,215157.609375,463.5201416015625
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1004,215165.921875,463.5310974121094
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1196,215925.34375,464.2903137207031
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,996,215109.203125,463.4718933105469
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,978,215058.15625,463.4230651855469
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1172,215921.96875,464.295654296875
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,964,214989.3125,463.3527526855469
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1092,215501.75,463.8657531738281
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1128,215689.78125,464.0581359863281
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,932,214851.96875,463.21453857421875
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1066,215413.96875,463.779052734375
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1104,215566.875,463.9324645996094
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1040,215280.359375,463.6428527832031
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1030,215273.65625,463.6392517089844
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1080,215499.828125,463.8682556152344
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1008,215172.484375,463.5364990234375
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1063,215372.875,463.7349853515625
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1181,215845.9375,464.20928955078125
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1097,215537.8125,463.9034118652344
28,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1047,215316.40625,463.6794128417969
29,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1150,215726.6875,464.0905456542969
30,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1058,215371.671875,463.73565673828125
31,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1010,215166.59375,463.5293884277344
32,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1280,216232.1875,464.59490966796875
33,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1059,215396.9375,463.76361083984375
34,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,975,215022.078125,463.38446044921875
35,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1250,216153.46875,464.51983642578125
36,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1018,215177.578125,463.5385437011719
37,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1098,215517.5625,463.8807067871094
38,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1212,216026.3125,464.3953857421875
39,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,979,215156.453125,463.5305480957031
40,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1063,215375.4375,463.73779296875
41,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1181,215852.21875,464.2161560058594
42,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1097,215596.0625,463.9674987792969
43,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1047,215302.546875,463.6642150878906
44,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1150,215722.90625,464.0863952636719
45,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1058,215545.1875,463.9263916015625
46,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1010,215168.0,463.5309143066406
47,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1280,216268.0625,464.6344909667969
48,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1059,215367.0625,463.730712890625
49,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,975,215028.9375,463.3919982910156
50,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1074,215417.65625,463.7806091308594
51,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1028,215247.96875,463.61175537109375
52,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,946,214911.1875,463.2735900878906
53,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1184,215858.375,464.2217102050781
54,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1004,215153.234375,463.5172424316406
55,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,919,214845.109375,463.2115478515625
56,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1163,215779.046875,464.1423645019531
57,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,975,215039.390625,463.4035949707031
58,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1030,215306.421875,463.67498779296875
59,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1115,215575.6875,463.9378967285156
60,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,951,214936.34375,463.2998962402344
61,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1003,215492.09375,463.8890075683594
62,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1092,215484.828125,463.8471984863281
63,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1053,215338.625,463.7019348144531
64,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,973,215009.15625,463.3707580566406
65,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1074,215442.515625,463.8079528808594
66,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1028,215241.75,463.6048583984375
67,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,946,214948.609375,463.31463623046875
68,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1184,215855.640625,464.21868896484375
69,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1004,215141.890625,463.5047912597656
70,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,919,214857.390625,463.22509765625
71,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,focal_bce,0.0,0,1163,215773.71875,464.1365051269531
