sample_index,signal_normalization,signal_feature_mode,conditioning_mode,encoder_type,point_signal_mode,mask_head_mode,mask_source,mask_bce_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
0,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,964,156759.234375,392.6767883300781
1,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1092,157502.984375,393.1426086425781
2,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1128,156253.125,391.26031494140625
3,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,932,153507.859375,388.3821105957031
4,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1066,158834.953125,395.068359375
5,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1104,154892.984375,389.4921569824219
6,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1040,158185.9375,394.29400634765625
7,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1030,157049.796875,392.7926025390625
8,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1080,155673.265625,390.6817626953125
9,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1008,157413.203125,393.3790588378906
10,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1004,157887.5625,394.0411071777344
11,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1196,161915.953125,398.70550537109375
12,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,996,157972.703125,394.187255859375
13,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,978,154483.25,389.51275634765625
14,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1172,156784.890625,391.79083251953125
15,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,964,156360.765625,392.1358642578125
16,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1092,156385.328125,391.6090087890625
17,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1128,161850.828125,398.88958740234375
18,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,932,153429.765625,388.27496337890625
19,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1066,159630.96875,396.1460876464844
20,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1104,155956.859375,390.9623107910156
21,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1040,158312.9375,394.46636962890625
22,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1030,157592.21875,393.5309143066406
23,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1080,155665.78125,390.67144775390625
24,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1008,155930.71875,391.3594970703125
25,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1063,159385.59375,395.8239440917969
26,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1181,162310.5,399.3053894042969
27,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1097,159286.140625,395.5484619140625
28,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1047,158743.046875,395.0193176269531
29,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1150,161213.3125,397.94732666015625
30,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1058,158261.34375,394.31787109375
31,per_sample_zscore,raw,concat,mlp,none,mu_threshold,mu_threshold,bce,0.0,0,1010,158007.0625,394.1758117675781
