group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean
defect_type=rectangular_notch,train,54,0.8549735189082134,0.9209264787775382,0.1226379228224425,0.6943530503727607,454.44444444444446,521.6666666666666,0,0.08335204684623966
defect_type=rotated_rect,train,54,0.8010109526484991,0.8884181780607956,0.16418895562162034,0.6982455850232696,332.5740740740741,397.037037037037,0,0.12022335144380729
defect_type=polygon,train,54,0.8474124609789477,0.9166858159617819,0.10808822244904547,0.5856663304945195,345.68518518518516,389.44444444444446,0,0.09036137784520785
defect_type=rectangular_notch,val,13,0.6650529386572624,0.7944673180359596,0.29209278909148595,2.4676315496697216,364.53846153846155,326.9230769230769,0,0.31804031362900365
defect_type=rotated_rect,val,13,0.6487994911459722,0.7814962799185431,0.23598848872439765,2.4868015046958614,403.61538461538464,455.15384615384613,0,0.3172408886826955
defect_type=polygon,val,13,0.6538665371452445,0.7846105397948749,0.13181500546909108,3.01569679727694,362.7692307692308,388.6923076923077,0,0.36092939858253187
defect_type=rectangular_notch,test,13,0.6525603305255032,0.7865550007571482,0.22153134432254962,2.3393761040584624,364.15384615384613,367.0769230769231,0,0.34072137337464553
defect_type=rotated_rect,test,13,0.6055593694922172,0.7480587802102955,0.16240865029629487,3.1255250685843396,208.07692307692307,239.23076923076923,0,0.33038512674661785
defect_type=polygon,test,13,0.570808683418284,0.7165370299379478,0.2572114816064166,3.376831908368728,304.2307692307692,400.6923076923077,0,0.5113232468183224
defect_type=rectangular_notch,all,80,0.7912192815052437,0.8785414999787182,0.16624451958492945,1.2498270527324433,425.1625,464.9,0,0.16331140575930475
defect_type=rotated_rect,all,80,0.7445157078914427,0.8482349674619734,0.17556708013545624,1.3833188380487396,323.8875,380.8375,0,0.18638998973183335
defect_type=polygon,all,80,0.771013134502363,0.8626994058557866,0.1361763543028757,1.4341106877512217,341.725,391.15,0,0.20273498492315412
