group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean
source_pack=pilot_v2_rectangular_notch,train,80,0.6971535699003535,0.8193765618020489,0.18902481199858384,2.10949514673623,423.625,513.05,0,0.23096686657518148
source_pack=pilot_v3_rotated_rect,train,32,0.6474328083738943,0.7842777420955945,0.21927632327965277,2.4771628597132533,391.5,484.375,0,0.28373029874637723
source_pack=pilot_v5_polygon,train,44,0.7052003420010391,0.8248629104127957,0.11720964569074686,2.4598860921919057,360.0681818181818,387.6363636363636,0,0.23473986593837087
source_pack=pilot_v7_topup_polygon,train,8,0.6069773841456079,0.7537162681337106,0.29054057443435943,2.7115412969085515,287.0,409.125,0,0.2797659505158663
source_pack=pilot_v7_topup_rotated_rect,train,20,0.719989388268792,0.8359517087398952,0.11127723066346393,1.9820330920568527,242.35,239.5,0,0.2119190353900194
source_pack=pilot_v8_topup_polygon,train,28,0.6311507749317181,0.7706002295945741,0.2692013829960573,2.5032633797881307,284.89285714285717,398.5,0,0.26912967301905155
source_pack=pilot_v8_topup_rotated_rect,train,28,0.6852769967156526,0.8121547929896249,0.13802529727717824,2.4301898623108973,272.75,239.67857142857142,0,0.26118740545851843
source_pack=pilot_v2_rectangular_notch,val,20,0.6826303154824535,0.8094281322198121,0.2681842329760229,2.255244595422133,363.6,366.3,0,0.265262895077467
source_pack=pilot_v3_rotated_rect,val,8,0.6539433981213276,0.7889530230366786,0.2158598098330241,2.439660314253382,370.5,437.375,0,0.27431166358292103
source_pack=pilot_v5_polygon,val,8,0.6634144814505607,0.7930520223468321,0.21488481555637517,2.7353586994059635,374.375,382.5,0,0.28482268564403057
source_pack=pilot_v7_topup_polygon,val,6,0.5853387576278851,0.7327370367543128,0.34099934327516773,3.006282068617375,244.33333333333334,365.5,0,0.33235446860392887
source_pack=pilot_v7_topup_rotated_rect,val,6,0.6739308792914972,0.8035740143797375,0.1090053526199336,2.7980152104374407,215.5,240.0,0,0.2304213891426722
source_pack=pilot_v8_topup_polygon,val,6,0.5807471142901215,0.732931451819319,0.3482960315969359,2.713280674770383,254.0,362.6666666666667,0,0.32896647850672406
source_pack=pilot_v8_topup_rotated_rect,val,6,0.6841895627628016,0.8110910440691872,0.13226451423444063,2.7569378543023846,266.1666666666667,239.83333333333334,0,0.2666754424571991
source_pack=pilot_v2_rectangular_notch,test,20,0.6772967785600227,0.8051827620699681,0.19063713722296477,1.9416477054051586,376.1,378.65,0,0.2621502846479416
source_pack=pilot_v3_rotated_rect,test,8,0.6322553886608486,0.7731385027970167,0.2528263283864617,2.5901811737297638,398.375,475.375,0,0.2939167898148298
source_pack=pilot_v5_polygon,test,8,0.673550966776614,0.8019971554993843,0.16203979141717245,2.479431694144498,352.625,414.75,0,0.2465352052822709
source_pack=pilot_v7_topup_polygon,test,6,0.6172443284319477,0.7618465740554674,0.2684623866463979,2.3606475797648265,287.8333333333333,398.6666666666667,0,0.2754568283756574
source_pack=pilot_v7_topup_rotated_rect,test,6,0.6565783858180172,0.7914130869870052,0.11076539053557266,2.8296882192763952,261.0,239.16666666666666,0,0.2781637062629064
source_pack=pilot_v8_topup_polygon,test,6,0.5949697515875708,0.7443771985267295,0.3191413371409399,2.5470065920790455,272.8333333333333,408.8333333333333,0,0.290984774629275
source_pack=pilot_v8_topup_rotated_rect,test,6,0.5817203546069948,0.7351939488392717,0.2596336616934082,3.640112244795183,301.5,239.33333333333334,0,0.35219330588976544
source_pack=pilot_v2_rectangular_notch,all,120,0.6914235622739817,0.8153528569163293,0.20248676969888718,2.1058121479620353,405.7,466.19166666666666,0,0.24188010767102242
source_pack=pilot_v3_rotated_rect,all,48,0.645988336712959,0.783200415702679,0.22429857188968283,2.4897488211393597,389.1458333333333,475.0416666666667,0,0.2838582747305433
source_pack=pilot_v5_polygon,all,60,0.6954089772310519,0.8175726913488791,0.13621035443635407,2.4992218534141255,360.98333333333335,390.56666666666666,0,0.24299028714497883
source_pack=pilot_v7_topup_polygon,all,20,0.603565879476193,0.7498615904964183,0.29905474875021343,2.6946954132780814,274.45,392.9,0,0.2942497693002224
source_pack=pilot_v7_topup_rotated_rect,all,32,0.699463854876029,0.8215298994686987,0.1107552835063224,2.2939650756068772,240.8125,239.53125,0,0.22780910250730813
source_pack=pilot_v8_topup_polygon,all,40,0.6181630723338566,0.7610164582681092,0.28855657340792146,2.541327455879106,278.45,394.675,0,0.28138345908373597
source_pack=pilot_v8_topup_rotated_rect,all,40,0.6695803853064264,0.800451104029006,0.15540243448320207,2.6606904184822633,276.075,239.65,0,0.2756614960730076
