seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,missed_component_rate,merged_component_rate,split_component_rate,component_recall_mean
all,defect_type=rectangular_notch,train,402,0.7376830529881027,0.8467071926417944,0.1568887220700746,2.082756824984509,465.99004975124376,526.5298507462686,0,0.21923511920135413,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=rotated_rect,train,402,0.6855750002642689,0.8115742122808716,0.17133982674046522,2.3683097372186763,312.43283582089555,293.4776119402985,0,0.255276239518799,1.0024875621890548,0.9975124378109452,0.9975124378109452,0.0024875621890547263,0.0,0.0,0.0024875621890547263,1.0
all,defect_type=polygon,train,402,0.7096830631212651,0.8276736767605447,0.14146336541196497,2.4260643059092777,376.69154228855723,387.6194029850746,0,0.23950028721595285,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=multi_defect,train,480,0.6542103864182489,0.7890564148414891,0.13049125530745673,3.567811223092435,676.34375,714.18125,0,0.33335311273112894,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,defect_type=rectangular_notch,val,99,0.6831398611291652,0.8092534425692479,0.22564894924154308,2.5121781668139507,349.64646464646466,342.6060606060606,0,0.2647999589792406,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=rotated_rect,val,99,0.6665110557575339,0.797153494457372,0.19223044736011421,2.5180781647383106,319.64646464646466,297.030303030303,0,0.27367924341950756,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=polygon,val,99,0.6589247525483626,0.7913371336345545,0.21237511993193658,2.985580052368076,366.09090909090907,390.6060606060606,0,0.28502311504850486,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=multi_defect,val,120,0.6111670260358184,0.7561516597076782,0.1283996531121014,4.407381451555646,675.0833333333334,721.225,0,0.39271042607724665,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,defect_type=rectangular_notch,test,99,0.6765498055836706,0.8050636755658639,0.224584446976796,2.1568853829500414,353.42424242424244,399.6060606060606,0,0.26422988736268244,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=rotated_rect,test,99,0.6384719258845335,0.7774838521353687,0.3066778656841138,2.5786200572936746,358.2020202020202,306.1515151515151,0,0.30727407050253164,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=polygon,test,99,0.6653827369807331,0.7953805373013733,0.18060190975697765,2.6943930236291083,380.07070707070704,412.06060606060606,0,0.2843165919184685,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=multi_defect,test,120,0.6088015076736539,0.754976445814187,0.15073180925159477,3.9133391504414297,675.5,708.875,0,0.39013058121005695,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
all,defect_type=rectangular_notch,all,600,0.7185964405096466,0.8336561435622957,0.17940395416297594,2.1658425584506795,428.22,475.24,0,0.23417745451132457,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=rotated_rect,all,600,0.6746574421480012,0.8035698844159862,0.19711755556840932,2.4277227305717908,321.175,296.155,0,0.2668923772747318,1.0016666666666667,0.9983333333333333,0.9983333333333333,0.0016666666666666668,0.0,0.0,0.0016666666666666668,1.0
all,defect_type=polygon,all,600,0.6939983880635484,0.816349779133993,0.1596216647246874,2.562658642498752,375.5,392.145,0,0.254406244084239,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=multi_defect,all,720,0.6394683465637446,0.7778922941479701,0.1335160805989205,3.76532758239447,675.9930555555555,714.4708333333333,0,0.3527089097019699,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
