seed,source_index,sample_id,split,defect_group,defect_type,component_types,component_type_combination,source_dataset,source_pack,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,predicted_component_count_correct,predicted_component_count_is_1,predicted_component_count_is_2,component_count_error,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,polygon_component_present,notes
42,0,single_rect_p2_0001,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7738095238095238,0.87248322147651,0.1375,2.665140158545568,414,480,0,0.048790961503982544,0.13794159889221191,0.18673256039619446,0.0,0.9999986886978149,0.05090329796075821,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,1,single_rect_p2_0002,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.6677524429967426,0.80078125,0.18803418803418803,1.5106286311806056,278,234,0,0.044153690338134766,0.20659512281417847,0.25074881315231323,0.0,0.9999998807907104,0.0341702401638031,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,2,single_rect_p2_0003,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.8178752107925801,0.8998144712430427,0.05333333333333334,1.5729354744412933,553,525,0,0.037994544953107834,0.11668044328689575,0.15467499196529388,0.0,0.999994158744812,0.06696031242609024,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,3,single_rect_p2_0004,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.8155737704918032,0.8984198645598194,0.11961722488038277,1.7885279118482582,468,418,0,0.039335526525974274,0.11911505460739136,0.15845057368278503,0.0,0.9999992847442627,0.057916898280382156,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,4,single_rect_p2_0005,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.5701754385964912,0.7262569832402235,0.7121212121212122,2.6090909729680924,452,264,0,0.08971581608057022,0.2902761697769165,0.37999197840690613,0.0,0.9999608993530273,0.055548809468746185,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,5,single_rect_p2_0006,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7713310580204779,0.8709055876685935,0.04887218045112782,1.1693076508969844,253,266,0,0.02704944834113121,0.14290910959243774,0.16995856165885925,0.0,0.9999990463256836,0.03074372187256813,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,6,single_rect_p2_0007,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7542613636363636,0.8599190283400809,0.24573863636363635,2.5072459991117877,531,704,0,0.06416076421737671,0.14059215784072876,0.20475292205810547,0.0,0.9999983310699463,0.06608309596776962,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,7,single_rect_p2_0008,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.8561151079136691,0.9224806201550387,0.045454545454545456,0.24343386496385014,504,528,0,0.024833042174577713,0.09187847375869751,0.11671151220798492,0.0,0.9999868869781494,0.06153043359518051,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,8,single_rect_p2_0009,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7538994800693241,0.8596837944664032,0.19047619047619047,3.0336106191187016,550,462,0,0.07127433270215988,0.14798879623413086,0.21926313638687134,0.0,0.9999996423721313,0.06692162156105042,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,9,single_rect_p2_0010,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7331838565022422,0.8460543337645536,0.14127423822714683,2.0195414567057077,412,361,0,0.03867848590016365,0.16689318418502808,0.20557166635990143,0.0,0.9999896287918091,0.05024925619363785,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
