seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean
all,defect_type=rectangular_notch,train,402,0.6918994711811282,0.8133396278458103,0.21070081470505206,2.138314144998979,432.4004975124378,526.5298507462686,0,0.25418377463793873,1.0124378109452736,0.9900497512437811,0.9900497512437811,0.007462686567164179,0.0024875621890547263,0.0,0.0,0.009950248756218905,0.009950248756218905,1.0
all,defect_type=rotated_rect,train,402,0.6757339288087244,0.8037912140423518,0.14493510318229247,2.5021532722293998,299.2562189054726,293.4776119402985,0,0.25572565096008837,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=polygon,train,402,0.6869006714954887,0.8094634632469035,0.17672895428618732,2.4470808011961878,349.0547263681592,387.6194029850746,0,0.2530210804731692,1.0199004975124377,0.9875621890547264,0.9875621890547264,0.004975124378109453,0.007462686567164179,0.007462686567164179,0.0,0.012437810945273632,0.012437810945273632,0.9925373134328358
all,defect_type=multi_defect,train,1440,0.6762860275210513,0.7942079985875845,0.09920763276251006,2.6575409952805753,498.71875,527.7104166666667,0,0.3003340235393908,2.7472222222222222,0.9361111111111111,0.0006944444444444445,0.3055555555555556,0.6618055555555555,0.027777777777777776,0.0,0.05763888888888889,0.05763888888888889,0.9810185185185184
all,defect_type=rectangular_notch,val,99,0.6657267239035973,0.796503360279188,0.24543783286315637,2.657771692616599,339.54545454545456,342.6060606060606,0,0.27444503162846423,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=rotated_rect,val,99,0.6612945337282717,0.7933474357328327,0.14275521626469026,2.7241311981196934,302.8181818181818,297.030303030303,0,0.27035642234664975,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=polygon,val,99,0.6377524275305149,0.7751842728415714,0.22630030148021602,3.223926524275466,341.8484848484849,390.6060606060606,0,0.30432192243710915,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=multi_defect,val,360,0.5937062005255833,0.7261289156617597,0.12644993657060194,3.5101214117797164,496.5833333333333,527.0583333333333,0,0.40663690124120977,2.8,0.8888888888888888,0.0,0.2861111111111111,0.6666666666666666,0.06666666666666667,0.0,0.1,0.1,0.9569444444444445
all,defect_type=rectangular_notch,test,99,0.6593831962529925,0.7914568611141022,0.2597157645770182,2.1112675095712135,335.17171717171715,399.6060606060606,0,0.2739592594931824,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=rotated_rect,test,99,0.6358518362959079,0.7747476198246982,0.2365391712489115,2.7791727319482455,337.95959595959596,306.1515151515151,0,0.30043023147366266,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=polygon,test,99,0.650328479329877,0.7834150578026831,0.21172798268950646,2.7816809476022515,359.8989898989899,412.06060606060606,0,0.2916046350140764,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=multi_defect,test,360,0.5782519003083993,0.7002192807011093,0.1423353543314058,3.3477484186510966,494.7388888888889,521.8083333333333,0,0.4478379292206632,2.738888888888889,0.8444444444444444,0.016666666666666666,0.30277777777777776,0.6388888888888888,0.12777777777777777,0.0,0.10277777777777777,0.10277777777777777,0.9046296296296297
all,defect_type=rectangular_notch,all,600,0.6822157825171932,0.806950987186586,0.22451988943001366,2.2195619455103053,401.0366666666667,475.24,0,0.26078983704249065,1.0083333333333333,0.9933333333333333,0.9933333333333333,0.005,0.0016666666666666668,0.0,0.0,0.006666666666666667,0.006666666666666667,1.0
all,defect_type=rotated_rect,all,600,0.666770883355835,0.7972757975753683,0.15969009307188023,2.5844878408549077,306.23,296.155,0,0.26551598402361076,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,defect_type=polygon,all,600,0.6727567995339421,0.7995094099317275,0.1906830662597497,2.6304693696612693,349.655,392.145,0,0.26785200589646896,1.0133333333333334,0.9916666666666667,0.9916666666666667,0.0033333333333333335,0.005,0.005,0.0,0.008333333333333333,0.008333333333333333,0.995
all,defect_type=multi_defect,all,2160,0.646183701819698,0.7671966984522012,0.11093597032534133,2.9146723019255196,497.69953703703703,526.6180555555555,0,0.34263515410323936,2.7546296296296298,0.912962962962963,0.0032407407407407406,0.30185185185185187,0.6587962962962963,0.05092592592592592,0.0,0.07222222222222222,0.07222222222222222,0.9642746913580246
