seed,sample_id,split,defect_group,task_group,defect_type,component_count,component_type_combination,source_dataset,source_pack,true_connected_component_count,pred_connected_component_count,IoU,Dice,area_error,center_error,pred_area,true_area,failure_category,distance_bin,short_note,preview_path
42,cc3_v4_topup_188,test,multi_defect,multi_defect_cc3,multi_defect,3,rotated_rect+rotated_rect+rotated_rect,three_component_pilot_v4,pilot_v4_topup,3,3,0.0,0.0,0.2833333333333333,5.093965769936672,301,420,boundary/shape smoothing,medium,mask area and component count are plausible but boundary remains coarse,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc3_v4_topup_188_test_rotated_rect_rotated_rect_rotated_rect.png
42,cc3_v3_sample_059,test,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rotated_rect+rotated_rect,three_component_pilot_v4,pilot_v3,3,3,0.0,0.0,0.08542713567839195,6.917119670645492,432,398,boundary/shape smoothing,far,mask area and component count are plausible but boundary remains coarse,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc3_v3_sample_059_test_rectangular_notch_rotated_rect_rotated_rect.png
42,cc3_v4_topup_067,test,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rotated_rect+rotated_rect,three_component_pilot_v4,pilot_v4_topup,3,3,0.0,0.0,0.17586912065439672,7.568679625373395,403,489,boundary/shape smoothing,medium,mask area and component count are plausible but boundary remains coarse,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc3_v4_topup_067_test_rectangular_notch_rotated_rect_rotated_rect.png
42,cc3_v3_sample_042,test,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rotated_rect,three_component_pilot_v4,pilot_v3,3,4,0.0,0.0,0.46487603305785125,10.100277924422393,259,484,component_count_mismatch,medium,"pred_cc=4, true_cc=3",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc3_v3_sample_042_test_rectangular_notch_rectangular_notch_rotated_rect.png
42,cc2_sample_207,test,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,2,3,0.012237762237762238,0.024179620034542316,0.3871866295264624,4.076633798851849,440,718,component_count_mismatch,,"pred_cc=3, true_cc=2",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc2_sample_207_test_rectangular_notch_rotated_rect.png
42,cc2_sample_193,val,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,2,3,0.029008863819500404,0.056382145653876274,0.5046838407494145,5.814704521160202,423,854,component_count_mismatch,,"pred_cc=3, true_cc=2",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc2_sample_193_val_rotated_rect_rotated_rect.png
42,cc3_v4_topup_058,test,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rotated_rect,three_component_pilot_v4,pilot_v4_topup,3,2,0.03057199211045365,0.05933014354066986,0.1111111111111111,8.752064417507869,550,495,component_count_mismatch,far,"pred_cc=2, true_cc=3",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc3_v4_topup_058_test_rectangular_notch_rectangular_notch_rotated_rect.png
42,cc2_sample_210,test,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,3,0.032673267326732675,0.06327900287631831,0.37285491419656785,6.713441173545414,402,641,component_count_mismatch,,"pred_cc=3, true_cc=2",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc2_sample_210_test_rotated_rect_polygon.png
42,cc2_sample_188,val,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,2,3,0.03333333333333333,0.06451612903225806,0.5879237288135594,6.6395426913311155,389,944,component_count_mismatch,,"pred_cc=3, true_cc=2",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc2_sample_188_val_rotated_rect_rotated_rect.png
42,cc2_sample_181,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,2,3,0.03696498054474708,0.07129455909943715,0.39457831325301207,4.034983905148969,402,664,component_count_mismatch,,"pred_cc=3, true_cc=2",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc2_sample_181_val_rectangular_notch_rectangular_notch.png
42,cc3_v3_sample_019,test,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rotated_rect+rotated_rect,three_component_pilot_v4,pilot_v3,3,2,0.04114832535885168,0.07904411764705882,0.6798029556650246,7.667819859191006,682,406,component_count_mismatch,medium,"pred_cc=2, true_cc=3",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc3_v3_sample_019_test_rectangular_notch_rotated_rect_rotated_rect.png
42,cc3_v4_topup_181,test,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rectangular_notch,three_component_pilot_v4,pilot_v4_topup,3,1,0.05333333333333334,0.10126582278481013,0.15454545454545454,1.5776568672598936,508,440,component_count_mismatch,near,"pred_cc=1, true_cc=3",C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\cc3_v4_topup_181_test_rectangular_notch_rectangular_notch_rectangular_notch.png
42,single_rot_p3_0013,val,single_defect,single_defect,rotated_rect,1,rotated_rect,single_pilot_v9,pilot_v3_rotated_rect,1,1,0.4865424430641822,0.6545961002785515,0.9916666666666667,3.7169392750933805,478,240,area_error,,large area mismatch,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_data_baseline_v3_enhanced_candidate\single_rot_p3_0013_val_rotated_rect.png
42,single_rect_p2_0005,val,single_defect,single_defect,rectangular_notch,1,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,1,1,0.5323886639676113,0.6948480845442536,0.8674242424242424,2.751588773528564,493,264,area_error,,large area mismatch,
42,single_poly_v9_0076,test,single_defect,single_defect,polygon,1,polygon,single_pilot_v9,pilot_v9_topup_polygon,1,1,0.5416666666666666,0.7027027027027027,0.8461538461538461,2.2072144653746544,432,234,area_error,,large area mismatch,
42,single_rot_v9_0080,test,single_defect,single_defect,rotated_rect,1,rotated_rect,single_pilot_v9,pilot_v9_topup_rotated_rect,1,1,0.5215419501133787,0.6855439642324889,0.8075313807531381,1.2467853031745348,432,239,area_error,,large area mismatch,
42,single_poly_p5_0001,val,single_defect,single_defect,polygon,1,polygon,single_pilot_v9,pilot_v5_polygon,1,1,0.5320197044334976,0.6945337620578779,0.7644444444444445,3.725202344528017,397,225,area_error,,large area mismatch,
42,single_rect_p2_0041,val,single_defect,single_defect,rectangular_notch,1,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,1,1,0.5786026200873362,0.7330567081604425,0.7180451127819549,2.8302457363089957,457,266,area_error,,large area mismatch,
42,single_rot_v9_0041,test,single_defect,single_defect,rotated_rect,1,rotated_rect,single_pilot_v9,pilot_v9_topup_rotated_rect,1,1,0.5452380952380952,0.7057010785824345,0.7041666666666667,1.6691993501626994,409,240,area_error,,large area mismatch,
42,single_rect_p2_0073,val,single_defect,single_defect,rectangular_notch,1,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,1,1,0.5909090909090909,0.7428571428571429,0.6923076923076923,0.30229287377061603,396,234,area_error,,large area mismatch,
42,cc3_v3_sample_114,test,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rotated_rect,three_component_pilot_v4,pilot_v3,3,2,0.1456140350877193,0.2542113323124043,0.6618852459016393,18.292414449658086,165,488,component_count_mismatch,medium,"pred_cc=2, true_cc=3",
42,cc2_sample_231,test,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,2,4,0.2771929824561403,0.4340659340659341,0.01092896174863388,16.87410440682882,543,549,component_count_mismatch,,"pred_cc=4, true_cc=2",
42,cc2_sample_184,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.41505791505791506,0.5866302864938608,0.22303030303030302,12.480947638038188,641,825,localization,,large center error,
42,cc3_v4_topup_237,test,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rectangular_notch,three_component_pilot_v4,pilot_v4_topup,3,4,0.4462809917355372,0.6171428571428571,0.35294117647058826,11.801579435691146,275,425,component_count_mismatch,far,"pred_cc=4, true_cc=3",
42,cc2_sample_176,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.5099778270509978,0.6754772393538914,0.13679890560875513,11.711505603115612,631,731,localization,,large center error,
42,cc3_v3_sample_210,val,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rotated_rect,three_component_pilot_v4,pilot_v3,3,6,0.14410480349344978,0.25190839694656486,0.5308411214953271,11.476002875833856,251,535,component_count_mismatch,medium,"pred_cc=6, true_cc=3",
42,cc3_v4_topup_029,val,multi_defect,multi_defect_cc3,multi_defect,3,rectangular_notch+rectangular_notch+rectangular_notch,three_component_pilot_v4,pilot_v4_topup,3,3,0.3667763157894737,0.5367027677496992,0.021897810218978103,11.042286264506703,420,411,localization,medium,large center error,
42,cc2_sample_220,test,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,2,0.5018939393939394,0.6683480453972257,0.1558139534883721,10.54432229680213,726,860,localization,,large center error,
42,cc2_sample_186,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,2,3,0.28888888888888886,0.4482758620689655,0.18081180811808117,3.863754551954966,444,542,component_count_mismatch,,"pred_cc=3, true_cc=2",
42,cc2_sample_194,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,3,0.09318637274549098,0.17048579285059579,0.4369627507163324,8.844286953737221,393,698,component_count_mismatch,,"pred_cc=3, true_cc=2",
42,cc2_sample_214,test,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,2,3,0.080078125,0.14828209764918626,0.3901018922852984,8.622577324584057,419,687,component_count_mismatch,,"pred_cc=3, true_cc=2",
