seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean,task_gate_accuracy,count_head_accuracy
all,pred_connected_component_count=1,train,401,0.7630405072305271,0.8635474006678466,0.1083580927133066,1.8533227861902957,392.1720698254364,402.2992518703242,0,0.18719029348538702,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=2,train,161,0.7083526038758309,0.8273491951609743,0.10480870184505509,2.900363579788691,682.2173913043479,712.8509316770186,0,0.2749276940496812,2.0,0.9937888198757764,0.0,1.0,0.0,0.0,0.0,0.006211180124223602,0.006211180124223602,1.0,1.0,1.0
all,pred_connected_component_count=3,train,320,0.7976908477072904,0.8864664717146404,0.06855146963862528,1.7190813308675488,419.04375,434.475,0,0.15933913569315336,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=4,train,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all,pred_connected_component_count=1,val,99,0.6540801790618266,0.7871286727196338,0.2120765425340977,2.8478660534937035,345.2828282828283,343.4141414141414,0,0.294222157410901,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=2,val,41,0.6034500114749966,0.7462547033079606,0.13071519931659423,4.903089063189731,686.3170731707318,713.7560975609756,0,0.42381679611962014,2.0,0.975609756097561,0.0,1.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.991869918699187,0.975609756097561,1.0
all,pred_connected_component_count=3,val,79,0.6800254665086205,0.7986127033993226,0.0749076205187199,2.5076400718877636,417.67088607594934,430.1645569620253,0,0.2852793410420418,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=4,val,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all,pred_connected_component_count=1,test,97,0.6446637467806351,0.7805337816338258,0.25187193061714197,2.5928170553115755,367.4639175257732,369.9381443298969,0,0.3015605762754519,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=2,test,41,0.5845199892914621,0.7246796007402915,0.15561405433784284,4.699553979018694,658.9024390243902,684.9268292682926,0,0.45580633202703985,2.0,0.9024390243902439,0.0,1.0,0.0,0.04878048780487805,0.0,0.04878048780487805,0.04878048780487805,0.9674796747967479,0.9512195121951219,0.9512195121951219
all,pred_connected_component_count=3,test,78,0.6732328023877607,0.7892410653571631,0.08137851690614233,2.368833418500473,418.21794871794873,434.38461538461536,0,0.3210519064122286,3.0,0.9743589743589743,0.0,0.0,1.0,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.985042735042735,0.9487179487179487,0.9615384615384616
all,pred_connected_component_count=4,test,3,0.28830187511770095,0.4233885687271801,0.15341560453403566,3.4981795802045514,505.0,552.3333333333334,0,0.889362116654714,4.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.7777777777777777,0.6666666666666666,0.6666666666666666
all,pred_connected_component_count=1,all,597,0.7257379640942777,0.8373869733425985,0.14887562840665725,2.138399381781253,380.3819095477387,387.27638190954775,0,0.22352207231162183,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=2,all,243,0.6697594208042533,0.7963437320448362,0.11775185348512672,3.5418390990803483,678.9753086419753,708.2921810699588,0,0.3305675185021059,2.0,0.9753086419753086,0.0,1.0,0.0,0.012345679012345678,0.0,0.012345679012345678,0.012345679012345678,0.9931412894375856,0.9876543209876543,0.9917695473251029
all,pred_connected_component_count=3,all,477,0.7578516597625982,0.8560177727779666,0.07170167007131671,1.9559299752616057,418.6813417190776,433.7463312368973,0,0.20664075485174885,3.0,0.9958071278825996,0.0,0.0,1.0,0.0041928721174004195,0.0,0.0041928721174004195,0.0041928721174004195,0.9975541579315165,0.9916142557651991,0.9937106918238994
all,pred_connected_component_count=4,all,3,0.28830187511770095,0.4233885687271801,0.15341560453403566,3.4981795802045514,505.0,552.3333333333334,0,0.889362116654714,4.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.7777777777777777,0.6666666666666666,0.6666666666666666
