seed,split,true_task_group,pred_task_group,sample_count,task_gate_accuracy,count_head_accuracy,mean_gate_single,mean_gate_cc2,mean_gate_cc3,gate_entropy_mean,gate_collapse_flag
42,train,single_defect,single_defect,402,1.0,1.0,0.9999426856859407,4.366032832610318e-05,1.3653533264964094e-05,0.00036164965350569223,1
42,train,single_defect,all,402,1.0,1.0,0.9999426856859407,4.366032832610318e-05,1.3653533264964094e-05,0.00036164965350569223,1
42,train,multi_defect_cc2,multi_defect_cc2,160,1.0,1.0,0.029362690122798085,0.9653687495738268,0.005268561887680903,0.14267039409580887,1
42,train,multi_defect_cc2,all,160,1.0,1.0,0.029362690122798085,0.9653687495738268,0.005268561887680903,0.14267039409580887,1
42,train,multi_defect_cc3,multi_defect_cc3,320,1.0,1.0,0.0016576175778082846,0.0013780530962042756,0.9969643328338862,0.014646657495282631,1
42,train,multi_defect_cc3,all,320,1.0,1.0,0.0016576175778082846,0.0013780530962042756,0.9969643328338862,0.014646657495282631,1
42,train,all,single_defect,402,1.0,1.0,0.9999426856859407,4.366032832610318e-05,1.3653533264964094e-05,0.00036164965350569223,0
42,train,all,multi_defect_cc2,160,1.0,1.0,0.029362690122798085,0.9653687495738268,0.005268561887680903,0.14267039409580887,0
42,train,all,multi_defect_cc3,320,1.0,1.0,0.0016576175778082846,0.0013780530962042756,0.9969643328338862,0.014646657495282631,0
42,train,all,all,882,1.0,1.0,0.46168415837901866,0.1756434562070122,0.36267238676785146,0.03136006418880856,0
42,val,single_defect,single_defect,99,1.0,1.0,0.9997665978441335,3.341646655904363e-06,0.00023006381878508267,0.0014207107235147,1
42,val,single_defect,all,99,1.0,1.0,0.9997665978441335,3.341646655904363e-06,0.00023006381878508267,0.0014207107235147,1
42,val,multi_defect_cc2,multi_defect_cc2,40,1.0,1.0,0.027901615644805134,0.9642214000225067,0.007876964109987106,0.15128956226065995,1
42,val,multi_defect_cc2,all,40,1.0,1.0,0.027901615644805134,0.9642214000225067,0.007876964109987106,0.15128956226065995,1
42,val,multi_defect_cc3,single_defect,1,0.0,1.0,0.6250452399253845,0.020688297227025032,0.3542664051055908,0.7415857836615793,1
42,val,multi_defect_cc3,multi_defect_cc3,79,1.0,1.0,0.002867508204473025,0.005777413145059125,0.9913550826567638,0.02712383784249849,1
42,val,multi_defect_cc3,all,80,0.9875,1.0,0.010644729850984419,0.005963799196083698,0.9833914741873742,0.036054612165237,1
42,val,all,single_defect,100,0.99,1.0,0.996019384264946,0.00021019120245959565,0.00377042723165314,0.008822361452895347,0
42,val,all,multi_defect_cc2,40,1.0,1.0,0.027901615644805134,0.9642214000225067,0.007876964109987106,0.15128956226065995,0
42,val,all,multi_defect_cc3,79,1.0,1.0,0.002867508204473025,0.005777413145059125,0.9913550826567638,0.02712383784249849,0
