seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,residual_l2_loss_mean,residual_to_base_abs_ratio_mean,residual_dominance_rate,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean,task_gate_accuracy,count_head_accuracy
all,component_count=1,train,402,0.7476532472923882,0.8534788011482094,0.12439111614881794,1.9897953779331994,382.31592039800995,402.5422885572139,0,0.20200558019737105,7.440341503540082,0.006975198783129568,0.0,1.0174129353233832,0.9825870646766169,0.9825870646766169,0.017412935323383085,0.0,0.0,0.0,0.017412935323383085,0.017412935323383085,1.0,1.0,1.0
all,component_count=2,train,160,0.6863057085239115,0.8118947089601012,0.10803985816094888,3.275600417400645,689.9625,714.18125,0,0.2978928526863456,4.470413087122142,0.013001590417525976,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,component_count=3,train,320,0.8059113313364555,0.8916873811529811,0.06565774255528922,1.6419125605817726,423.109375,434.475,0,0.1540511506027542,15.199395328899845,0.013393593057068023,0.0,3.0125,0.9875,0.0,0.0,0.9875,0.0,0.0,0.0125,0.0125,1.0,1.0,1.0
all,component_count=1,val,99,0.6594645417876674,0.7912919155864048,0.21522639209354905,2.681592442761376,342.4949494949495,343.4141414141414,0,0.2880454295211368,9.558192494541707,0.007897209242713062,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,component_count=2,val,40,0.6017513133352502,0.7488555593236692,0.13099233868563634,4.6656451326245225,688.625,721.225,0,0.40248967446386813,2.7339288488030435,0.010734097861134896,0.0,2.075,0.975,0.0,0.975,0.0,0.0,0.0,0.025,0.025,1.0,0.975,0.975
all,component_count=3,val,80,0.6737474689789785,0.7911659149211372,0.0999058490702632,2.5434570678904054,426.325,429.975,0,0.3131157164461911,11.373252982646227,0.011456619128794993,0.0,3.0625,0.9625,0.0,0.0125,0.9625,0.0375,0.0,0.025,0.025,0.9833333333333332,0.9875,0.9875
all,component_count=1,test,99,0.6468105718290071,0.7812574423137811,0.23841142595108641,2.461831240962806,359.42424242424244,372.6060606060606,0,0.3046531571131764,7.124281614717811,0.007488310114283429,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,component_count=2,test,40,0.5592293929738725,0.704746903537276,0.1816220138699709,4.541956646129709,676.975,708.875,0,0.5148710366338491,5.172424710541963,0.013750847659347573,0.0,2.225,0.85,0.0,0.85,0.1,0.05,0.0,0.15,0.15,0.9625,0.875,0.875
all,component_count=3,test,80,0.6886836519814142,0.8041757446473717,0.08433292459071387,2.286420225715559,423.5875,428.275,0,0.29471297152340414,12.940029991138726,0.012857845598037978,0.0,3.05,0.975,0.0,0.0,0.975,0.0,0.0,0.025,0.025,1.0,0.9875,0.9875
all,component_count=1,all,600,0.7164630694326515,0.831301440822831,0.15819228779707287,2.1818278110297333,371.9683333333333,387.8466666666667,0,0.23313900552690028,7.7376370353996755,0.0072119938786012324,0.0,1.0116666666666667,0.9883333333333333,0.9883333333333333,0.011666666666666667,0.0,0.0,0.0,0.011666666666666667,0.011666666666666667,1.0,1.0,1.0
all,component_count=2,all,240,0.6510339234007948,0.783530216450225,0.12412896419990045,3.7183339080594684,687.575,714.4708333333333,0,0.35148868697384994,4.2980009846389295,0.012748551198431062,0.0,2.05,0.9708333333333333,0.0,0.9708333333333333,0.016666666666666666,0.008333333333333333,0.0,0.029166666666666667,0.029166666666666667,0.99375,0.975,0.975
all,component_count=3,all,480,0.7643460743843691,0.8603485306967389,0.07447829064702233,1.899587922655509,423.725,432.69166666666666,0,0.20400554839676868,14.185144048230722,0.012981472825850845,0.0,3.027083333333333,0.98125,0.0,0.0020833333333333333,0.98125,0.00625,0.0,0.016666666666666666,0.016666666666666666,0.9972222222222221,0.9958333333333333,0.9958333333333333
