source_index,sample_id,split,defect_type,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
0,rect_0001,train,rectangular_notch,0.0,0,0.5,0.897119341563786,0.9457700650759219,0.07916666666666666,0.32391680126572214,442,480,0,0.014724578708410263,0.061718642711639404,0.07644322514533997,0.0,0.9999998807907104,0.05422854423522949,mixed_pilot_v6_training_gate_only
1,rect_0002,train,rectangular_notch,0.0,0,0.5,0.9497907949790795,0.9742489270386266,0.008547008547008548,0.23199908001375824,232,234,0,0.0033769053407013416,0.029736042022705078,0.03311294689774513,0.0,1.0,0.028278574347496033,mixed_pilot_v6_training_gate_only
2,rect_0003,train,rectangular_notch,0.0,0,0.5,0.9737827715355806,0.9867172675521821,0.007619047619047619,0.2460809127581213,529,525,0,0.004869040101766586,0.022419333457946777,0.027288373559713364,0.0,1.0,0.06515571475028992,mixed_pilot_v6_training_gate_only
3,rect_0004,train,rectangular_notch,0.0,0,0.5,0.9810874704491725,0.9904534606205251,0.004784688995215311,0.06432979088622293,420,418,0,0.002733267145231366,0.016895294189453125,0.019628562033176422,0.0,1.0,0.05146009474992752,mixed_pilot_v6_training_gate_only
4,rect_0005,train,rectangular_notch,0.0,0,0.5,0.8939393939393939,0.944,0.10606060606060606,0.7465327303574675,236,264,0,0.01429823786020279,0.059091150760650635,0.07338938862085342,0.0,0.9999998807907104,0.02872375398874283,mixed_pilot_v6_training_gate_only
5,rect_0006,train,rectangular_notch,0.0,0,0.5,0.8790035587188612,0.9356060606060606,0.015037593984962405,0.16416651272982366,262,266,0,0.01144428551197052,0.0697372555732727,0.08118154108524323,0.0,1.0,0.03218178078532219,mixed_pilot_v6_training_gate_only
6,rect_0007,train,rectangular_notch,0.0,0,0.5,0.9588068181818182,0.9789702683103698,0.041193181818181816,0.08354951383463097,675,704,0,0.008834689855575562,0.03296554088592529,0.041800230741500854,0.0,1.0,0.08169592916965485,mixed_pilot_v6_training_gate_only
7,rect_0008,train,rectangular_notch,0.0,0,0.5,0.9154676258992805,0.955868544600939,0.017045454545454544,0.9837876206056129,537,528,0,0.015459617599844933,0.05280822515487671,0.06826784461736679,0.0,1.0,0.06488470733165741,mixed_pilot_v6_training_gate_only
8,rect_0009,train,rectangular_notch,0.0,0,0.5,0.8897795591182365,0.9416755037115588,0.04112554112554113,0.7505348677648924,481,462,0,0.017365528270602226,0.0608709454536438,0.07823647558689117,0.0,1.0,0.05844161659479141,mixed_pilot_v6_training_gate_only
9,rect_0010,train,rectangular_notch,0.0,0,0.5,0.967479674796748,0.9834710743801653,0.0110803324099723,0.26610624792521986,365,361,0,0.004569298587739468,0.03538864850997925,0.03995794802904129,0.0,1.0,0.04404149577021599,mixed_pilot_v6_training_gate_only
10,rect_0011,train,rectangular_notch,0.0,0,0.5,0.96,0.9795918367346939,0.015151515151515152,0.415040896664469,469,462,0,0.005186434835195541,0.02768498659133911,0.03287142142653465,0.0,1.0,0.05748803913593292,mixed_pilot_v6_training_gate_only
11,rect_0012,train,rectangular_notch,0.0,0,0.5,0.9226519337016574,0.9597701149425287,0.007692307692307693,0.4461324323496554,524,520,0,0.014628940261900425,0.043212711811065674,0.057841651141643524,0.0,1.0,0.064032644033432,mixed_pilot_v6_training_gate_only
12,rect_0013,train,rectangular_notch,0.0,0,0.5,0.934931506849315,0.9663716814159292,0.034782608695652174,0.01774568973296239,555,575,0,0.011710023507475853,0.043664634227752686,0.05537465959787369,0.0,1.0,0.06818386912345886,mixed_pilot_v6_training_gate_only
13,rect_0014,train,rectangular_notch,0.0,0,0.5,0.8982725527831094,0.9464105156723963,0.068359375,0.3022977926678142,477,512,0,0.01569078490138054,0.07081300020217896,0.08650378882884979,0.0,0.9999988079071045,0.058383509516716,mixed_pilot_v6_training_gate_only
14,rect_0015,train,rectangular_notch,0.0,0,0.5,0.9278350515463918,0.9625668449197861,0.031578947368421054,0.7287279488536551,460,475,0,0.010556136257946491,0.04563593864440918,0.056192073971033096,0.0,1.0,0.05658211559057236,mixed_pilot_v6_training_gate_only
15,rect_0016,train,rectangular_notch,0.0,0,0.5,0.8923076923076924,0.943089430894309,0.078125,1.1185510375035042,413,448,0,0.01828799955546856,0.06291395425796509,0.0812019556760788,0.0,0.9999998807907104,0.05049319192767143,mixed_pilot_v6_training_gate_only
16,rect_0017,train,rectangular_notch,0.0,0,0.5,0.9209558823529411,0.9588516746411483,0.07904411764705882,0.5260541428629408,501,544,0,0.012205146253108978,0.043474435806274414,0.05567958205938339,0.0,1.0,0.061165254563093185,mixed_pilot_v6_training_gate_only
17,rect_0018,train,rectangular_notch,0.0,0,0.5,0.863063063063063,0.9264990328820116,0.08518518518518518,0.5301325326944006,494,540,0,0.02321777492761612,0.07995957136154175,0.10317734628915787,0.0,0.9999998807907104,0.0600457638502121,mixed_pilot_v6_training_gate_only
18,rect_0019,train,rectangular_notch,0.0,0,0.5,0.9577981651376147,0.9784442361761949,0.03238095238095238,0.3915092633319651,542,525,0,0.006600318476557732,0.031504034996032715,0.038104355335235596,0.0,1.0,0.06558820605278015,mixed_pilot_v6_training_gate_only
19,rect_0020,train,rectangular_notch,0.0,0,0.5,0.8834745762711864,0.9381327334083239,0.034324942791762014,1.0399500957923837,452,437,0,0.015806786715984344,0.06419175863265991,0.07999854534864426,0.0,1.0,0.055458132177591324,mixed_pilot_v6_training_gate_only
20,rect_0021,train,rectangular_notch,0.0,0,0.5,0.8550458715596331,0.9218595450049456,0.10625,1.2786909681792393,531,480,0,0.02914777770638466,0.08983498811721802,0.11898276209831238,0.0,0.999995231628418,0.06480851024389267,mixed_pilot_v6_training_gate_only
21,rect_0022,train,rectangular_notch,0.0,0,0.5,0.8931698774080561,0.9435707678075855,0.10350877192982456,1.00441397385965,511,570,0,0.02442343346774578,0.05815303325653076,0.08257646858692169,0.0,1.0,0.062759168446064,mixed_pilot_v6_training_gate_only
22,rect_0023,train,rectangular_notch,0.0,0,0.5,0.9435975609756098,0.9709803921568627,0.038461538461538464,0.33633221671436936,625,650,0,0.013460593298077583,0.03565722703933716,0.04911781847476959,0.0,1.0,0.07666737586259842,mixed_pilot_v6_training_gate_only
23,rect_0024,train,rectangular_notch,0.0,0,0.5,0.8994197292069632,0.9470468431771895,0.08576998050682261,0.37764558921302366,469,513,0,0.015072112902998924,0.05413031578063965,0.06920243054628372,0.0,1.0,0.05824374780058861,mixed_pilot_v6_training_gate_only
24,rect_0025,train,rectangular_notch,0.0,0,0.5,0.8909090909090909,0.9423076923076923,0.012903225806451613,1.0502689215994008,471,465,0,0.02029602788388729,0.06452995538711548,0.08482598513364792,0.0,0.9999998807907104,0.057469647377729416,mixed_pilot_v6_training_gate_only
25,rect_0026,train,rectangular_notch,0.0,0,0.5,0.957345971563981,0.9782082324455206,0.014423076923076924,0.47082647851760623,410,416,0,0.005098380148410797,0.02736222743988037,0.03246060758829117,0.0,1.0,0.04989253357052803,mixed_pilot_v6_training_gate_only
26,rect_0027,train,rectangular_notch,0.0,0,0.5,0.8608870967741935,0.9252437703141928,0.09772727272727273,0.18165858470889332,483,440,0,0.021049952134490013,0.07995986938476562,0.10100982338190079,0.0,1.0,0.05793830007314682,mixed_pilot_v6_training_gate_only
27,rect_0028,train,rectangular_notch,0.0,0,0.5,0.9130434782608695,0.9545454545454546,0.021164021164021163,0.535380779001706,370,378,0,0.008943501859903336,0.0560721755027771,0.06501567363739014,0.0,1.0,0.04556763172149658,mixed_pilot_v6_training_gate_only
28,rect_0029,train,rectangular_notch,0.0,0,0.5,0.8517241379310345,0.9199255121042831,0.03409090909090909,1.6599854006215873,546,528,0,0.03211134672164917,0.07912367582321167,0.11123502254486084,0.0,1.0,0.06608274579048157,mixed_pilot_v6_training_gate_only
29,rect_0030,train,rectangular_notch,0.0,0,0.5,0.9833333333333333,0.9915966386554622,0.016666666666666666,0.09356211955751112,354,360,0,0.0024254904128611088,0.015580892562866211,0.018006382510066032,0.0,1.0,0.04316067695617676,mixed_pilot_v6_training_gate_only
30,rect_0031,train,rectangular_notch,0.0,0,0.5,0.9146110056925996,0.9554013875123885,0.07809523809523809,0.5238408091788076,484,525,0,0.016507050022482872,0.04831570386886597,0.06482275575399399,0.0,1.0,0.05927745997905731,mixed_pilot_v6_training_gate_only
31,rect_0032,train,rectangular_notch,0.0,0,0.5,0.9211009174311927,0.958930276981853,0.017045454545454544,0.5656098818813331,519,528,0,0.012196026742458344,0.045637667179107666,0.05783369392156601,0.0,1.0,0.06378641724586487,mixed_pilot_v6_training_gate_only
32,rect_0033,train,rectangular_notch,0.0,0,0.5,0.9588550983899821,0.9789954337899544,0.016304347826086956,0.4154854904036246,543,552,0,0.007244158536195755,0.025100111961364746,0.0323442704975605,0.0,1.0,0.06637253612279892,mixed_pilot_v6_training_gate_only
33,rect_0034,train,rectangular_notch,0.0,0,0.5,0.9275905118601748,0.9624352331606217,0.020512820512820513,0.7513613459265978,764,780,0,0.017311392351984978,0.04658561944961548,0.0638970136642456,0.0,1.0,0.09294422715902328,mixed_pilot_v6_training_gate_only
34,rect_0035,train,rectangular_notch,0.0,0,0.5,0.9748201438848921,0.9872495446265938,0.010869565217391304,0.14021459373936618,273,276,0,0.0017891107127070427,0.01838010549545288,0.020169217139482498,0.0,1.0,0.033397406339645386,mixed_pilot_v6_training_gate_only
35,rect_0036,train,rectangular_notch,0.0,0,0.5,0.8322851153039832,0.9084668192219679,0.19047619047619047,1.506293353762811,475,399,0,0.03524430841207504,0.09391003847122192,0.12915435433387756,0.0,1.0,0.05723074451088905,mixed_pilot_v6_training_gate_only
36,rect_0037,train,rectangular_notch,0.0,0,0.5,0.8755244755244755,0.9336316181953765,0.013333333333333334,1.2709267856702744,666,675,0,0.03162495419383049,0.07453572750091553,0.10616068542003632,0.0,1.0,0.08162692189216614,mixed_pilot_v6_training_gate_only
37,rect_0038,train,rectangular_notch,0.0,0,0.5,0.9163120567375886,0.9563286454478165,0.010416666666666666,0.8068961926045475,679,672,0,0.02225605957210064,0.05409055948257446,0.07634662091732025,0.0,1.0,0.0835379958152771,mixed_pilot_v6_training_gate_only
38,rect_0039,train,rectangular_notch,0.0,0,0.5,0.9272727272727272,0.9622641509433962,0.04608294930875576,0.7203293826250787,414,434,0,0.012681831605732441,0.04467278718948364,0.05735461786389351,0.0,1.0,0.05034121125936508,mixed_pilot_v6_training_gate_only
39,rect_0040,train,rectangular_notch,0.0,0,0.5,0.9259259259259259,0.9615384615384616,0.07407407407407407,0.2549579382875904,325,351,0,0.008808225393295288,0.04134833812713623,0.05015656352043152,0.0,1.0,0.04001773148775101,mixed_pilot_v6_training_gate_only
40,rect_0041,train,rectangular_notch,0.0,0,0.5,0.9850187265917603,0.9924528301886792,0.007518796992481203,0.025409863380673796,264,266,0,0.0018081394955515862,0.014582514762878418,0.01639065518975258,0.0,1.0,0.03215819597244263,mixed_pilot_v6_training_gate_only
41,rect_0042,train,rectangular_notch,0.0,0,0.5,0.9242424242424242,0.9606299212598425,0.07575757575757576,0.5074461883152902,549,594,0,0.015059172175824642,0.043219685554504395,0.05827885866165161,0.0,1.0,0.06710253655910492,mixed_pilot_v6_training_gate_only
42,rect_0043,train,rectangular_notch,0.0,0,0.5,0.8390501319261213,0.9124820659971306,0.038011695906432746,1.1652586888507066,355,342,0,0.024962665513157845,0.08495873212814331,0.109921395778656,0.0,1.0,0.04306276887655258,mixed_pilot_v6_training_gate_only
43,rect_0044,train,rectangular_notch,0.0,0,0.5,0.8873720136518771,0.9403254972875226,0.05964912280701754,0.4660931705332395,536,570,0,0.016634102910757065,0.0664183497428894,0.08305245637893677,0.0,0.9999997615814209,0.0651712641119957,mixed_pilot_v6_training_gate_only
44,rect_0045,train,rectangular_notch,0.0,0,0.5,0.8922651933701657,0.9430656934306569,0.07575757575757576,0.9451753683256369,355,330,0,0.019013453274965286,0.06187474727630615,0.08088819682598114,0.0,1.0,0.04331165552139282,mixed_pilot_v6_training_gate_only
45,rect_0046,train,rectangular_notch,0.0,0,0.5,0.9225352112676056,0.9597069597069597,0.061079545454545456,0.9817891584676561,661,704,0,0.016660509631037712,0.05260652303695679,0.06926703453063965,0.0,0.9999998807907104,0.08067247271537781,mixed_pilot_v6_training_gate_only
46,rect_0047,train,rectangular_notch,0.0,0,0.5,0.9901315789473685,0.9950413223140496,0.009868421052631578,0.03892151001282502,301,304,0,0.0009773469064384699,0.009493350982666016,0.010470697656273842,0.0,1.0,0.037024110555648804,mixed_pilot_v6_training_gate_only
47,rect_0048,train,rectangular_notch,0.0,0,0.5,0.9398496240601504,0.9689922480620154,0.06015037593984962,0.5088025157170502,250,266,0,0.007564821746200323,0.034969329833984375,0.042534150183200836,0.0,1.0,0.030358660966157913,mixed_pilot_v6_training_gate_only
48,rect_0049,train,rectangular_notch,0.0,0,0.5,0.920704845814978,0.9587155963302753,0.05357142857142857,0.16839688705541558,424,448,0,0.009548947215080261,0.048706650733947754,0.058255597949028015,0.0,1.0,0.05257227271795273,mixed_pilot_v6_training_gate_only
49,rect_0050,train,rectangular_notch,0.0,0,0.5,0.9191616766467066,0.9578783151326054,0.08116883116883117,0.6801818374645866,333,308,0,0.00976765900850296,0.04799395799636841,0.05776161700487137,0.0,1.0,0.04085426777601242,mixed_pilot_v6_training_gate_only
50,rect_0051,train,rectangular_notch,0.0,0,0.5,0.8936567164179104,0.9438423645320198,0.07765151515151515,0.547390670446257,487,528,0,0.024912044405937195,0.06499284505844116,0.08990488946437836,0.0,1.0,0.0597371831536293,mixed_pilot_v6_training_gate_only
51,rect_0052,train,rectangular_notch,0.0,0,0.5,0.9144385026737968,0.9553072625698324,0.05434782608695652,0.6230167370708131,696,736,0,0.023623034358024597,0.0551607608795166,0.0787837952375412,0.0,1.0,0.08479051291942596,mixed_pilot_v6_training_gate_only
52,rect_0053,train,rectangular_notch,0.0,0,0.5,0.9628180039138943,0.9810568295114656,0.03333333333333333,0.12096207344702531,493,510,0,0.004594626370817423,0.026858150959014893,0.03145277872681618,0.0,1.0,0.06049017235636711,mixed_pilot_v6_training_gate_only
53,rect_0054,train,rectangular_notch,0.0,0,0.5,0.913322632423756,0.9546979865771812,0.042692939244663386,0.7311560938294163,583,609,0,0.01230904646217823,0.04508769512176514,0.05739673972129822,0.0,1.0,0.07174336165189743,mixed_pilot_v6_training_gate_only
54,rect_0055,train,rectangular_notch,0.0,0,0.5,0.9587155963302753,0.9789227166276346,0.009411764705882352,0.44908561209704395,429,425,0,0.007158362306654453,0.03983950614929199,0.04699786752462387,0.0,1.0,0.05283232033252716,mixed_pilot_v6_training_gate_only
55,rect_0056,train,rectangular_notch,0.0,0,0.5,0.9217391304347826,0.9592760180995475,0.0045351473922902496,0.8152766391532597,443,441,0,0.010531539097428322,0.044243574142456055,0.05477511137723923,0.0,1.0,0.05416166037321091,mixed_pilot_v6_training_gate_only
56,rect_0057,train,rectangular_notch,0.0,0,0.5,0.9219269102990033,0.9593777009507347,0.06521739130434782,0.4204401831566666,559,598,0,0.013646873645484447,0.04496210813522339,0.05860898271203041,0.0,1.0,0.06885391473770142,mixed_pilot_v6_training_gate_only
57,rect_0058,train,rectangular_notch,0.0,0,0.5,0.9021897810218978,0.9485801995395242,0.06101190476190476,0.7422489757211924,631,672,0,0.02795148268342018,0.06159496307373047,0.08954644203186035,0.0,1.0,0.07732882350683212,mixed_pilot_v6_training_gate_only
