sample_id,source_pack,source_sample_id,split,defect_type,center_x,center_y,width,length,depth,angle_deg,vertex_count,polygon_area,n_lines,signal_length,signal_shape,mask_shape,mask_area,delta_bz_min,delta_bz_max,delta_bz_mean,delta_bz_std,has_bz_no_defect,has_bz_defect,has_delta_bz,has_mask,has_coords,delta_matches_defect_minus_reference,notes
rect_0001,pilot_v2_rectangular_notch,sample_001,val,rectangular_notch,-0.00075,0.001,0.01,0.0095,0.001,0.0,0,,3,201,"(3, 201)","(64, 128)",480,-0.0019133939309248105,0.0019265660885201745,-2.4033562666926288e-05,0.0007467903728244743,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0002,pilot_v2_rectangular_notch,sample_002,val,rectangular_notch,0.003,0.0,0.008,0.006,0.0016,0.0,0,,3,201,"(3, 201)","(64, 128)",234,-0.001507913534599509,0.0012661985324593965,-6.752034175161746e-05,0.0005894146697775443,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0003,pilot_v2_rectangular_notch,sample_004,train,rectangular_notch,-0.00075,0.0005,0.012,0.007,0.001,0.0,0,,3,201,"(3, 201)","(64, 128)",418,-0.001652444202174942,0.002016329554422782,4.47513658328007e-05,0.0007225003733362451,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0004,pilot_v2_rectangular_notch,sample_005,val,rectangular_notch,0.0,0.001,0.008,0.007,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",264,-0.0015149063642124552,0.0012097972235544743,-7.593215927269734e-05,0.0005089076677895527,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0005,pilot_v2_rectangular_notch,sample_007,train,rectangular_notch,-0.00075,0.001,0.014,0.01,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",704,-0.0019160470612097139,0.0020264641763368574,2.402420982692949e-05,0.0006965310677851523,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0006,pilot_v2_rectangular_notch,sample_008,train,rectangular_notch,0.00075,0.0,0.014,0.0075,0.0013,0.0,0,,3,201,"(3, 201)","(64, 128)",528,-0.0016747026361254632,0.0016996434849900846,-4.239728030569556e-05,0.0007257615625173737,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0007,pilot_v2_rectangular_notch,sample_010,train,rectangular_notch,0.00225,-0.0005,0.012,0.006,0.0025,0.0,0,,3,201,"(3, 201)","(64, 128)",361,-0.0014201467964567536,0.0012855412785202028,-6.933372151128362e-05,0.00047302567989103227,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0008,pilot_v2_rectangular_notch,sample_011,train,rectangular_notch,0.0015,-0.001,0.013,0.007,0.0025,0.0,0,,3,201,"(3, 201)","(64, 128)",462,-0.0012012778821702467,0.0011513304479134913,-5.8074793560998285e-05,0.00042728676574859607,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0009,pilot_v2_rectangular_notch,sample_013,train,rectangular_notch,0.00225,-0.001,0.014,0.008,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",575,-0.001625321846667713,0.0017850662434533942,-1.9249808227610653e-05,0.0006262406288338584,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0010,pilot_v2_rectangular_notch,sample_014,train,rectangular_notch,0.00075,-0.001,0.01,0.01,0.0025,0.0,0,,3,201,"(3, 201)","(64, 128)",512,-0.0011772144974273864,0.00121335147152945,-3.925840159422866e-05,0.0004910330580707348,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0011,pilot_v2_rectangular_notch,sample_016,val,rectangular_notch,0.003,0.0,0.009,0.01,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",448,-0.0014594805714817473,0.0014421538415599138,-1.228045700591912e-05,0.000651408350012804,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0012,pilot_v2_rectangular_notch,sample_017,train,rectangular_notch,0.0015,0.001,0.011,0.01,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",544,-0.001391652914802587,0.0014956974218841815,-1.4655474184745876e-05,0.0005694975870830283,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0013,pilot_v2_rectangular_notch,sample_019,train,rectangular_notch,-0.003,0.0005,0.016,0.0065,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",525,-0.0011901057809161853,0.001341239012030624,-6.273278653384791e-05,0.000547994801325315,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0014,pilot_v2_rectangular_notch,sample_020,train,rectangular_notch,0.00225,-0.0005,0.012,0.0075,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",437,-0.001429717049035152,0.0014152358181737015,-8.543263697086346e-07,0.0005166329680492435,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0015,pilot_v2_rectangular_notch,sample_022,train,rectangular_notch,-0.00225,0.0,0.012,0.0095,0.0019,0.0,0,,3,201,"(3, 201)","(64, 128)",570,-0.002240740655800339,0.0016447300197137437,-0.00010693810359653214,0.0006548265215096211,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0016,pilot_v2_rectangular_notch,sample_023,train,rectangular_notch,0.00075,0.001,0.016,0.008,0.0025,0.0,0,,3,201,"(3, 201)","(64, 128)",650,-0.0017938371366996,0.0014955298613839262,-2.8997965571155113e-05,0.0005722484436017607,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0017,pilot_v2_rectangular_notch,sample_025,val,rectangular_notch,-0.00225,-0.0005,0.009,0.01,0.0022,0.0,0,,3,201,"(3, 201)","(64, 128)",465,-0.0018290086055478133,0.0013156130030583567,-3.153461562163537e-05,0.0005794698114603219,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
rect_0018,pilot_v2_rectangular_notch,sample_026,test,rectangular_notch,0.003,0.0,0.008,0.01,0.0016,0.0,0,,3,201,"(3, 201)","(64, 128)",416,-0.0015031512215594655,0.0016985224605349195,-6.647076695900223e-05,0.0007225936493725628,True,True,True,True,True,True,balanced pilot_v7 single-defect mixed sample
