group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_is_2_rate,missed_component_rate,merged_component_rate,split_component_rate,component_recall_mean
pred_connected_component_count=2,train,14,0.6973111668919098,0.8181237992319765,0.19459037084149852,1.6733575772703648,529.7142857142857,534.8571428571429,0,0.26114113948174883,2.0,1.0,0.0,0.0,0.0,1.0
pred_connected_component_count=3,train,2,0.6822822822822823,0.8111205432937181,0.23224423000959313,2.37346442543825,518.5,426.5,0,0.27606578171253204,3.0,0.0,0.0,0.0,1.0,1.0
pred_connected_component_count=4,train,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
pred_connected_component_count=2,val,1,0.6435483870967742,0.7831207065750736,0.033932135728542916,3.5649776259939965,518.0,501.0,0,0.30496469140052795,2.0,1.0,0.0,0.0,0.0,1.0
pred_connected_component_count=3,val,2,0.6817591972365604,0.808541859746679,0.09631219718376005,0.8774965880720942,532.0,505.5,0,0.2856057733297348,3.0,0.0,0.0,0.0,1.0,1.0
pred_connected_component_count=4,val,1,0.7716216216216216,0.8710907704042715,0.06921944035346098,1.2915489884727998,632.0,679.0,0,0.2085486352443695,4.0,0.0,0.0,0.0,1.0,1.0
pred_connected_component_count=2,test,4,0.5577331056181318,0.7118518700164956,0.23639869218467624,1.7861807529755178,559.5,506.25,0,0.4113917499780655,2.0,1.0,0.0,0.0,0.0,1.0
pred_connected_component_count=3,test,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
pred_connected_component_count=4,test,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan
pred_connected_component_count=2,all,19,0.6650966918976862,0.7939084934678278,0.19493642611832773,1.796668774720062,535.3684210526316,527.0526315789474,0,0.29507934968722493,2.0,1.0,0.0,0.0,0.0,1.0
pred_connected_component_count=3,all,4,0.6820207397594213,0.8098312015201986,0.16427821359667658,1.625480506755172,525.25,466.0,0,0.2808357775211334,3.0,0.0,0.0,0.0,1.0,1.0
pred_connected_component_count=4,all,1,0.7716216216216216,0.8710907704042715,0.06921944035346098,1.2915489884727998,632.0,679.0,0,0.2085486352443695,4.0,0.0,0.0,0.0,1.0,1.0
