seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin,polygon_component_present
42,0,sample_001,train,rectangular_notch+rectangular_notch,0.6,0.7083333333333334,0.8292682926829268,0.04361370716510903,1.4588436131572062,670,642,0,0.0679713785648346,0.19336038827896118,0.2613317668437958,0.0,0.9999674558639526,0.08595384657382965,2,2,0,1,0,0,0,0.6283582089552239,0.3716417910447761,1.0,multi_defect_pilot_gate_only,0.020015993605114885,near,642,small,no
42,1,sample_002,train,rectangular_notch+rotated_rect,0.6,0.8130434782608695,0.8968824940047961,0.0399529964747356,1.6115916908207464,817,851,0,0.05070893466472626,0.13329356908798218,0.18400250375270844,0.0,0.9998881816864014,0.10498207062482834,2,2,0,1,0,0,0,0.7197062423500612,0.2802937576499388,1.0,multi_defect_pilot_gate_only,0.02009975124224178,near,851,large,no
42,2,sample_003,train,rotated_rect+rotated_rect,0.6,0.6519607843137255,0.7893175074183977,0.14992025518341306,0.513860384819126,721,627,0,0.0926230251789093,0.24204957485198975,0.33467260003089905,0.0,0.9997661709785461,0.0948031097650528,2,2,0,1,0,0,0,0.5922330097087378,0.4077669902912621,1.0,multi_defect_pilot_gate_only,0.020015993605114885,near,627,small,no
42,3,sample_004,train,rectangular_notch+polygon,0.6,0.7895299145299145,0.8823880597014926,0.07692307692307693,1.7474144416971054,804,871,0,0.05346313863992691,0.15880590677261353,0.21226903796195984,0.0,0.9999135732650757,0.10624170303344727,2,2,0,1,0,0,0,0.7313432835820896,0.26865671641791045,1.0,multi_defect_pilot_gate_only,0.02009975124224178,near,871,large,yes
42,4,sample_005,train,rotated_rect+polygon,0.6,0.6351351351351351,0.7768595041322314,0.16775244299674266,2.4035431611217137,717,614,0,0.09253814816474915,0.25056207180023193,0.3431002199649811,0.0,0.999823272228241,0.09368748962879181,2,2,0,1,0,0,0,0.5174337517433751,0.4825662482566248,1.0,multi_defect_pilot_gate_only,0.020015993605114885,near,614,small,yes
42,5,sample_006,train,rectangular_notch+rectangular_notch,0.6,0.6440677966101694,0.7835051546391752,0.2239858906525573,2.528576074776941,694,567,0,0.08194607496261597,0.23200702667236328,0.31395310163497925,0.0,0.9999537467956543,0.08683168888092041,2,2,0,1,0,0,0,0.5057636887608069,0.4942363112391931,1.0,multi_defect_pilot_gate_only,0.02209072203437452,near,567,small,no
42,6,sample_007,train,rectangular_notch+rotated_rect,0.6,0.7941176470588235,0.8852459016393442,0.13430851063829788,1.1714393715886666,651,752,0,0.04462333023548126,0.13208997249603271,0.17671330273151398,0.0,0.9998520612716675,0.08289270102977753,2,2,0,1,0,0,0,0.5023041474654378,0.4976958525345622,1.0,multi_defect_pilot_gate_only,0.022014540649307218,near,752,medium,no
42,7,sample_008,train,rotated_rect+rotated_rect,0.6,0.6487309644670051,0.7869458128078818,0.2814814814814815,2.052338936264127,679,945,0,0.105558842420578,0.2110079526901245,0.3165667951107025,0.0,0.9999003410339355,0.0886058434844017,2,2,0,1,0,0,0,0.5758468335787923,0.42415316642120765,1.0,multi_defect_pilot_gate_only,0.02209072203437452,near,945,large,no
42,8,sample_009,train,rectangular_notch+polygon,0.6,0.6604434072345391,0.7955024595924104,0.15279878971255673,1.2413198187400558,762,661,0,0.08353590965270996,0.22263717651367188,0.30617308616638184,0.0,0.9995206594467163,0.0974172055721283,2,2,0,1,0,0,0,0.526246719160105,0.473753280839895,1.0,multi_defect_pilot_gate_only,0.022014540649307218,near,661,medium,yes
42,9,sample_010,train,rotated_rect+polygon,0.6,0.5334957369062119,0.6957903097696585,0.35767790262172283,7.209776435198207,725,534,0,0.12564614415168762,0.3386416435241699,0.46428778767585754,0.0,0.9991959929466248,0.09549054503440857,2,2,0,1,0,0,0,0.5710344827586207,0.4289655172413793,1.0,multi_defect_pilot_gate_only,0.02209072203437452,near,534,small,yes
42,10,sample_011,train,rectangular_notch+rectangular_notch,0.6,0.7085650723025584,0.8294270833333334,0.12454212454212454,1.3099959562962566,717,819,0,0.08340854197740555,0.19638222455978394,0.2797907590866089,0.0,0.9994738698005676,0.09133492410182953,2,2,0,1,0,0,0,0.5146443514644351,0.48535564853556484,1.0,multi_defect_pilot_gate_only,0.024013329631685815,medium,819,large,no
42,11,sample_012,train,rectangular_notch+rotated_rect,0.6,0.6808988764044944,0.8101604278074866,0.15561959654178675,1.4854662623514385,802,694,0,0.08166026324033737,0.21453917026519775,0.2961994409561157,0.0,0.9999017715454102,0.10415507853031158,2,2,0,1,0,0,0,0.6184538653366584,0.38154613466334164,1.0,multi_defect_pilot_gate_only,0.024083189157584593,medium,694,medium,no
42,12,sample_013,train,rotated_rect+rotated_rect,0.6,0.7111111111111111,0.8311688311688312,0.20093457943925233,0.46523576202006833,684,856,0,0.08304715156555176,0.17394143342971802,0.2569885849952698,0.0,0.999990701675415,0.08835369348526001,2,2,0,1,0,0,0,0.5292397660818714,0.47076023391812866,1.0,multi_defect_pilot_gate_only,0.024013329631685815,medium,856,large,no
42,13,sample_014,train,rectangular_notch+polygon,0.6,0.739972337482711,0.8505564387917329,0.16523235800344235,1.5897743283541432,677,581,0,0.05383049324154854,0.18197917938232422,0.23580966889858246,0.0,0.999913215637207,0.08681418001651764,2,2,0,1,0,0,0,0.6499261447562777,0.3500738552437223,1.0,multi_defect_pilot_gate_only,0.024083189157584593,medium,581,small,yes
