seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean
42,defect_type=rectangular_notch,train,134,0.7285540090294373,0.8401308147455689,0.17288607420989358,2.0488507202199915,456.9179104477612,526.5298507462686,0,0.2306039562977072
42,defect_type=rotated_rect,train,134,0.6851211331042075,0.8112441783209411,0.12190106454735748,2.346917002030694,293.32089552238807,293.4776119402985,0,0.24447808097769966
42,defect_type=polygon,train,134,0.6921981710916273,0.8160499014929065,0.17450030262192265,2.4717740334827116,355.7313432835821,387.6194029850746,0,0.2516859287757482
42,defect_type=rectangular_notch,val,33,0.680852681927888,0.8072231141282717,0.2207112408609917,2.4340028888208822,310.27272727272725,342.6060606060606,0,0.2648948796770789
42,defect_type=rotated_rect,val,33,0.671246108591278,0.8000093568963818,0.159327961868041,2.4887231921549917,303.8484848484849,297.030303030303,0,0.2608746254082882
42,defect_type=polygon,val,33,0.6451531130395479,0.7811129766586394,0.23675589919590595,2.9398643756812985,347.2121212121212,390.6060606060606,0,0.308147750117562
42,defect_type=rectangular_notch,test,33,0.6685337850601811,0.7988644328878587,0.25726024942589243,2.1135823469030925,322.4848484848485,399.6060606060606,0,0.28315593979575415
42,defect_type=rotated_rect,test,33,0.6480079833381551,0.7845658062132886,0.21176574073247206,2.655916213108717,329.969696969697,306.1515151515151,0,0.2814766773671815
42,defect_type=polygon,test,33,0.6476157598804007,0.7817562914572743,0.2265142310887658,2.753403375333189,365.1515151515151,412.06060606060606,0,0.30970397275505646
42,defect_type=rectangular_notch,all,200,0.7107799531027544,0.8278920911371926,0.19469896561796457,2.1230815464418504,410.54,475.24,0,0.24493303593248128
42,defect_type=rotated_rect,all,200,0.6767080843481756,0.8049885013881263,0.1429041741758142,2.4212998932290772,301.105,296.155,0,0.2532882792130113
42,defect_type=polygon,all,200,0.6770796386631818,0.8046268632393732,0.19335477425365902,2.5954777813508065,355.88,392.145,0,0.27057510655373335
123,defect_type=rectangular_notch,train,134,0.6978245738472555,0.8175899911946098,0.2128348020826194,2.1307737937139954,415.95522388059703,526.5298507462686,0,0.21619634647200356
123,defect_type=rotated_rect,train,134,0.6812139078156929,0.8080711391635256,0.10853557670182878,2.439042902579835,283.57462686567163,293.4776119402985,0,0.2516130893421707
123,defect_type=polygon,train,134,0.6954195152779481,0.8179253521046517,0.17489504926602367,2.4229259594869097,331.4029850746269,387.6194029850746,0,0.22883171226773688
123,defect_type=rectangular_notch,val,33,0.6908646324759667,0.8140277691522801,0.18875181156228693,2.1946344231193833,316.93939393939394,342.6060606060606,0,0.2606509287248958
123,defect_type=rotated_rect,val,33,0.6807567515470792,0.8079584230819867,0.1288563329723562,2.3418460077697616,286.09090909090907,297.030303030303,0,0.25259964687354636
123,defect_type=polygon,val,33,0.645554165726701,0.7814509989240958,0.23971604058222076,2.9338369960391195,326.3636363636364,390.6060606060606,0,0.28409935037295025
123,defect_type=rectangular_notch,test,33,0.639868125344541,0.7779906342239183,0.2510231245648834,2.2607026404014565,326.1818181818182,399.6060606060606,0,0.2750030561830058
123,defect_type=rotated_rect,test,33,0.6358992391158285,0.7748530888281514,0.17196733101242373,2.8650691300907836,319.45454545454544,306.1515151515151,0,0.3102771165696057
123,defect_type=polygon,test,33,0.6516026821498043,0.7862753956296292,0.20032666008661756,2.7808564201668946,340.72727272727275,412.06060606060606,0,0.2680522718212821
123,defect_type=rectangular_notch,all,200,0.687113369518045,0.8104683306574613,0.21516218185633806,2.1627490572693153,384.805,475.24,0,0.23323445964604617
123,defect_type=rotated_rect,all,200,0.673661556695894,0.8025715627047351,0.12235474094771398,2.493299742475479,289.91,296.155,0,0.26145543582737446
123,defect_type=polygon,all,200,0.6799619551358487,0.8066848410114812,0.1897867286185942,2.5662848065302217,332.11,392.145,0,0.24442226488143207
2026,defect_type=rectangular_notch,train,134,0.7637929548335637,0.864210944479727,0.1466464116922641,1.8711727499235231,469.2985074626866,526.5298507462686,0,0.18479833696315537
2026,defect_type=rotated_rect,train,134,0.7107115343425113,0.8291018225510324,0.11225064595810008,2.157939482953537,294.45522388059703,293.4776119402985,0,0.23049867408933924
2026,defect_type=polygon,train,134,0.7286624907610151,0.8403183925733613,0.12786404048473926,2.215883157686952,371.4925373134328,387.6194029850746,0,0.21833531408390003
2026,defect_type=rectangular_notch,val,33,0.6941020308070738,0.8172092861859896,0.2177247397426419,2.3322940753485066,344.030303030303,342.6060606060606,0,0.25679474436875543
2026,defect_type=rotated_rect,val,33,0.6772526288376922,0.8049003132483795,0.1707924935410875,2.476327298756889,304.57575757575756,297.030303030303,0,0.2588714584708214
2026,defect_type=polygon,val,33,0.6443461988859364,0.7802755796318429,0.24562567775946675,2.939123846286802,359.75757575757575,390.6060606060606,0,0.29255030236460944
2026,defect_type=rectangular_notch,test,33,0.6672452667918594,0.7981601630912419,0.20410762712933178,2.271363529735453,354.54545454545456,399.6060606060606,0,0.2611203401377707
