split,group_name,group_value,sample_count,initial_forward_mse_mean,refined_forward_mse_mean,forward_mse_delta_mean,initial_forward_nrmse_mean,refined_forward_nrmse_mean,forward_nrmse_reduction_mean,initial_forward_correlation_mean,refined_forward_correlation_mean,forward_correlation_delta_mean
train,overall,rect_rot,268,0.19600788877109315,0.12871827843334915,-0.06728961033774401,0.4868080358810568,0.37432736949507295,0.11248066638598388,0.9359180147412075,0.945127882380501,0.009209867639293457
train,defect_type,rectangular_notch,134,0.2678395665959636,0.18395718634684585,-0.08388238024911773,0.5461140753417114,0.44007957191103936,0.10603450343067207,0.9280656996532516,0.9354468347442614,0.0073811350910096335
train,defect_type,rotated_rect,134,0.12417621094622273,0.07347937051985245,-0.05069684042637028,0.42750199642040215,0.3085751670791066,0.11892682934129567,0.9437703298291634,0.9548089300167405,0.01103860018757728
train,source_pack,pilot_v2_rectangular_notch,81,0.265864556034406,0.19998977508073973,-0.0658747809536663,0.37804893159687747,0.33099636012069106,0.047052571476186404,0.9471925607016795,0.9537147324413036,0.006522171739623997
train,source_pack,pilot_v3_rotated_rect,30,0.28919443463285766,0.20394046033422153,-0.08525397429863611,0.3961798263918303,0.33979382763243654,0.05638599875939378,0.9410511196369299,0.9476929350614047,0.006641815424474784
train,source_pack,pilot_v7_topup_rotated_rect,16,0.05975189618766308,0.036038736114278436,-0.023713160073384643,0.34415372029498376,0.26939006656257597,0.07476365373240784,0.9552463212007981,0.9648427817952687,0.009596460594470536
train,source_pack,pilot_v8_topup_rotated_rect,24,0.04965998550566534,0.0325617208921661,-0.017098264613499243,0.3215586052265885,0.26165238321065154,0.05990622201593699,0.9597754485841771,0.9673254755156527,0.007550026931475722
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.270857978963627,0.1594545507346684,-0.1114034282289586,0.8029683516309859,0.6067916503076094,0.19617670132337658,0.8988340818245225,0.9075279722261405,0.00869389040161787
train,source_pack,pilot_v9_topup_rotated_rect,64,0.09087358182296157,0.037030011881142855,-0.053843569941818714,0.50275010435033,0.3213337390245363,0.18141636532579364,0.9361740422307341,0.9509423851453304,0.014768342914596349
val,overall,rect_rot,66,0.20392620701794373,0.13625311823279568,-0.06767308878514802,0.49725904910084234,0.38369704487260486,0.11356200422823749,0.9260595053176409,0.9387727576030351,0.012713252285394095
val,defect_type,rectangular_notch,33,0.24917480101188025,0.17233214453991616,-0.07684265647196409,0.5513201396848426,0.4311819375185563,0.12013820216628629,0.9132851523779019,0.9269186415159368,0.013633489138034928
val,defect_type,rotated_rect,33,0.15867761302400718,0.10017409192567522,-0.05850352109833197,0.44319795851684207,0.33621215222665335,0.10698580629018871,0.9388338582573801,0.9506268736901333,0.011793015432753264
val,source_pack,pilot_v2_rectangular_notch,19,0.3085643790270153,0.2398244169981856,-0.06873996202882968,0.4376709223184243,0.3857269021498765,0.05194402016854783,0.9124848008350748,0.9250535095352428,0.01256870870016796
val,source_pack,pilot_v3_rotated_rect,9,0.26806380848089856,0.20631180538071525,-0.06175200310018328,0.3922324855283052,0.3466898904016768,0.045542595126628393,0.9422159073271688,0.9460277452932162,0.0038118379660475967
val,source_pack,pilot_v7_topup_rotated_rect,8,0.08803945267572999,0.04793023504316807,-0.04010921763256192,0.40717460178419157,0.3026321629771004,0.10454243880709116,0.9518537182197353,0.9606244328632905,0.008770714643555277
val,source_pack,pilot_v8_topup_rotated_rect,8,0.08372041140682995,0.03625450958497822,-0.04746590182185173,0.4221751847286553,0.2851765403184112,0.13699864441024406,0.9474458940183146,0.9610979487006295,0.013652054682314771
val,source_pack,pilot_v9_topup_rectangular_notch,14,0.16857465941991126,0.08073548906083618,-0.08783917035907507,0.7055583632535531,0.49287091409033607,0.212687449163217,0.9143713437574531,0.9294498920611647,0.015078548303711525
val,source_pack,pilot_v9_topup_rotated_rect,8,0.18121350510045886,0.09693260351195931,-0.08428090158849955,0.5575802461497835,0.40904029793754737,0.1485399482122362,0.913397157330578,0.9353322589530115,0.021935101622433617
test,overall,rect_rot,66,0.21506007207614003,0.1427802795713598,-0.07227979250478023,0.48686885371548744,0.3640512428198642,0.12281761089562326,0.9277872551491472,0.9423018196127275,0.014514564463580362
test,defect_type,rectangular_notch,33,0.23894951436104198,0.17057037635734587,-0.06837913800369609,0.47193308942739665,0.3666294316266255,0.1053036578007712,0.9259231296666037,0.9386211871215489,0.012698057454945105
test,defect_type,rotated_rect,33,0.19117062979123808,0.11499018278537375,-0.07618044700586435,0.5018046180035781,0.36147305401310276,0.1403315639904753,0.9296513806316906,0.9459824521039062,0.01633107147221562
test,source_pack,pilot_v2_rectangular_notch,20,0.31280618980526925,0.24483174681663514,-0.06797444298863412,0.4097395889803105,0.36299295545505855,0.04674663352525189,0.9250468696748765,0.9355308980952491,0.010484028420372531
