split,group_name,group_value,sample_count,initial_center_error_px_mean,refined_center_error_px_mean,center_error_delta_px_mean,true_width_mean,initial_width_mean,refined_width_mean,width_drift_m_mean,true_length_mean,initial_length_mean,refined_length_mean,length_drift_m_mean,true_depth_mean,initial_depth_mean,refined_depth_mean,depth_drift_m_mean,initial_angle_mae_deg,refined_angle_mae_deg,angle_error_delta_mean,center_drift_m_mean,parameter_drift_norm_mean
train,overall,rect_rot,268,2.199690649522627,2.266897969751346,0.06720732022871932,0.011115671952129967,0.010156749454048921,0.01015522164021577,-1.5278138331512906e-06,0.007130597052581386,0.006921013082210809,0.0069046278167933005,-1.6385265417508226e-05,0.0015537313567022724,0.001500000013038516,0.0014712665366432838,-2.873347639523224e-05,20.069571078751686,20.15534366986323,0.08577259111153746,0.00032533925751055336,0.41337588749026866
train,defect_type,rectangular_notch,134,2.0561516675382188,2.1704996470722846,0.1143479795340659,0.013186567393479063,0.011700607242007086,0.011771770326226061,7.116308421897355e-05,0.007925373158042334,0.007243106631673316,0.007313639742197163,7.053311052384661e-05,0.0017231343272350618,0.001500000013038516,0.0014931740892578417,-6.825923780674365e-06,nan,nan,nan,0.000332877273351906,0.4442937418074862
train,defect_type,rotated_rect,134,2.343229631507035,2.363296292430408,0.02006666092337273,0.009044776510780872,0.008612891666090755,0.00853867295420548,-7.421871188527612e-05,0.006335820947120439,0.0065989195327483,0.006495615891389438,-0.00010330364135886306,0.0013843283861694829,0.001500000013038516,0.0014493589840287259,-5.064102900979012e-05,20.069571078751686,20.15534366986323,0.08577259111153746,0.0003178012416692008,0.38245803317305116
train,source_pack,pilot_v2_rectangular_notch,81,1.8895533611136612,2.066760143504358,0.17720678239069698,0.012913580477973561,0.011684027132520706,0.012104562058308978,0.00042053492578827305,0.007913580262044698,0.0073977671276180094,0.007706819349370989,0.00030905222175297913,0.0017999999963873882,0.001500000013038516,0.0014467842971768092,-5.3215715861706825e-05,nan,nan,nan,0.00031550475372399146,0.43209127308029655
train,source_pack,pilot_v3_rotated_rect,30,2.247094086206628,2.367162431132213,0.12006834492558432,0.012666667097558577,0.011234101994584004,0.011642733635380865,0.0004086316407968601,0.007500000049670537,0.007206481788307429,0.007491845404729247,0.0002853636164218187,0.0017666666923711698,0.001500000013038516,0.0014540186462303002,-4.598136680821578e-05,20.178224577510022,20.571424707045864,0.39320012953583755,0.00030358804414228074,0.4304459959170802
train,source_pack,pilot_v7_topup_rotated_rect,16,2.213425628073124,2.0688362838052843,-0.14458934426784015,0.00800000037997961,0.007709459780016914,0.007453008438460529,-0.00025645134155638516,0.006000000052154064,0.006442689889809117,0.006186428741784766,-0.0002562611480243504,0.0010000000474974513,0.001500000013038516,0.0014258759474614635,-7.412406557705253e-05,20.111943426503032,20.41852923727023,0.3065858107671966,0.0003180452742609751,0.39436674920830495
train,source_pack,pilot_v8_topup_rotated_rect,24,2.1741260178448676,2.206064047720465,0.031938029875597344,0.00800000037997961,0.007842655992135406,0.0077460136769029,-9.66423152325054e-05,0.006000000052154064,0.006416143907699734,0.00627561171616738,-0.00014053219153235355,0.0010000000474974513,0.001500000013038516,0.0014284457138273865,-7.155429921112955e-05,19.940177377118175,19.41921284147795,-0.5209645356402266,0.00030541063879225384,0.3130201875233846
train,source_pack,pilot_v9_topup_rectangular_notch,53,2.3107641735832964,2.329044926110058,0.018280752526761833,0.013603773811515773,0.011725946654618348,0.011263164094174808,-0.00046278256044354077,0.007943396263246267,0.007006738703908786,0.00671274260670509,-0.00029399609720369554,0.0016056603800399967,0.001500000013038516,0.001564071696023193,6.407168298467713e-05,nan,nan,nan,0.0003594277278775867,0.4629427977867759
train,source_pack,pilot_v9_topup_rotated_rect,64,2.484158024348392,2.494061133836447,0.00990310948805501,0.00800000037997961,0.007898895673861261,0.007652307867829222,-0.0002465878060320392,0.006000000052154064,0.006421722995582968,0.006188431660120841,-0.00023329133546212688,0.001445312516807462,0.001500000013038516,0.0014608880028390558,-3.91120101994602e-05,20.05656930238345,20.170558352476593,0.11398905009314353,0.00032904914594085607,0.3830256887465991
val,overall,rect_rot,66,2.5403482700477835,2.565948084254974,0.02559981420718981,0.00910606077223113,0.008976935373732087,0.008986395854277142,9.460480545054782e-06,0.006924242479726672,0.006782056643825137,0.006772253351906936,-9.80329191820188e-06,0.0014196969921503103,0.001500000013038516,0.00148324930694688,-1.6750706091636058e-05,19.5283409088842,20.857504129924383,1.3291632210401834,0.00033076419615305587,0.3997323681854168
