plan_row_index,base_ordinal,variant_ordinal,base_sample_id,base_source_index,perturb_sample_id,split,defect_type,forward_geometry_type,source_pack,source_sample_id,variant_type,perturb_level,expected_quality_rank,requires_comsol_forward,reference_delta_bz_source,center_x,center_y,width,length,depth,angle_rad,angle_deg,angle_sin,angle_cos,base_center_x,base_center_y,base_width,base_length,base_depth,base_angle_rad,base_angle_deg,geometry_mask_iou_vs_true,geometry_mask_dice_vs_true,area_error_vs_true,pred_mask_area_px,true_mask_area_px,center_delta_m,angle_delta_abs_deg,size_delta_norm,depth_delta_abs_m,perturbation_deltas,geometry_params,geometry_quality_to_true,notes
0,0,0,rect_p2_0083,82,rect_p2_0083__perturb_00_true_geometry_reference,train,rectangular_notch,rectangular_notch,pilot_v2_rectangular_notch,sample_083,true_geometry_reference,reference,0,false,comsol_single_defect_multiline_forward_pack_v1_pilot_v9_balanced_single_defect.npz:rect_p2_0083,-0.003,-0.0005,0.011,0.0065,0.0013,0.0,0.0,0.0,1.0,-0.003,-0.0005,0.011,0.0065,0.0013,0.0,0.0,1.0,1.0,0.0,357.0,357.0,0.0,0.0,0.0,0.0,"{""actual_delta_angle_deg"":0.0,""actual_delta_center_x"":0.0,""actual_delta_center_y"":0.0,""actual_depth_scale"":1.0,""actual_length_scale"":1.0,""actual_width_scale"":1.0,""delta_angle_deg"":0.0,""delta_center_x"":0.0,""delta_center_y"":0.0,""depth_scale"":1.0,""length_scale"":1.0,""width_scale"":1.0}","{""angle_cos"":1.0,""angle_deg"":0.0,""angle_rad"":0.0,""angle_sin"":0.0,""base_defect_type"":""rectangular_notch"",""center_x"":-0.003,""center_y"":-0.0005,""depth"":0.0013,""forward_geometry_type"":""rectangular_notch"",""length"":0.0065,""units"":""coordinates=m, Bz=T"",""width"":0.011}","{""angle_delta_abs_deg"":0.0,""area_error"":0.0,""center_delta_m"":0.0,""depth_delta_abs_m"":0.0,""mask_dice"":1.0,""mask_iou"":1.0,""pred_area_px"":357.0,""size_delta_norm"":0.0,""true_area_px"":357.0}",true_geometry_reference_reuses_original_delta_bz
1,0,1,rect_p2_0083,82,rect_p2_0083__perturb_01_center_shift_small,train,rectangular_notch,rectangular_notch,pilot_v2_rectangular_notch,sample_083,center_shift_small,small,1,true,comsol_single_defect_multiline_forward_pack_v1_pilot_v9_balanced_single_defect.npz:rect_p2_0083,-0.00375,0.0,0.011,0.0065,0.0013,0.0,0.0,0.0,1.0,-0.003,-0.0005,0.011,0.0065,0.0013,0.0,0.0,0.7360774818401937,0.8479776847977685,0.008403361344537815,360.0,357.0,0.0009013878188659972,0.0,0.0,0.0,"{""actual_delta_angle_deg"":0.0,""actual_delta_center_x"":-0.0007499999999999998,""actual_delta_center_y"":0.0005,""actual_depth_scale"":1.0,""actual_length_scale"":1.0,""actual_width_scale"":1.0,""delta_angle_deg"":0.0,""delta_center_x"":-0.00075,""delta_center_y"":0.0005,""depth_scale"":1.0,""length_scale"":1.0,""width_scale"":1.0}","{""angle_cos"":1.0,""angle_deg"":0.0,""angle_rad"":0.0,""angle_sin"":0.0,""base_defect_type"":""rectangular_notch"",""center_x"":-0.00375,""center_y"":0.0,""depth"":0.0013,""forward_geometry_type"":""rectangular_notch"",""length"":0.0065,""units"":""coordinates=m, Bz=T"",""width"":0.011}","{""angle_delta_abs_deg"":0.0,""area_error"":0.008403361344537815,""center_delta_m"":0.0009013878188659972,""depth_delta_abs_m"":0.0,""mask_dice"":0.8479776847977685,""mask_iou"":0.7360774818401937,""pred_area_px"":360.0,""size_delta_norm"":0.0,""true_area_px"":357.0}",requires_real_comsol_forward
2,0,2,rect_p2_0083,82,rect_p2_0083__perturb_02_center_shift_large,train,rectangular_notch,rectangular_notch,pilot_v2_rectangular_notch,sample_083,center_shift_large,large,2,true,comsol_single_defect_multiline_forward_pack_v1_pilot_v9_balanced_single_defect.npz:rect_p2_0083,-0.001,-0.0019,0.011,0.0065,0.0013,0.0,0.0,0.0,1.0,-0.003,-0.0005,0.011,0.0065,0.0013,0.0,0.0,0.47357293868921774,0.642754662840746,0.047619047619047616,340.0,357.0,0.0024413111231467405,0.0,0.0,0.0,"{""actual_delta_angle_deg"":0.0,""actual_delta_center_x"":0.002,""actual_delta_center_y"":-0.0014,""actual_depth_scale"":1.0,""actual_length_scale"":1.0,""actual_width_scale"":1.0,""delta_angle_deg"":0.0,""delta_center_x"":0.002,""delta_center_y"":-0.0014,""depth_scale"":1.0,""length_scale"":1.0,""width_scale"":1.0}","{""angle_cos"":1.0,""angle_deg"":0.0,""angle_rad"":0.0,""angle_sin"":0.0,""base_defect_type"":""rectangular_notch"",""center_x"":-0.001,""center_y"":-0.0019,""depth"":0.0013,""forward_geometry_type"":""rectangular_notch"",""length"":0.0065,""units"":""coordinates=m, Bz=T"",""width"":0.011}","{""angle_delta_abs_deg"":0.0,""area_error"":0.047619047619047616,""center_delta_m"":0.0024413111231467405,""depth_delta_abs_m"":0.0,""mask_dice"":0.642754662840746,""mask_iou"":0.47357293868921774,""pred_area_px"":340.0,""size_delta_norm"":0.0,""true_area_px"":357.0}",requires_real_comsol_forward
3,0,3,rect_p2_0083,82,rect_p2_0083__perturb_03_size_scale_small,train,rectangular_notch,rectangular_notch,pilot_v2_rectangular_notch,sample_083,size_scale_small,small,1,true,comsol_single_defect_multiline_forward_pack_v1_pilot_v9_balanced_single_defect.npz:rect_p2_0083,-0.003,-0.0005,0.01012,0.006955,0.001378,0.0,0.0,0.0,1.0,-0.003,-0.0005,0.011,0.0065,0.0013,0.0,0.0,0.900804289544236,0.9478138222849083,0.014005602240896359,352.0,357.0,0.0,0.0,0.075,7.800000000000016e-05,"{""actual_delta_angle_deg"":0.0,""actual_delta_center_x"":0.0,""actual_delta_center_y"":0.0,""actual_depth_scale"":1.06,""actual_length_scale"":1.07,""actual_width_scale"":0.9200000000000002,""delta_angle_deg"":0.0,""delta_center_x"":0.0,""delta_center_y"":0.0,""depth_scale"":1.06,""length_scale"":1.07,""width_scale"":0.92}","{""angle_cos"":1.0,""angle_deg"":0.0,""angle_rad"":0.0,""angle_sin"":0.0,""base_defect_type"":""rectangular_notch"",""center_x"":-0.003,""center_y"":-0.0005,""depth"":0.001378,""forward_geometry_type"":""rectangular_notch"",""length"":0.006955,""units"":""coordinates=m, Bz=T"",""width"":0.01012}","{""angle_delta_abs_deg"":0.0,""area_error"":0.014005602240896359,""center_delta_m"":0.0,""depth_delta_abs_m"":7.800000000000016e-05,""mask_dice"":0.9478138222849083,""mask_iou"":0.900804289544236,""pred_area_px"":352.0,""size_delta_norm"":0.075,""true_area_px"":357.0}",requires_real_comsol_forward
4,0,4,rect_p2_0083,82,rect_p2_0083__perturb_04_size_scale_large,train,rectangular_notch,rectangular_notch,pilot_v2_rectangular_notch,sample_083,size_scale_large,large,2,true,comsol_single_defect_multiline_forward_pack_v1_pilot_v9_balanced_single_defect.npz:rect_p2_0083,-0.003,-0.0005,0.01342,0.00533,0.0011049999999999999,0.0,0.0,0.0,1.0,-0.003,-0.0005,0.011,0.0065,0.0013,0.0,0.0,0.68,0.8095238095238095,0.0,357.0,357.0,0.0,0.0,0.2,0.00019500000000000008,"{""actual_delta_angle_deg"":0.0,""actual_delta_center_x"":0.0,""actual_delta_center_y"":0.0,""actual_depth_scale"":0.85,""actual_length_scale"":0.82,""actual_width_scale"":1.22,""delta_angle_deg"":0.0,""delta_center_x"":0.0,""delta_center_y"":0.0,""depth_scale"":0.85,""length_scale"":0.82,""width_scale"":1.22}","{""angle_cos"":1.0,""angle_deg"":0.0,""angle_rad"":0.0,""angle_sin"":0.0,""base_defect_type"":""rectangular_notch"",""center_x"":-0.003,""center_y"":-0.0005,""depth"":0.0011049999999999999,""forward_geometry_type"":""rectangular_notch"",""length"":0.00533,""units"":""coordinates=m, Bz=T"",""width"":0.01342}","{""angle_delta_abs_deg"":0.0,""area_error"":0.0,""center_delta_m"":0.0,""depth_delta_abs_m"":0.00019500000000000008,""mask_dice"":0.8095238095238095,""mask_iou"":0.68,""pred_area_px"":357.0,""size_delta_norm"":0.2,""true_area_px"":357.0}",requires_real_comsol_forward
5,0,5,rect_p2_0083,82,rect_p2_0083__perturb_05_angle_shift_small,train,rectangular_notch,rotated_rect,pilot_v2_rectangular_notch,sample_083,angle_shift_small,small,1,true,comsol_single_defect_multiline_forward_pack_v1_pilot_v9_balanced_single_defect.npz:rect_p2_0083,-0.003,-0.0005,0.011,0.0065,0.0013,-0.08726646259971647,-5.0,-0.08715574274765817,0.9961946980917455,-0.003,-0.0005,0.011,0.0065,0.0013,0.0,0.0,0.9093333333333333,0.952513966480447,0.0056022408963585435,359.0,357.0,0.0,5.0,0.0,0.0,"{""actual_delta_angle_deg"":-5.0,""actual_delta_center_x"":0.0,""actual_delta_center_y"":0.0,""actual_depth_scale"":1.0,""actual_length_scale"":1.0,""actual_width_scale"":1.0,""delta_angle_deg"":-5.0,""delta_center_x"":0.0,""delta_center_y"":0.0,""depth_scale"":1.0,""length_scale"":1.0,""width_scale"":1.0}","{""angle_cos"":0.9961946980917455,""angle_deg"":-5.0,""angle_rad"":-0.08726646259971647,""angle_sin"":-0.08715574274765817,""base_defect_type"":""rectangular_notch"",""center_x"":-0.003,""center_y"":-0.0005,""depth"":0.0013,""forward_geometry_type"":""rotated_rect"",""length"":0.0065,""units"":""coordinates=m, Bz=T"",""width"":0.011}","{""angle_delta_abs_deg"":5.0,""area_error"":0.0056022408963585435,""center_delta_m"":0.0,""depth_delta_abs_m"":0.0,""mask_dice"":0.952513966480447,""mask_iou"":0.9093333333333333,""pred_area_px"":359.0,""size_delta_norm"":0.0,""true_area_px"":357.0}",requires_real_comsol_forward
6,0,6,rect_p2_0083,82,rect_p2_0083__perturb_06_angle_shift_large,train,rectangular_notch,rotated_rect,pilot_v2_rectangular_notch,sample_083,angle_shift_large,large,2,true,comsol_single_defect_multiline_forward_pack_v1_pilot_v9_balanced_single_defect.npz:rect_p2_0083,-0.003,-0.0005,0.011,0.0065,0.0013,0.2617993877991494,15.0,0.25881904510252074,0.9659258262890683,-0.003,-0.0005,0.011,0.0065,0.0013,0.0,0.0,0.7875,0.8811188811188811,0.0028011204481792717,358.0,357.0,0.0,15.0,0.0,0.0,"{""actual_delta_angle_deg"":15.0,""actual_delta_center_x"":0.0,""actual_delta_center_y"":0.0,""actual_depth_scale"":1.0,""actual_length_scale"":1.0,""actual_width_scale"":1.0,""delta_angle_deg"":15.0,""delta_center_x"":0.0,""delta_center_y"":0.0,""depth_scale"":1.0,""length_scale"":1.0,""width_scale"":1.0}","{""angle_cos"":0.9659258262890683,""angle_deg"":15.0,""angle_rad"":0.2617993877991494,""angle_sin"":0.25881904510252074,""base_defect_type"":""rectangular_notch"",""center_x"":-0.003,""center_y"":-0.0005,""depth"":0.0013,""forward_geometry_type"":""rotated_rect"",""length"":0.0065,""units"":""coordinates=m, Bz=T"",""width"":0.011}","{""angle_delta_abs_deg"":15.0,""area_error"":0.0028011204481792717,""center_delta_m"":0.0,""depth_delta_abs_m"":0.0,""mask_dice"":0.8811188811188811,""mask_iou"":0.7875,""pred_area_px"":358.0,""size_delta_norm"":0.0,""true_area_px"":357.0}",requires_real_comsol_forward
7,0,7,rect_p2_0083,82,rect_p2_0083__perturb_07_mixed_center_size_angle,train,rectangular_notch,rotated_rect,pilot_v2_rectangular_notch,sample_083,mixed_center_size_angle,mixed,3,true,comsol_single_defect_multiline_forward_pack_v1_pilot_v9_balanced_single_defect.npz:rect_p2_0083,-0.0045000000000000005,-0.0015,0.00946,0.007409999999999999,0.00143,0.17453292519943295,10.0,0.17364817766693033,0.984807753012208,-0.003,-0.0005,0.011,0.0065,0.0013,0.0,0.0,0.5641592920353983,0.7213578500707214,0.0196078431372549,350.0,357.0,0.001802775637731995,10.0,0.13999999999999996,0.00013000000000000012,"{""actual_delta_angle_deg"":10.0,""actual_delta_center_x"":-0.0015000000000000005,""actual_delta_center_y"":-0.001,""actual_depth_scale"":1.1,""actual_length_scale"":1.14,""actual_width_scale"":0.86,""delta_angle_deg"":10.0,""delta_center_x"":-0.0015,""delta_center_y"":-0.001,""depth_scale"":1.1,""length_scale"":1.14,""width_scale"":0.86}","{""angle_cos"":0.984807753012208,""angle_deg"":10.0,""angle_rad"":0.17453292519943295,""angle_sin"":0.17364817766693033,""base_defect_type"":""rectangular_notch"",""center_x"":-0.0045000000000000005,""center_y"":-0.0015,""depth"":0.00143,""forward_geometry_type"":""rotated_rect"",""length"":0.007409999999999999,""units"":""coordinates=m, Bz=T"",""width"":0.00946}","{""angle_delta_abs_deg"":10.0,""area_error"":0.0196078431372549,""center_delta_m"":0.001802775637731995,""depth_delta_abs_m"":0.00013000000000000012,""mask_dice"":0.7213578500707214,""mask_iou"":0.5641592920353983,""pred_area_px"":350.0,""size_delta_norm"":0.13999999999999996,""true_area_px"":357.0}",requires_real_comsol_forward
8,1,0,rect_v9_0070,189,rect_v9_0070__perturb_00_true_geometry_reference,train,rectangular_notch,rectangular_notch,pilot_v9_topup_rectangular_notch,rect_candidate_17630,true_geometry_reference,reference,0,false,comsol_single_defect_multiline_forward_pack_v1_pilot_v9_balanced_single_defect.npz:rect_v9_0070,-0.00225,-0.001,0.015,0.007,0.0022,0.0,0.0,0.0,1.0,-0.00225,-0.001,0.015,0.007,0.0022,0.0,0.0,1.0,1.0,0.0,506.0,506.0,0.0,0.0,0.0,0.0,"{""actual_delta_angle_deg"":0.0,""actual_delta_center_x"":0.0,""actual_delta_center_y"":0.0,""actual_depth_scale"":1.0,""actual_length_scale"":1.0,""actual_width_scale"":1.0,""delta_angle_deg"":0.0,""delta_center_x"":0.0,""delta_center_y"":0.0,""depth_scale"":1.0,""length_scale"":1.0,""width_scale"":1.0}","{""angle_cos"":1.0,""angle_deg"":0.0,""angle_rad"":0.0,""angle_sin"":0.0,""base_defect_type"":""rectangular_notch"",""center_x"":-0.00225,""center_y"":-0.001,""depth"":0.0022,""forward_geometry_type"":""rectangular_notch"",""length"":0.007,""units"":""coordinates=m, Bz=T"",""width"":0.015}","{""angle_delta_abs_deg"":0.0,""area_error"":0.0,""center_delta_m"":0.0,""depth_delta_abs_m"":0.0,""mask_dice"":1.0,""mask_iou"":1.0,""pred_area_px"":506.0,""size_delta_norm"":0.0,""true_area_px"":506.0}",true_geometry_reference_reuses_original_delta_bz
9,1,1,rect_v9_0070,189,rect_v9_0070__perturb_01_center_shift_small,train,rectangular_notch,rectangular_notch,pilot_v9_topup_rectangular_notch,rect_candidate_17630,center_shift_small,small,1,true,comsol_single_defect_multiline_forward_pack_v1_pilot_v9_balanced_single_defect.npz:rect_v9_0070,-0.0014999999999999998,-0.0014235273213765755,0.015,0.007,0.0022,0.0,0.0,0.0,1.0,-0.00225,-0.001,0.015,0.007,0.0022,0.0,0.0,0.7751677852348994,0.8733459357277883,0.09090909090909091,552.0,506.0,0.0008613218863772226,0.0,0.0,0.0,"{""actual_delta_angle_deg"":0.0,""actual_delta_center_x"":0.00075,""actual_delta_center_y"":-0.00042352732137657546,""actual_depth_scale"":1.0,""actual_length_scale"":1.0,""actual_width_scale"":1.0,""delta_angle_deg"":0.0,""delta_center_x"":0.00075,""delta_center_y"":-0.0005,""depth_scale"":1.0,""length_scale"":1.0,""width_scale"":1.0}","{""angle_cos"":1.0,""angle_deg"":0.0,""angle_rad"":0.0,""angle_sin"":0.0,""base_defect_type"":""rectangular_notch"",""center_x"":-0.0014999999999999998,""center_y"":-0.0014235273213765755,""depth"":0.0022,""forward_geometry_type"":""rectangular_notch"",""length"":0.007,""units"":""coordinates=m, Bz=T"",""width"":0.015}","{""angle_delta_abs_deg"":0.0,""area_error"":0.09090909090909091,""center_delta_m"":0.0008613218863772226,""depth_delta_abs_m"":0.0,""mask_dice"":0.8733459357277883,""mask_iou"":0.7751677852348994,""pred_area_px"":552.0,""size_delta_norm"":0.0,""true_area_px"":506.0}",requires_real_comsol_forward
