lambda_smooth,lambda_forward,steps,lr,delta_iou,delta_dice,delta_area_error,forward_nrmse_reduction,mismatch_flag_rate,val_score,selected
0.01,0.0,20,0.003,-0.0680945649296784,-0.05062496389347978,0.007480303222834264,-0.006750997268792355,0.30303030303030304,-0.15717796207590198,False
0.01,0.0,20,0.01,-0.5214994067755419,-0.5813348374931661,0.6389926180569826,-0.2206243114037947,0.030303030303030304,-1.7669195964963729,False
0.01,0.0,50,0.003,-0.008586000931877192,-0.0058764631947589045,-0.020603834046619172,-0.002546590386014996,0.13636363636363635,-0.02835348680160123,True
0.01,0.0,50,0.01,-0.468043996268767,-0.5311017515766482,0.5143177340396701,-0.21583106075272415,0.07575757575757576,-1.5426223455361154,False
0.01,0.02,20,0.003,-0.07962714347219613,-0.05959762912498784,0.008202255642309713,0.025216445101029945,0.5757575757575758,-0.20248114130514827,False
0.01,0.02,20,0.01,-0.5317976995183962,-0.5982296482100149,0.6791357590203367,-0.16978779660932947,0.21212121212121213,-1.847354007621802,False
0.01,0.02,50,0.003,-0.008610312631547426,-0.005912558203635943,-0.01985271456707522,0.04689704152670773,0.5151515151515151,-0.061348318197664106,False
0.01,0.02,50,0.01,-0.45972896448716094,-0.5144834496300701,0.5521174223216113,-0.12287646080508377,0.2727272727272727,-1.565890209792078,False
0.01,0.05,20,0.003,-0.07554457141375848,-0.05643947931971917,0.014348730332978893,0.027718431118762855,0.6060606060606061,-0.20416699856064086,False
0.01,0.05,20,0.01,-0.5214078734691415,-0.5825518104492955,0.5990992687868193,-0.15654954314231873,0.24242424242424243,-1.7429563312619125,False
0.01,0.05,50,0.003,-0.009057213535045723,-0.006214969193358137,-0.016181067603410322,0.05147732387889515,0.5303030303030303,-0.06315475337081738,False
0.01,0.05,50,0.01,-0.4179677971510687,-0.4578108527029636,0.4400401504134822,-0.11883619698611173,0.21212121212121213,-1.348914541178247,False
0.01,0.1,20,0.003,-0.06539621311391387,-0.04845246550227948,0.009191977303866105,0.036324713717807426,0.5454545454545454,-0.17395363909373326,False
0.01,0.1,20,0.01,-0.517617925802128,-0.5692574701077093,0.5111881122966976,-0.12847867608070374,0.3333333333333333,-1.6442447091479386,False
0.01,0.1,50,0.003,-0.010537344609574674,-0.007356793489618637,-0.01450584340744842,0.053489754371570816,0.5,-0.06254516266203623,False
0.01,0.1,50,0.01,-0.3742850785932519,-0.40384685013056537,0.34314811276441537,-0.07009190546743797,0.36363636363636365,-1.1646528683986128,False
