split,group_name,group_value,sample_count,iou_mean,dice_mean,area_error_mean,center_error_px_mean,pred_area_mean,true_area_mean,pred_area_zero_sum
train,overall,rect_rot,268,0.6771985115758903,0.8043585910504762,0.1655544393801144,2.3499374698563664,350.910447761194,410.00373134328356,0.0
train,defect_type,rectangular_notch,134,0.6880472093164395,0.811131475309279,0.21521958019048038,2.1481640912370654,415.67910447761193,526.5298507462686,0.0
train,defect_type,rotated_rect,134,0.6663498138353413,0.7975857067916736,0.11588929856974846,2.551710848475667,286.14179104477614,293.4776119402985,0.0
train,source_pack,pilot_v2_rectangular_notch,81,0.7203130404763791,0.8347726029714907,0.17409597172924554,2.0003244405279217,436.5679012345679,514.1481481481482,0.0
train,source_pack,pilot_v3_rotated_rect,30,0.6582453746951743,0.791829406324164,0.16429890238065709,2.471432898646894,414.56666666666666,480.06666666666666,0.0
train,source_pack,pilot_v7_topup_rotated_rect,16,0.7004161930788927,0.8220443252492755,0.08458243957770598,2.197147352868164,257.25,239.5,0.0
train,source_pack,pilot_v8_topup_rotated_rect,24,0.6953827994830891,0.8189847293639684,0.09002198223911025,2.268981505600243,233.125,239.5,0.0
train,source_pack,pilot_v9_topup_rectangular_notch,53,0.6387352786757772,0.7750006952972194,0.2780688685934997,2.3741077083585873,383.75471698113205,545.4528301886793,0.0
train,source_pack,pilot_v9_topup_rotated_rect,64,0.6507448052535012,0.7861446845568076,0.11072425515538495,2.784005514938064,253.046875,239.75,0.0
val,overall,rect_rot,66,0.6819154571048301,0.8089782551376608,0.1497317907618143,2.3973243455503317,303.6666666666667,319.8181818181818,0.0
val,defect_type,rectangular_notch,33,0.6824063838144407,0.8087670693404504,0.19879893564035814,2.313832511862124,309.42424242424244,342.6060606060606,0.0
val,defect_type,rotated_rect,33,0.6814245303952194,0.8091894409348712,0.10066464588327045,2.4808161792385395,297.90909090909093,297.030303030303,0.0
val,source_pack,pilot_v2_rectangular_notch,19,0.6829264029369849,0.8086396591524635,0.1978339558627627,2.2747954223092024,329.94736842105266,349.05263157894734,0.0
val,source_pack,pilot_v3_rotated_rect,9,0.6807816150508684,0.8092021780192769,0.12578248471105613,2.646361200838131,415.55555555555554,448.6666666666667,0.0
val,source_pack,pilot_v7_topup_rotated_rect,8,0.6691465082772086,0.8001737388889371,0.07190345644021598,2.6065905142296604,257.25,240.0,0.0
val,source_pack,pilot_v8_topup_rotated_rect,8,0.689264280328429,0.8152837544179969,0.12011607137947392,2.5068670904357626,251.375,240.375,0.0
val,source_pack,pilot_v9_topup_rectangular_notch,14,0.6817006435767025,0.8089399831670042,0.20010855105280909,2.366811419112518,281.57142857142856,333.85714285714283,0.0
val,source_pack,pilot_v9_topup_rotated_rect,8,0.6865860823424157,0.8120965002777235,0.08171684114886255,2.1427527837506557,252.75,240.125,0.0
test,overall,rect_rot,66,0.6688822014121077,0.7993820030854432,0.19785443248421325,2.283286471183931,315.469696969697,352.8787878787879,0.0
test,defect_type,rectangular_notch,33,0.6645311148112972,0.7958665048611364,0.2432943495785456,2.055481862856647,323.1515151515151,399.6060606060606,0.0
test,defect_type,rotated_rect,33,0.6732332880129182,0.8028975013097498,0.1524145153898809,2.511091079511214,307.7878787878788,306.1515151515151,0.0
test,source_pack,pilot_v2_rectangular_notch,20,0.70145961660104,0.8227874275456623,0.19103937839938592,1.922783323985464,349.4,383.25,0.0
test,source_pack,pilot_v3_rotated_rect,9,0.6501557211424636,0.7869919869834481,0.16941063554034308,2.6526311693054163,415.44444444444446,484.6666666666667,0.0
test,source_pack,pilot_v7_topup_rotated_rect,8,0.6819762073903326,0.808737878647242,0.18965195126167622,2.61898953608592,284.5,239.125,0.0
test,source_pack,pilot_v8_topup_rotated_rect,8,0.6580610553318069,0.7923573224155799,0.11376198753560002,3.039824315973771,256.125,239.375,0.0
test,source_pack,pilot_v9_topup_rectangular_notch,13,0.6077180351347699,0.7544497007310969,0.32368661293109885,2.259633461120006,282.7692307692308,424.7692307692308,0.0
test,source_pack,pilot_v9_topup_rotated_rect,8,0.7056248640458763,0.8254910064835168,0.13470897220309658,1.715226785455474,261.625,239.125,0.0
