sample_id,split,component_types,true_connected_component_count,pred_connected_component_count,IoU,Dice,area_error,center_error,pred_area,true_area,failure_category,short_note,preview_path,seed,extra_fragment_flag,third_largest_component_area_ratio
sample_058,test,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.29124820659971307,0.45111111111111113,0.17391304347826086,10.291013271230868,486,414,missed component,component recall heuristic is below 1.0 for the three-component target.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_gate\sample_058_test_rectangular_notch_rectangular_notch_rotated_rect.png,42,0,0.26337448559670784
sample_053,test,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.3993610223642173,0.5707762557077626,0.16296296296296298,3.569688313897507,471,405,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_gate\sample_053_test_rectangular_notch_rectangular_notch_rectangular_notch.png,42,0,0.3205944798301486
sample_054,test,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.5049226441631505,0.6710280373831776,0.0075046904315197,5.479048019883164,537,533,localization,predicted mask center is far from the true union mask center.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_gate\sample_054_test_rectangular_notch_rectangular_notch_rotated_rect.png,42,0,0.31098696461824954
sample_057,test,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.520336605890603,0.6845018450184502,0.0677361853832442,6.243636689404541,523,561,localization,predicted mask center is far from the true union mask center.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_gate\sample_057_test_rectangular_notch_rectangular_notch_rectangular_notch.png,42,0,0.30019120458891013
sample_059,test,rectangular_notch+rotated_rect+rotated_rect,3,3,0.5813204508856683,0.7352342158859471,0.3605769230769231,3.1536645459518593,566,416,area error,predicted union mask area is biased.,,42,0,0.3127208480565371
sample_056,test,rotated_rect+rotated_rect+rotated_rect,3,3,0.6444073455759599,0.783756345177665,0.203579418344519,3.345034431543574,538,447,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.31970260223048325
sample_014,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.26718547341115434,0.4216990788126919,0.04821802935010482,5.131619163535952,500,477,missed component,component recall heuristic is below 1.0 for the three-component target.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_gate\sample_014_train_rectangular_notch_rectangular_notch_rotated_rect.png,42,0,0.308
sample_013,train,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.4442595673876872,0.6152073732718893,0.18090452261306533,3.1220864465785456,470,398,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3148936170212766
sample_005,train,rectangular_notch+rectangular_notch+rectangular_notch,3,4,0.48099415204678364,0.6495557749259625,0.20697167755991286,3.050197938549615,554,459,extra fragments,prediction has more connected components than the true three-component union mask.,,42,1,0.3140794223826715
sample_038,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.5170648464163823,0.6816647919010124,0.015873015873015872,2.2592182717605924,448,441,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3236607142857143
sample_040,train,rotated_rect+rotated_rect+rotated_rect,3,3,0.5244444444444445,0.6880466472303207,0.0872210953346856,3.0835559102860386,536,493,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.31902985074626866
sample_039,train,rectangular_notch+rotated_rect+rotated_rect,3,4,0.5297805642633229,0.6926229508196722,0.09375,2.126954131579447,464,512,extra fragments,prediction has more connected components than the true three-component union mask.,,42,1,0.3146551724137931
sample_002,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.5427631578947368,0.7036247334754797,0.057971014492753624,5.64525471401974,455,483,localization,predicted mask center is far from the true union mask center.,,42,0,0.3076923076923077
sample_037,train,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.5518867924528302,0.7112462006079028,0.27419354838709675,3.39824047343812,553,434,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.325497287522604
sample_022,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.5769230769230769,0.7317073170731707,0.18085106382978725,1.4907880429297118,555,470,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3279279279279279
sample_004,train,rotated_rect+rotated_rect+rotated_rect,3,3,0.6357615894039735,0.7773279352226721,0.07563025210084033,2.455404004562755,512,476,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.30078125
