sample_index,model,defect_type,area_bin,low_signal,pred_area_zero,pred_area_lt_true,pred_area_gt_true,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_center_x,pred_center_y,true_center_x,true_center_y
0,multi_liftoff,rotated_rect,large,False,False,True,False,14278.095703125,37.14884567260742,0.5972369819341127,0.7478376580172987,0.34105960264900664,0.6937843561172485,9.090921341469553,13.796272588561834,-4.235373020172119,5.224269866943359,-4.297980308532715,5.915223598480225
1,multi_liftoff,polygon,small,False,False,False,True,12377.8515625,33.46626281738281,0.4577572964669739,0.6280295047418335,0.3316953316953317,0.8351118564605713,8.253399274835004,6.197663293095658,1.2038049697875977,4.865444183349609,1.7651524543762207,4.2471394538879395
2,multi_liftoff,multi_defect,large,False,False,True,False,35462.62890625,82.08575439453125,0.3218157181571816,0.486929779600205,0.08725490196078431,1.1671241521835327,14.176964437032083,15.53222741758617,-4.5427727699279785,5.3097028732299805,-4.247561454772949,4.180531024932861
3,multi_liftoff,rotated_rect,medium,False,False,True,False,28502.9609375,55.19732666015625,0.21890971039182283,0.3591893780573026,0.018005540166204988,1.9459261894226074,10.79642082261627,10.9943805838208,-0.14873379468917847,4.8845295906066895,-0.1687106043100357,6.830353260040283
4,multi_liftoff,polygon,small,True,False,True,False,13876.849609375,29.181537628173828,0.09771309771309772,0.17803030303030304,0.6426735218508998,0.9346956610679626,2.116646677494586,5.923565162197079,-6.8636345863342285,4.829590797424316,-6.685678005218506,5.747189521789551
5,multi_liftoff,polygon,medium,False,False,True,False,17647.642578125,40.0565299987793,0.375,0.5454545454545454,0.2054380664652568,0.8333427309989929,8.009756491814045,10.080720147492201,-3.4722089767456055,5.068748474121094,-3.5802884101867676,5.895052909851074
6,multi_liftoff,polygon,medium,False,False,False,True,28568.09375,51.86460876464844,0.13296903460837886,0.2347266881028939,0.18629173989455183,1.7452974319458008,10.27867990869673,8.664546471182874,0.8787270188331604,4.890235900878906,0.7289964556694031,3.1513731479644775
7,multi_liftoff,multi_defect,large,False,False,True,False,58626.9453125,107.30232238769531,0.14781792585640544,0.25756336876533115,0.2978427279053584,1.875880241394043,15.364723004259261,21.88216745006993,0.9869217276573181,4.712536334991455,-0.46458813548088074,5.900831699371338
8,multi_liftoff,polygon,small,False,False,True,False,11445.126953125,30.8791561126709,0.35664335664335667,0.5257731958762887,0.33714285714285713,0.882925808429718,3.5328203538039133,5.32968587858349,6.442774295806885,5.280826091766357,5.929361820220947,5.999133586883545
9,multi_liftoff,polygon,small,False,False,False,True,11882.103515625,35.48200225830078,0.45692883895131087,0.6272493573264781,0.525974025974026,0.8326147198677063,7.1570067512406865,4.690123573153471,-2.1933069229125977,4.9731364250183105,-2.0557329654693604,5.794306755065918
10,multi_liftoff,multi_defect,large,False,False,True,False,23366.09375,52.23386764526367,0.5670367207514945,0.7237057220708447,0.4208261617900172,0.6258707642555237,10.24822456081911,17.694557116897187,-1.8167734146118164,4.99061918258667,-2.1534955501556396,4.463047027587891
