selection_bucket,sample_id,split,true_shape_type,pred_shape_type,true_L_mm,pred_L_mm,true_W_mm,pred_W_mm,true_D_mm,pred_D_mm,true_burial_depth_mm,pred_burial_depth_mm,true_center_xyz_mm,pred_center_xyz_mm,L_error_mm,W_error_mm,D_error_mm,burial_depth_error_mm,center_xyz_error_mm,total_abs_normalized_error,failure_tags,preview_path
best_total,internal_topup_041,test,internal_ellipsoid,internal_ellipsoid,2.625,2.641444206237793,5.599999904632568,5.534797191619873,1.2000000476837158,1.1964142322540283,0.7999999523162842,0.9157543778419495,"0.0,0.0,-1.399999976158142","-0.36525678634643555,0.11005904525518417,-1.373397946357727",0.01644412986934185,0.06520282477140427,0.003585824742913246,0.1157543733716011,0.38240447640419006,0.0320977047085762,none,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\best_total_internal_topup_041.png
best_total,internal_topup_119,test,internal_ellipsoid,internal_ellipsoid,2.625,2.6590940952301025,5.599999904632568,5.766085147857666,1.2000000476837158,1.211107850074768,3.1999998092651367,3.2179198265075684,"12.0,5.0,-3.799999952316284","12.203608512878418,4.96892786026001,-3.7588143348693848",0.03409408777952194,0.16608554124832153,0.011107767932116985,0.017919810488820076,0.210043266415596,0.03255088999867439,none,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\best_total_internal_topup_119.png
best_total,internal_topup_049,test,internal_sphere,internal_sphere,1.0,1.0144282579421997,1.0,1.101900339126587,1.0,1.0082309246063232,0.7999999523162842,0.7878689765930176,"-20.0,-6.0,-1.2999999523162842","-19.562244415283203,-5.631255626678467,-1.397143006324768",0.01442816574126482,0.10190030932426453,0.008230912499129772,0.012130999937653542,0.580550491809845,0.04547682777047157,none,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\best_total_internal_topup_049.png
median_total,internal_pilot_076,test,internal_cuboid,internal_cuboid,5.0,3.653610944747925,5.0,4.050724029541016,1.399999976158142,1.2422683238983154,2.0,1.8625692129135132,"12.0,-3.0,-2.700000047683716","11.16147518157959,-2.0102462768554688,-3.164168119430542",1.346388816833496,0.9492756724357605,0.15773159265518188,0.1374308466911316,1.3777475357055664,0.4013831913471222,none,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\median_total_internal_pilot_076.png
median_total,internal_pilot_082,test,internal_cuboid,internal_cuboid,3.5,2.9708564281463623,3.5,3.3171496391296387,1.2000000476837158,1.1453397274017334,3.1999998092651367,2.4047389030456543,"12.0,-3.0,-3.799999952316284","9.014307022094727,-0.716101348400116,-2.3913161754608154",0.529143750667572,0.18285052478313446,0.0546603687107563,0.795261025428772,4.01434326171875,0.4568333625793457,center_outlier,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\median_total_internal_pilot_082.png
median_total,internal_pilot_024,test,internal_sphere,internal_sphere,1.399999976158142,1.4725879430770874,1.399999976158142,1.5847795009613037,1.399999976158142,1.273085355758667,4.199999809265137,3.791285514831543,"-12.0,3.0,-4.900000095367432","-10.682656288146973,-2.1225790977478027,-4.24894905090332",0.0725879818201065,0.18477952480316162,0.1269145905971527,0.4087144136428833,5.329172611236572,0.45855528116226196,center_outlier,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\median_total_internal_pilot_024.png
worst_center,internal_topup_045,test,internal_cuboid,internal_cuboid,5.0,4.0571770668029785,5.0,6.402916431427002,1.399999976158142,1.3555854558944702,0.7999999523162842,2.332653045654297,"24.0,6.0,-1.5","23.408987045288086,-2.6125059127807617,-3.130256175994873",0.9428229928016663,1.402916431427002,0.044414542615413666,1.5326530933380127,8.785345077514648,0.8880208134651184,center_outlier|burial_outlier|full_shift_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\worst_center_internal_topup_045.png
worst_center,internal_pilot_054,test,internal_ellipsoid,internal_ellipsoid,1.5,5.436723232269287,3.1999998092651367,3.675412178039551,1.0,1.2858705520629883,4.199999809265137,3.892916679382324,"0.0,3.0,-4.699999809265137","8.034344673156738,-0.10182827711105347,-4.2368927001953125",3.936722755432129,0.4754122495651245,0.2858705222606659,0.3070831298828125,8.624761581420898,0.8184109330177307,center_outlier|dimension_outlier,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\worst_center_internal_pilot_054.png
worst_center,internal_topup_044,test,internal_ellipsoid,internal_ellipsoid,3.5,4.09779167175293,3.5,2.9431958198547363,1.2000000476837158,1.2411282062530518,4.199999809265137,2.9575231075286865,"-6.0,6.0,-4.800000190734863","-1.7326598167419434,-0.8734667301177979,-2.9816153049468994",0.5977917313575745,0.5568042397499084,0.04112813621759415,1.2424767017364502,8.292242050170898,0.7612118721008301,center_outlier|burial_outlier|full_shift_failure|visual_suspect,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\worst_center_internal_topup_044.png
worst_center,internal_pilot_072,test,internal_cuboid,internal_cuboid,1.5,3.44003963470459,3.1999998092651367,3.223202705383301,1.0,1.1958595514297485,2.0,2.3891098499298096,"12.0,3.0,-2.5","7.2204999923706055,-0.15128730237483978,-3.4299941062927246",1.9400396347045898,0.023202737793326378,0.19585946202278137,0.3891098201274872,5.799923896789551,0.6131604313850403,center_outlier|dimension_outlier,C:\Users\19166\Desktop\PINN_project\results\previews\internal_defect_b2_failure_gallery\worst_center_internal_pilot_072.png
