split,group_field,group_value,sample_count,mean_total_abs_normalized_error,mean_burial_depth_error_mm,mean_center_xyz_error_mm,shape_accuracy,catastrophic_failure_count,geometry_branch_failure_count,center_outlier_count,burial_outlier_count,dimension_outlier_count
test,true_shape_type,internal_cuboid,14,0.45028703367071493,0.47364101040044,3.4632904763732637,0.9285714285714286,2,1,9,2,5
test,true_shape_type,internal_ellipsoid,13,0.5179331666575029,0.487889231254275,3.374240910777679,1.0,2,0,7,2,9
test,true_shape_type,internal_sphere,13,0.21331598781622374,0.2735651364693275,2.4226126762536855,1.0,1,0,4,1,2
test,burial_depth_level,deep,10,0.43831903375685216,0.33882533125579356,2.8518027499318124,1.0,0,0,6,0,6
test,burial_depth_level,deep_plus,10,0.4023348391056061,0.524039288982749,4.258632409572601,0.9,2,1,6,2,3
test,burial_depth_level,medium,10,0.3081312824040651,0.33714153748005626,2.0778741151094438,1.0,1,0,3,1,3
test,burial_depth_level,shallow,10,0.43224059268832205,0.45298193488270044,3.1962070554494857,1.0,2,0,5,2,4
test,size_level,large,14,0.47813465792153564,0.4539484532017793,3.199924262506621,1.0,3,0,8,3,5
test,size_level,medium,13,0.4157946083981257,0.6174527823638457,3.4425134922449407,0.9230769230769231,2,1,8,2,6
test,size_level,small,13,0.28546479688240933,0.16520895465062216,2.6379652481812697,1.0,0,0,4,0,5
test,aspect_bin,compact,22,0.29028062302280555,0.42355589839545166,2.842039402235638,0.9545454545454546,4,1,9,4,2
test,aspect_bin,elongated_x,4,0.4679630044847727,0.1932470784522593,2.046811953186989,1.0,0,0,1,0,3
test,aspect_bin,elongated_y,14,0.5394451253648315,0.45990448910743,3.7952177599072456,1.0,1,0,10,1,11
test,center_region,central,3,0.4126269842187564,0.21466725567976633,0.8819170892238617,1.0,0,0,0,0,2
test,center_region,x_neg_y_neg,7,0.11105165843452726,0.12634008803537913,1.6709716745785304,1.0,0,0,1,0,1
test,center_region,x_neg_y_pos,8,0.35276698786765337,0.49126689741387963,3.6535520777106285,1.0,2,0,4,2,1
test,center_region,x_pos_y_neg,6,0.319600688914458,0.48998236066351336,2.3444206366936364,0.8333333333333334,1,1,3,1,0
test,center_region,x_pos_y_pos,16,0.5659546800889075,0.5082168249646202,4.13797936681658,1.0,2,0,12,2,12
