model,selected_model,seed,split,subset,sample_count,selection_score,best_epoch,total_normalized_mae,dimension_mae_mm,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,center_x_mae_mm,center_y_mae_mm,center_z_mae_mm,shape_accuracy,shape_macro_f1,candidate_role,valid_for_multiseed,selection_notes
F1_freeze_encoder_shape_train_tail_heads,False,42,train,all,240,,152,0.1905648410320282,0.5367484092712402,0.6056960821151733,0.9298837780952454,0.07466519623994827,0.041862260550260544,0.1994219869375229,0.3953719437122345,0.150180846452713,0.052713166922330856,0.825,0.8342213213889514,official_candidate,False,shape_f1=0.784; center_p95/max=5.481/6.536; burial_p95/max=1.799/3.077; total=0.377323
F1_freeze_encoder_shape_train_tail_heads,False,42,val,all,60,10.154592082328067,152,0.37732261419296265,0.6858711242675781,1.034530758857727,0.9212000370025635,0.10188249498605728,0.4295397996902466,0.8732119798660278,0.9585672616958618,1.2032628059387207,0.45780643820762634,0.7833333333333333,0.7842393184570143,official_candidate,False,shape_f1=0.784; center_p95/max=5.481/6.536; burial_p95/max=1.799/3.077; total=0.377323
F1_freeze_encoder_shape_train_tail_heads,False,42,test,all,60,,152,0.47681060433387756,0.8166840076446533,1.0139871835708618,1.3268694877624512,0.10919539630413055,0.5217365026473999,1.7174263000488281,2.6153743267059326,1.9638563394546509,0.5730482339859009,0.8166666666666667,0.8241719520789288,official_candidate,False,shape_f1=0.784; center_p95/max=5.481/6.536; burial_p95/max=1.799/3.077; total=0.377323
F2_freeze_shape_train_center_burial_with_residual,True,42,train,all,240,,4,0.28361910581588745,0.5367484092712402,0.6056960821151733,0.9298837780952454,0.07466519623994827,0.24674390256404877,0.9179279208183289,1.4513347148895264,0.9916865825653076,0.3107624053955078,0.825,0.8342213213889514,official_candidate,True,shape_f1=0.784; center_p95/max=6.750/8.471; burial_p95/max=1.584/2.515; total=0.407482
F2_freeze_shape_train_center_burial_with_residual,True,42,val,all,60,11.402057132548556,4,0.40748247504234314,0.6858711242675781,1.034530758857727,0.9212000370025635,0.10188249498605728,0.4710240960121155,1.3046857118606567,1.9061214923858643,1.5113378763198853,0.49659842252731323,0.7833333333333333,0.7842393184570143,official_candidate,True,shape_f1=0.784; center_p95/max=6.750/8.471; burial_p95/max=1.584/2.515; total=0.407482
F2_freeze_shape_train_center_burial_with_residual,True,42,test,all,60,,4,0.5100083351135254,0.8166840076446533,1.0139871835708618,1.3268694877624512,0.10919539630413055,0.5874515175819397,1.9700713157653809,3.005784749984741,2.215794801712036,0.6886340379714966,0.8166666666666667,0.8241719520789288,official_candidate,True,shape_f1=0.784; center_p95/max=6.750/8.471; burial_p95/max=1.584/2.515; total=0.407482
F3_soft_shape_conditioned_tail_heads,False,42,train,all,240,,289,0.18293653428554535,0.5367484092712402,0.6056960821151733,0.9298837780952454,0.07466519623994827,0.02707308903336525,0.12117963284254074,0.2391628473997116,0.0922379270195961,0.03213812783360481,0.825,0.8342213213889514,official_candidate,False,shape_f1=0.784; center_p95/max=5.115/7.062; burial_p95/max=1.907/2.679; total=0.378510
F3_soft_shape_conditioned_tail_heads,False,42,val,all,60,10.029239497012362,289,0.3785097897052765,0.6858711242675781,1.034530758857727,0.9212000370025635,0.10188249498605728,0.41830775141716003,0.9345588088035583,1.0983163118362427,1.2582042217254639,0.447155624628067,0.7833333333333333,0.7842393184570143,official_candidate,False,shape_f1=0.784; center_p95/max=5.115/7.062; burial_p95/max=1.907/2.679; total=0.378510
F3_soft_shape_conditioned_tail_heads,False,42,test,all,60,,289,0.47199103236198425,0.8166840076446533,1.0139871835708618,1.3268694877624512,0.10919539630413055,0.48951128125190735,1.620713710784912,2.3368723392486572,1.9241164922714233,0.6011518836021423,0.8166666666666667,0.8241719520789288,official_candidate,False,shape_f1=0.784; center_p95/max=5.115/7.062; burial_p95/max=1.907/2.679; total=0.378510
F4_true_shape_oracle_tail_diagnostic,False,42,train,all,240,,94,0.18543188273906708,0.5367484092712402,0.6056960821151733,0.9298837780952454,0.07466519623994827,0.03336050733923912,0.14000394940376282,0.2677949070930481,0.1135248988866806,0.03869204223155975,0.825,0.8342213213889514,oracle_diagnostic,False,oracle diagnostic only; true shape labels are not allowed as formal model input
F4_true_shape_oracle_tail_diagnostic,False,42,val,all,60,10.935131392306552,94,0.38129329681396484,0.6858711242675781,1.034530758857727,0.9212000370025635,0.10188249498605728,0.4098988473415375,0.9269953966140747,0.9808951020240784,1.3352285623550415,0.4648626744747162,0.7833333333333333,0.7842393184570143,oracle_diagnostic,False,oracle diagnostic only; true shape labels are not allowed as formal model input
F4_true_shape_oracle_tail_diagnostic,False,42,test,all,60,,94,0.49202457070350647,0.8166840076446533,1.0139871835708618,1.3268694877624512,0.10919539630413055,0.5057666301727295,1.8390443325042725,2.59379243850708,2.318178653717041,0.6051620841026306,0.8166666666666667,0.8241719520789288,oracle_diagnostic,False,oracle diagnostic only; true shape labels are not allowed as formal model input
