model,selected_model,seed,split,subset,sample_count,total_error_mean,total_error_median,total_error_p90,total_error_p95,total_error_max,burial_depth_error_mean_mm,burial_depth_error_median_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,center_xyz_error_mean_mm,center_xyz_error_median_mm,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,dimension_outlier_count,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_error_count,shape_error_rate,candidate_role,best_epoch,valid_for_multiseed,selection_notes
F1_freeze_encoder_shape_train_tail_heads,False,42,train,all,240,0.1905648559331894,0.13371899724006653,0.41496703028678894,0.5646058320999146,0.8641172647476196,0.04186226427555084,0.025742454454302788,0.09553419798612595,0.12149842083454132,0.26197126507759094,0.459235817193985,0.3645903468132019,0.9405418038368225,1.1433137655258179,2.2730469703674316,112,0,0.0,0,0.0,42,0.175,official_candidate,152,False,shape_f1=0.784; center_p95/max=5.481/6.536; burial_p95/max=1.799/3.077; total=0.377323
F1_freeze_encoder_shape_train_tail_heads,False,42,val,all,60,0.37732261419296265,0.3239290118217468,0.7810047268867493,0.9927554726600647,1.3278716802597046,0.4295397996902466,0.09915465116500854,1.1007927656173706,1.7989261150360107,3.076543092727661,1.8279417753219604,1.0415209531784058,4.603628635406494,5.480984687805176,6.536096572875977,33,3,0.05,2,0.03333333333333333,13,0.21666666666666667,official_candidate,152,False,shape_f1=0.784; center_p95/max=5.481/6.536; burial_p95/max=1.799/3.077; total=0.377323
F1_freeze_encoder_shape_train_tail_heads,False,42,test,all,60,0.47681060433387756,0.4867019057273865,0.8365628719329834,0.9746702313423157,1.022467017173767,0.5217365622520447,0.30060142278671265,1.379059076309204,1.4969664812088013,2.675640344619751,3.692034959793091,2.8217127323150635,7.962690353393555,8.520045280456543,19.965370178222656,44,11,0.18333333333333332,4,0.06666666666666667,11,0.18333333333333332,official_candidate,152,False,shape_f1=0.784; center_p95/max=5.481/6.536; burial_p95/max=1.799/3.077; total=0.377323
F2_freeze_shape_train_center_burial_with_residual,True,42,train,all,240,0.28361910581588745,0.19291818141937256,0.597027063369751,0.753781259059906,1.1165648698806763,0.24674390256404877,0.12080933153629303,0.7268251180648804,1.014682412147522,1.7754498720169067,1.9865697622299194,1.6019558906555176,4.060364723205566,5.020822048187256,7.738551616668701,112,6,0.025,2,0.008333333333333333,42,0.175,official_candidate,4,True,shape_f1=0.784; center_p95/max=6.750/8.471; burial_p95/max=1.584/2.515; total=0.407482
F2_freeze_shape_train_center_burial_with_residual,True,42,val,all,60,0.4074825346469879,0.4077296257019043,0.7499707341194153,0.9466853141784668,1.1776649951934814,0.4710240662097931,0.23168978095054626,1.1355723142623901,1.5840141773223877,2.5149731636047363,2.827373504638672,2.4128963947296143,6.200150966644287,6.749954700469971,8.471294403076172,33,2,0.03333333333333333,1,0.016666666666666666,13,0.21666666666666667,official_candidate,4,True,shape_f1=0.784; center_p95/max=6.750/8.471; burial_p95/max=1.584/2.515; total=0.407482
F2_freeze_shape_train_center_burial_with_residual,True,42,test,all,60,0.5100083947181702,0.4967834949493408,0.8797436356544495,0.9372305870056152,1.0244518518447876,0.5874513983726501,0.4168042540550232,1.516698956489563,1.8406275510787964,2.489889621734619,4.232335090637207,3.5335733890533447,7.162030220031738,8.940112113952637,22.01708221435547,44,11,0.18333333333333332,4,0.06666666666666667,11,0.18333333333333332,official_candidate,4,True,shape_f1=0.784; center_p95/max=6.750/8.471; burial_p95/max=1.584/2.515; total=0.407482
F3_soft_shape_conditioned_tail_heads,False,42,train,all,240,0.18293653428554535,0.1250602751970291,0.38948550820350647,0.5286754965782166,0.8607279658317566,0.02707308903336525,0.013099721632897854,0.0701344683766365,0.11913198977708817,0.1713191121816635,0.27687564492225647,0.16347210109233856,0.6232720017433167,0.827935516834259,1.7339394092559814,112,0,0.0,0,0.0,42,0.175,official_candidate,289,False,shape_f1=0.784; center_p95/max=5.115/7.062; burial_p95/max=1.907/2.679; total=0.378510
F3_soft_shape_conditioned_tail_heads,False,42,val,all,60,0.3785097897052765,0.30142101645469666,0.7577418088912964,1.00003182888031,1.2086350917816162,0.41830775141716003,0.13558551669120789,1.3314319849014282,1.9069472551345825,2.679387092590332,1.923702359199524,1.4262597560882568,4.705469608306885,5.11532735824585,7.062386989593506,33,4,0.06666666666666667,2,0.03333333333333333,13,0.21666666666666667,official_candidate,289,False,shape_f1=0.784; center_p95/max=5.115/7.062; burial_p95/max=1.907/2.679; total=0.378510
F3_soft_shape_conditioned_tail_heads,False,42,test,all,60,0.47199106216430664,0.46958833932876587,0.8794201612472534,0.949863612651825,0.9945336580276489,0.48951131105422974,0.2054332196712494,1.36040198802948,1.5533143281936646,2.7748332023620605,3.4903323650360107,2.916661500930786,6.807945728302002,8.644103050231934,20.431989669799805,44,9,0.15,3,0.05,11,0.18333333333333332,official_candidate,289,False,shape_f1=0.784; center_p95/max=5.115/7.062; burial_p95/max=1.907/2.679; total=0.378510
F4_true_shape_oracle_tail_diagnostic,False,42,train,all,240,0.18543189764022827,0.1305195689201355,0.41126465797424316,0.5295509696006775,0.8704360127449036,0.03336050361394882,0.021888816729187965,0.07512786984443665,0.09811269491910934,0.21904310584068298,0.3151073455810547,0.23531924188137054,0.637153685092926,0.7744905948638916,2.151674747467041,112,0,0.0,0,0.0,42,0.175,oracle_diagnostic,94,False,oracle diagnostic only; true shape labels are not allowed as formal model input
