group_field,group_value,success_count,sample_id,failure_reason
shape_type,internal_cuboid,55,,
shape_type,internal_ellipsoid,50,,
shape_type,internal_sphere,15,,
burial_depth_level,deep,19,,
burial_depth_level,deep_plus,41,,
burial_depth_level,medium,17,,
burial_depth_level,shallow,43,,
size_level,large,74,,
size_level,medium,46,,
aspect_bin,compact,78,,
aspect_bin,elongated_x,14,,
aspect_bin,elongated_y,28,,
target_id,target_01_geometry_branch_cuboid_ellipsoid,24,,
target_id,target_02_full_shift_catastrophic,20,,
target_id,target_03_worst_center_regions,18,,
target_id,target_04_worst_burial_depth,16,,
target_id,target_05_compact_medium_large,14,,
target_id,target_06_shallow_edge,10,,
target_id,target_07_deep_plus_edge,10,,
target_id,target_08_x_pos_y_pos_region,4,,
target_id,target_09_x_neg_y_pos_region,4,,
target_reason,center and burial full-shift failures,20,,
target_reason,compact medium/large hard cases,14,,
target_reason,cuboid/ellipsoid branch confusion,24,,
target_reason,deep_plus edge ambiguity,10,,
target_reason,shallow edge ambiguity,10,,
target_reason,worst burial_depth tail,16,,
target_reason,worst center_xyz tail,18,,
target_reason,x_neg_y_pos full-shift support,4,,
target_reason,x_pos_y_pos high center tail,4,,
neighbor_strategy,center_burial_tradeoff,20,,
neighbor_strategy,compact_medium_large_pair,14,,
neighbor_strategy,cuboid_ellipsoid_pair,24,,
neighbor_strategy,same_burial_varied_shape,20,,
neighbor_strategy,same_shape_varied_burial,16,,
neighbor_strategy,same_size_aspect_varied_center,26,,
center_region,central,18,,
center_region,x_neg_y_neg,7,,
center_region,x_neg_y_pos,31,,
center_region,x_pos_y_neg,24,,
center_region,x_pos_y_pos,40,,
split_hint,test,20,,
split_hint,train,80,,
split_hint,val,20,,
inventory_status,success,1,internal_hard_topup_001,
inventory_status,success,1,internal_hard_topup_002,
inventory_status,success,1,internal_hard_topup_003,
inventory_status,success,1,internal_hard_topup_004,
inventory_status,success,1,internal_hard_topup_005,
inventory_status,success,1,internal_hard_topup_006,
inventory_status,success,1,internal_hard_topup_007,
inventory_status,success,1,internal_hard_topup_008,
inventory_status,success,1,internal_hard_topup_009,
inventory_status,success,1,internal_hard_topup_010,
inventory_status,success,1,internal_hard_topup_011,
inventory_status,success,1,internal_hard_topup_012,
inventory_status,success,1,internal_hard_topup_013,
inventory_status,success,1,internal_hard_topup_014,
inventory_status,success,1,internal_hard_topup_015,
inventory_status,success,1,internal_hard_topup_016,
inventory_status,success,1,internal_hard_topup_017,
inventory_status,success,1,internal_hard_topup_018,
inventory_status,success,1,internal_hard_topup_019,
inventory_status,success,1,internal_hard_topup_020,
inventory_status,success,1,internal_hard_topup_021,
inventory_status,success,1,internal_hard_topup_022,
inventory_status,success,1,internal_hard_topup_023,
inventory_status,success,1,internal_hard_topup_024,
inventory_status,success,1,internal_hard_topup_025,
inventory_status,success,1,internal_hard_topup_026,
inventory_status,success,1,internal_hard_topup_027,
inventory_status,success,1,internal_hard_topup_028,
inventory_status,success,1,internal_hard_topup_029,
inventory_status,success,1,internal_hard_topup_030,
inventory_status,success,1,internal_hard_topup_031,
inventory_status,success,1,internal_hard_topup_032,
inventory_status,success,1,internal_hard_topup_033,
inventory_status,success,1,internal_hard_topup_034,
inventory_status,success,1,internal_hard_topup_035,
inventory_status,success,1,internal_hard_topup_036,
inventory_status,success,1,internal_hard_topup_037,
inventory_status,success,1,internal_hard_topup_038,
inventory_status,success,1,internal_hard_topup_039,
inventory_status,success,1,internal_hard_topup_040,
inventory_status,success,1,internal_hard_topup_041,
inventory_status,success,1,internal_hard_topup_042,
inventory_status,success,1,internal_hard_topup_043,
inventory_status,success,1,internal_hard_topup_044,
inventory_status,success,1,internal_hard_topup_045,
inventory_status,success,1,internal_hard_topup_046,
inventory_status,success,1,internal_hard_topup_047,
inventory_status,success,1,internal_hard_topup_048,
inventory_status,success,1,internal_hard_topup_049,
inventory_status,success,1,internal_hard_topup_050,
inventory_status,success,1,internal_hard_topup_051,
inventory_status,success,1,internal_hard_topup_052,
inventory_status,success,1,internal_hard_topup_053,
inventory_status,success,1,internal_hard_topup_054,
inventory_status,success,1,internal_hard_topup_055,
inventory_status,success,1,internal_hard_topup_056,
inventory_status,success,1,internal_hard_topup_057,
inventory_status,success,1,internal_hard_topup_058,
inventory_status,success,1,internal_hard_topup_059,
inventory_status,success,1,internal_hard_topup_060,
inventory_status,success,1,internal_hard_topup_061,
inventory_status,success,1,internal_hard_topup_062,
inventory_status,success,1,internal_hard_topup_063,
inventory_status,success,1,internal_hard_topup_064,
inventory_status,success,1,internal_hard_topup_065,
inventory_status,success,1,internal_hard_topup_066,
inventory_status,success,1,internal_hard_topup_067,
inventory_status,success,1,internal_hard_topup_068,
inventory_status,success,1,internal_hard_topup_069,
inventory_status,success,1,internal_hard_topup_070,
inventory_status,success,1,internal_hard_topup_071,
inventory_status,success,1,internal_hard_topup_072,
inventory_status,success,1,internal_hard_topup_073,
inventory_status,success,1,internal_hard_topup_074,
inventory_status,success,1,internal_hard_topup_075,
inventory_status,success,1,internal_hard_topup_076,
inventory_status,success,1,internal_hard_topup_077,
inventory_status,success,1,internal_hard_topup_078,
inventory_status,success,1,internal_hard_topup_079,
inventory_status,success,1,internal_hard_topup_080,
inventory_status,success,1,internal_hard_topup_081,
inventory_status,success,1,internal_hard_topup_082,
inventory_status,success,1,internal_hard_topup_083,
inventory_status,success,1,internal_hard_topup_084,
inventory_status,success,1,internal_hard_topup_085,
inventory_status,success,1,internal_hard_topup_086,
inventory_status,success,1,internal_hard_topup_087,
inventory_status,success,1,internal_hard_topup_088,
inventory_status,success,1,internal_hard_topup_089,
inventory_status,success,1,internal_hard_topup_090,
inventory_status,success,1,internal_hard_topup_091,
inventory_status,success,1,internal_hard_topup_092,
inventory_status,success,1,internal_hard_topup_093,
inventory_status,success,1,internal_hard_topup_094,
inventory_status,success,1,internal_hard_topup_095,
inventory_status,success,1,internal_hard_topup_096,
inventory_status,success,1,internal_hard_topup_097,
inventory_status,success,1,internal_hard_topup_098,
inventory_status,success,1,internal_hard_topup_099,
inventory_status,success,1,internal_hard_topup_100,
inventory_status,success,1,internal_hard_topup_101,
inventory_status,success,1,internal_hard_topup_102,
inventory_status,success,1,internal_hard_topup_103,
inventory_status,success,1,internal_hard_topup_104,
inventory_status,success,1,internal_hard_topup_105,
inventory_status,success,1,internal_hard_topup_106,
inventory_status,success,1,internal_hard_topup_107,
inventory_status,success,1,internal_hard_topup_108,
inventory_status,success,1,internal_hard_topup_109,
inventory_status,success,1,internal_hard_topup_110,
inventory_status,success,1,internal_hard_topup_111,
inventory_status,success,1,internal_hard_topup_112,
inventory_status,success,1,internal_hard_topup_113,
inventory_status,success,1,internal_hard_topup_114,
inventory_status,success,1,internal_hard_topup_115,
inventory_status,success,1,internal_hard_topup_116,
inventory_status,success,1,internal_hard_topup_117,
inventory_status,success,1,internal_hard_topup_118,
inventory_status,success,1,internal_hard_topup_119,
inventory_status,success,1,internal_hard_topup_120,
