model,selected_model,split,subset,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_accuracy,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
H2_B2_hardcase_tail_weighted,True,train,all,shape_type,internal_cuboid,91,0.05147238075733185,0.10091406852006912,0.09993639588356018,0.008528055623173714,0.054532650858163834,0.3262310028076172,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,train,all,shape_type,internal_ellipsoid,87,0.04605855047702789,0.09517146646976471,0.1101943850517273,0.007550846319645643,0.03982175886631012,0.2408311665058136,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,train,all,shape_type,internal_sphere,62,0.07933934032917023,0.1152874007821083,0.1669866144657135,0.02521461620926857,0.062117476016283035,0.46916818618774414,1.0,0.3333333333333333,0,0
H2_B2_hardcase_tail_weighted,True,train,all,burial_depth_level,deep,54,0.05735482648015022,0.12614083290100098,0.1240498274564743,0.01273323968052864,0.06265908479690552,0.30071988701820374,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,burial_depth_level,deep_plus,66,0.049678586423397064,0.08767170459032059,0.10805919766426086,0.008110550232231617,0.047160349786281586,0.2926112413406372,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,burial_depth_level,medium,54,0.054832249879837036,0.0865340530872345,0.11568957567214966,0.014175482094287872,0.04673073813319206,0.3298906981945038,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,burial_depth_level,shallow,66,0.06474592536687851,0.11121426522731781,0.1357039511203766,0.015271449461579323,0.04937295243144035,0.3994310200214386,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,size_level,large,103,0.05931171774864197,0.11873722821474075,0.12648682296276093,0.01260621938854456,0.05228064954280853,0.3334304392337799,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,size_level,medium,83,0.047246649861335754,0.07066059112548828,0.08383671939373016,0.008645319379866123,0.047914713621139526,0.3156556487083435,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,size_level,small,54,0.06628778576850891,0.12066952139139175,0.16755008697509766,0.018153348937630653,0.05400778353214264,0.3552778363227844,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,aspect_bin,compact,137,0.06326219439506531,0.10304456949234009,0.12560364603996277,0.015919692814350128,0.05441254749894142,0.3913130462169647,1.0,1.0,0,0
H2_B2_hardcase_tail_weighted,True,train,all,aspect_bin,elongated_x,48,0.045191019773483276,0.10622067749500275,0.09174863994121552,0.005830464884638786,0.048230573534965515,0.23992209136486053,1.0,0.6666666666666666,0,0
