candidate,candidate_role,selected_candidate,valid_for_multiseed,seed,split,sample_count,selection_score,best_epoch,total_normalized_mae,dimension_mae_mm,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,center_x_mae_mm,center_y_mae_mm,center_z_mae_mm,shape_accuracy,shape_macro_f1,selection_notes
T0_B2_reference,reference,False,False,42,train,160,,,0.05574171990156174,0.09007730334997177,0.12912169098854065,0.12929469347000122,0.011815516278147697,0.03966078534722328,0.3377147614955902,0.6968814134597778,0.24336734414100647,0.07289544492959976,1.0,1.0,22.0 fixed B2 reference; not retrained
T0_B2_reference,reference,False,False,42,val,40,,,0.2348766326904297,0.40002620220184326,0.7214447259902954,0.41718119382858276,0.061452481895685196,0.18651756644248962,0.8896825313568115,1.33331298828125,1.0398541688919067,0.29588019847869873,1.0,1.0,22.0 fixed B2 reference; not retrained
T0_B2_reference,reference,False,False,42,test,40,,,0.3952564597129822,0.6410641074180603,0.8486037850379944,0.9846186637878418,0.08997005224227905,0.4132470190525055,1.4663500785827637,2.001783609390259,1.8698076009750366,0.5274590849876404,0.975,0.9753086419753086,22.0 fixed B2 reference; not retrained
T1_shape_latent_conditioned,official_candidate,False,False,42,train,160,,122,0.07837158441543579,0.13102522492408752,0.12870609760284424,0.24423082172870636,0.020138772204518318,0.0783800259232521,0.34210941195487976,0.6246548891067505,0.3177269697189331,0.08394650369882584,1.0,1.0,val catastrophic 1 vs B2 1; geometry 1 vs B2 0; center_p95 5.497mm vs B2 5.362mm; burial_p95 1.089mm vs B2 0.918mm.
T1_shape_latent_conditioned,official_candidate,False,False,42,val,40,1.202047466635704,122,0.23272013664245605,0.38807085156440735,0.6375027894973755,0.4616447985172272,0.06506496667861938,0.20136842131614685,0.7762864232063293,0.8424158692359924,1.271296501159668,0.21514680981636047,0.975,0.9751724137931035,val catastrophic 1 vs B2 1; geometry 1 vs B2 0; center_p95 5.497mm vs B2 5.362mm; burial_p95 1.089mm vs B2 0.918mm.
T1_shape_latent_conditioned,official_candidate,False,False,42,test,40,,122,0.3548900783061981,0.5767362713813782,0.6904647946357727,0.9476261734962463,0.09211771190166473,0.4498439431190491,1.1093405485153198,1.4825396537780762,1.418408989906311,0.4270728826522827,0.925,0.9255172413793104,val catastrophic 1 vs B2 1; geometry 1 vs B2 0; center_p95 5.497mm vs B2 5.362mm; burial_p95 1.089mm vs B2 0.918mm.
T2_two_stage_soft_shape,official_candidate,False,False,42,train,160,,196,0.049034204334020615,0.0641181692481041,0.09031833708286285,0.09068799763917923,0.011348169296979904,0.06223525106906891,0.23295295238494873,0.38651734590530396,0.24974235892295837,0.06259924173355103,1.0,1.0,val catastrophic 2 vs B2 1; geometry 1 vs B2 0; center_p95 6.975mm vs B2 5.362mm; burial_p95 0.770mm vs B2 0.918mm.
T2_two_stage_soft_shape,official_candidate,False,False,42,val,40,1.1826599752902982,196,0.20747049152851105,0.31814220547676086,0.5356999039649963,0.3636985123157501,0.05502816289663315,0.21605268120765686,0.7542257308959961,0.9168422222137451,1.133929967880249,0.21190503239631653,0.975,0.9751724137931035,val catastrophic 2 vs B2 1; geometry 1 vs B2 0; center_p95 6.975mm vs B2 5.362mm; burial_p95 0.770mm vs B2 0.918mm.
T2_two_stage_soft_shape,official_candidate,False,False,42,test,40,,196,0.354412317276001,0.6433250904083252,0.8304275870323181,1.022999882698059,0.07654767483472824,0.42993491888046265,1.0281128883361816,1.1448566913604736,1.5024428367614746,0.43703901767730713,0.95,0.9505494505494506,val catastrophic 2 vs B2 1; geometry 1 vs B2 0; center_p95 6.975mm vs B2 5.362mm; burial_p95 0.770mm vs B2 0.918mm.
T3_shape_specific_heads,official_candidate,True,True,42,train,160,,198,0.0484321191906929,0.06512553989887238,0.097762331366539,0.087903693318367,0.009710579179227352,0.0671304389834404,0.23297762870788574,0.4015248715877533,0.2289014756679535,0.06850649416446686,1.0,1.0,val catastrophic 0 vs B2 1; geometry 0 vs B2 0; center_p95 6.015mm vs B2 5.362mm; burial_p95 0.680mm vs B2 0.918mm.
