candidate,candidate_role,selected_candidate,valid_for_multiseed,seed,split,sample_count,total_error_mean,total_error_median,total_error_p90,total_error_p95,total_error_max,burial_depth_error_mean_mm,burial_depth_error_median_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,center_xyz_error_mean_mm,center_xyz_error_median_mm,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,dimension_outlier_count,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_error_rate
T0_B2_reference,reference,False,False,42,train,160,0.05574171617627144,0.04941893368959427,0.09321849048137665,0.1010422483086586,0.12216009199619293,0.03966078534722328,0.02855435013771057,0.09356710314750671,0.11849358677864075,0.1821601688861847,0.7859276533126831,0.5817385911941528,1.7235692739486694,2.0323779582977295,2.8377187252044678,3,0,0.0,0,0.0,0.0
T0_B2_reference,reference,False,False,42,val,40,0.2348766326904297,0.06061210483312607,0.623496949672699,0.8069788217544556,0.9519345164299011,0.18651756644248962,0.03297324478626251,0.6651864051818848,0.9176270961761475,1.7685025930404663,1.9133899211883545,1.0553686618804932,4.483673095703125,5.362173080444336,7.4896745681762695,9,1,0.025,0,0.0,0.0
T0_B2_reference,reference,False,False,42,test,40,0.3952564299106598,0.42910826206207275,0.802473247051239,0.8814848065376282,0.9127556085586548,0.4132470190525055,0.2599027156829834,1.0779533386230469,1.266088604927063,1.6737254858016968,3.0961291790008545,3.033231019973755,5.556336879730225,8.308867454528809,8.785345077514648,16,5,0.125,1,0.025,0.025
T1_shape_latent_conditioned,official_candidate,False,False,42,train,160,0.07837159186601639,0.0754954069852829,0.11565504223108292,0.14836913347244263,0.18625999987125397,0.0783800259232521,0.06579986214637756,0.15562982857227325,0.17085857689380646,0.434707373380661,0.7820664644241333,0.6569390296936035,1.3560969829559326,1.5524911880493164,2.660045623779297,5,0,0.0,0,0.0,0.0
T1_shape_latent_conditioned,official_candidate,False,False,42,val,40,0.23272010684013367,0.0721498355269432,0.5937321186065674,0.656261146068573,0.9854761362075806,0.20136842131614685,0.0673564225435257,0.4529349207878113,1.0888853073120117,1.6171917915344238,1.7072862386703491,1.0738060474395752,4.102671146392822,5.496699810028076,9.043647766113281,7,1,0.025,1,0.025,0.025
T1_shape_latent_conditioned,official_candidate,False,False,42,test,40,0.3548901081085205,0.3406476378440857,0.7083055973052979,0.8288909792900085,0.9394134879112244,0.4498439431190491,0.23613785207271576,1.2727138996124268,1.5616302490234375,1.9803555011749268,2.3331706523895264,2.391069173812866,4.516353607177734,5.128715991973877,6.484272003173828,16,5,0.125,1,0.025,0.075
T2_two_stage_soft_shape,official_candidate,False,False,42,train,160,0.049034200608730316,0.04495939984917641,0.07654117047786713,0.09847745299339294,0.1618938148021698,0.06223524734377861,0.051899202167987823,0.13434439897537231,0.18569746613502502,0.26186415553092957,0.5095096826553345,0.4807663559913635,0.8753585815429688,1.0844674110412598,1.4387264251708984,1,0,0.0,0,0.0,0.0
T2_two_stage_soft_shape,official_candidate,False,False,42,val,40,0.20747049152851105,0.05259177088737488,0.6048933863639832,0.689369797706604,0.8644469380378723,0.21605268120765686,0.08084951341152191,0.5917148590087891,0.7702275514602661,1.9257704019546509,1.689326286315918,0.6604544520378113,4.459232330322266,6.975215435028076,9.619782447814941,9,2,0.05,1,0.025,0.025
T2_two_stage_soft_shape,official_candidate,False,False,42,test,40,0.354412317276001,0.3232452869415283,0.7843084335327148,0.8030356764793396,0.8738293051719666,0.42993491888046265,0.2583010196685791,1.1544487476348877,1.406357765197754,1.671033501625061,2.1688241958618164,1.4459497928619385,4.730832099914551,4.94542121887207,7.808494567871094,14,3,0.075,1,0.025,0.05
T3_shape_specific_heads,official_candidate,True,True,42,train,160,0.0484321191906929,0.04501262307167053,0.07595532387495041,0.09254205971956253,0.15636685490608215,0.0671304315328598,0.0540776252746582,0.12980075180530548,0.15740829706192017,0.3308054804801941,0.5138052105903625,0.43715450167655945,0.9824852347373962,1.099433183670044,1.633652687072754,0,0,0.0,0,0.0,0.0
T3_shape_specific_heads,official_candidate,True,True,42,val,40,0.21276012063026428,0.05022096633911133,0.6003537774085999,0.6899296045303345,0.7923327088356018,0.18054251372814178,0.0944586917757988,0.5047807097434998,0.6804991960525513,1.1360347270965576,1.679762601852417,0.449270099401474,4.043869495391846,6.014862537384033,9.379812240600586,9,0,0.0,0,0.0,0.0
T3_shape_specific_heads,official_candidate,True,True,42,test,40,0.34409382939338684,0.3669002652168274,0.729049801826477,0.7380141019821167,0.7751302123069763,0.46688026189804077,0.24986675381660461,1.269293189048767,1.4364616870880127,1.6404178142547607,2.5169215202331543,1.663108468055725,5.732598781585693,6.934882640838623,8.526285171508789,12,5,0.125,1,0.025,0.05
T4_oracle_true_shape_diagnostic,oracle_diagnostic,False,False,42,train,160,0.06489863246679306,0.05846542865037918,0.10391784459352493,0.1150253489613533,0.17481282353401184,0.07859456539154053,0.06042997166514397,0.1640554666519165,0.1969744861125946,0.26940134167671204,0.7653282284736633,0.6218277215957642,1.5903189182281494,1.9288371801376343,2.7857277393341064,0,0,0.0,0,0.0,0.0
T4_oracle_true_shape_diagnostic,oracle_diagnostic,False,False,42,val,40,0.2218778431415558,0.06939536333084106,0.6260636448860168,0.701935350894928,0.7178992033004761,0.2243715226650238,0.06696931272745132,0.6138859391212463,0.9312806725502014,1.093693494796753,1.61554753780365,0.7698497176170349,4.305507659912109,4.992978572845459,9.066226959228516,8,0,0.0,0,0.0,0.0
T4_oracle_true_shape_diagnostic,oracle_diagnostic,False,False,42,test,40,0.3749096989631653,0.3287394344806671,0.7193849682807922,0.7825751900672913,0.8460350632667542,0.4622572064399719,0.2942458987236023,1.1288316249847412,1.2089073657989502,1.4985464811325073,2.6870856285095215,1.8507256507873535,5.716963291168213,6.715759754180908,8.033617973327637,14,6,0.15,0,0.0,0.0
