model,selected_model,split,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy
svr_rbf_C10,svr_rbf_C10,train,shape_type,internal_cuboid,53,0.040555551648139954,0.11424396932125092,0.09110020101070404,0.009240233339369297,0.04405108466744423,0.20937110483646393,1.0
svr_rbf_C10,svr_rbf_C10,train,shape_type,internal_ellipsoid,53,0.03858475387096405,0.06587706506252289,0.1304726004600525,0.006885248236358166,0.03796425089240074,0.21887585520744324,1.0
svr_rbf_C10,svr_rbf_C10,train,shape_type,internal_sphere,54,0.08854114264249802,0.06205844134092331,0.05986720696091652,0.048707325011491776,0.11657799035310745,0.2582048177719116,1.0
svr_rbf_C10,svr_rbf_C10,train,burial_depth_level,deep,40,0.0645967498421669,0.06579789519309998,0.16067363321781158,0.02824155054986477,0.06917712092399597,0.22334003448486328,1.0
svr_rbf_C10,svr_rbf_C10,train,burial_depth_level,deep_plus,40,0.05654717609286308,0.1278991848230362,0.08524705469608307,0.010375626385211945,0.08256328105926514,0.26932209730148315,1.0
svr_rbf_C10,svr_rbf_C10,train,burial_depth_level,medium,40,0.0604480616748333,0.06517490744590759,0.06535635143518448,0.02845698408782482,0.07651681452989578,0.2224561721086502,1.0
svr_rbf_C10,svr_rbf_C10,train,burial_depth_level,shallow,40,0.0427994541823864,0.06356726586818695,0.06312765181064606,0.020046990364789963,0.03779338300228119,0.20088548958301544,1.0
svr_rbf_C10,svr_rbf_C10,train,size_level,large,53,0.07277453690767288,0.0805821642279625,0.13794732093811035,0.03990303352475166,0.061080362647771835,0.2223614603281021,1.0
svr_rbf_C10,svr_rbf_C10,train,size_level,medium,53,0.04874282330274582,0.06439927220344543,0.06291395425796509,0.012678608298301697,0.07224486768245697,0.24840503931045532,1.0
svr_rbf_C10,svr_rbf_C10,train,size_level,small,54,0.04694884270429611,0.09654728323221207,0.08019518852233887,0.012926280498504639,0.0662182867527008,0.21647270023822784,1.0
