check_name,pass,observed,expected,notes
n_samples_240,True,240,240,
split_counts_160_40_40,True,"{'train': 160, 'val': 40, 'test': 40}",160/40/40,
delta_b_shape,True,"(240, 3, 3, 201)","(240,3,3,201)",
x_channels_shape,True,"(240, 9, 201)","(240,9,201)",
delta_b_finite,True,True,True,
axis_names,True,"['Bx', 'By', 'Bz']","[Bx, By, Bz]",
labels_present,True,"(240, 7)","(240,7)",
shape_counts_balanced,True,"{'internal_sphere': 80, 'internal_ellipsoid': 80, 'internal_cuboid': 80}",80/80/80,
burial_counts_balanced,True,"{'shallow': 60, 'medium': 60, 'deep': 60, 'deep_plus': 60}",60 each,
size_counts_balanced,True,"{'small': 80, 'medium': 80, 'large': 80}",80 each,
aspect_coverage,True,"{'compact': 134, 'elongated_x': 54, 'elongated_y': 52}",compact/elongated_x/elongated_y,
each_split_has_all_shapes,True,"{'train': {'internal_sphere': 54, 'internal_ellipsoid': 53, 'internal_cuboid': 53}, 'val': {'internal_sphere': 13, 'internal_ellipsoid': 14, 'internal_cuboid': 13}, 'test': {'internal_sphere': 13, 'internal_ellipsoid': 13, 'internal_cuboid': 14}}",3 shape types in every split,
each_split_has_all_burials,True,"{'train': {'shallow': 40, 'medium': 40, 'deep': 40, 'deep_plus': 40}, 'val': {'medium': 10, 'deep': 10, 'deep_plus': 10, 'shallow': 10}, 'test': {'shallow': 10, 'deep': 10, 'deep_plus': 10, 'medium': 10}}",4 burial levels in every split,
each_split_has_all_sizes,True,"{'train': {'small': 54, 'medium': 53, 'large': 53}, 'val': {'large': 13, 'medium': 14, 'small': 13}, 'test': {'large': 14, 'medium': 13, 'small': 13}}",3 size levels in every split,
cavity_internal_true,True,all true,True,
train_only_normalization,True,computed from train split only,train split only,
normalization_shapes,True,"mean=(1, 9, 1); std=(1, 9, 1)","(1,9,1)",
no_label_as_input,True,"model input is delta_b reshaped to (N,9,201)",no labels/metadata as input,
baseline_ready_false,True,False,False,
current_baseline_unchanged_by_stage,True,21.4 input check does not write CURRENT_BASELINE.md,no baseline update,
