observation_config,base_group_id,nearest_base_group_id,shape_type,nearest_shape_type,burial_depth_level,nearest_burial_depth_level,size_level,nearest_size_level,aspect_bin,nearest_aspect_bin,nearest_feature_distance,center_label_distance_mm,burial_label_distance_mm,shape_match,burial_bin_match,ambiguous_neighbor,cuboid_ellipsoid_cross,elongated_x_y_cross
mag_x_5line_only,richer_obs_base_001,richer_obs_base_007,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,medium,compact,compact,0.35465216636657715,5.0059967041015625,0.9999999403953552,False,False,True,True,False
mag_x_5line_only,richer_obs_base_002,richer_obs_base_018,internal_ellipsoid,internal_cuboid,deep_plus,deep_plus,large,large,elongated_y,compact,0.4820944368839264,1.8027758598327637,0.0,False,True,True,True,False
mag_x_5line_only,richer_obs_base_003,richer_obs_base_010,internal_cuboid,internal_ellipsoid,deep_plus,medium,medium,large,compact,elongated_y,0.5166025757789612,13.579764366149902,2.1999998092651367,False,False,True,True,False
mag_x_5line_only,richer_obs_base_004,richer_obs_base_013,internal_ellipsoid,internal_cuboid,deep_plus,deep,large,large,compact,compact,0.6284658312797546,2.0615527629852295,0.9999999403953552,False,False,True,True,False
mag_x_5line_only,richer_obs_base_005,richer_obs_base_004,internal_ellipsoid,internal_ellipsoid,shallow,deep_plus,medium,large,compact,compact,0.7810333967208862,3.9370040893554688,3.3999998569488525,True,False,True,False,False
mag_x_5line_only,richer_obs_base_006,richer_obs_base_019,internal_cuboid,internal_cuboid,shallow,deep_plus,large,medium,compact,elongated_y,0.5558022856712341,17.346181869506836,3.3999998569488525,True,False,True,False,False
mag_x_5line_only,richer_obs_base_007,richer_obs_base_001,internal_ellipsoid,internal_cuboid,deep_plus,deep,medium,large,compact,compact,0.35465216636657715,5.0059967041015625,0.9999999403953552,False,False,True,True,False
mag_x_5line_only,richer_obs_base_008,richer_obs_base_026,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,large,medium,compact,elongated_y,0.4031030237674713,10.547986030578613,0.0,True,True,True,False,False
mag_x_5line_only,richer_obs_base_009,richer_obs_base_024,internal_sphere,internal_sphere,deep_plus,deep_plus,medium,large,compact,compact,0.594714879989624,13.82967758178711,0.0,True,True,True,False,False
mag_x_5line_only,richer_obs_base_010,richer_obs_base_025,internal_ellipsoid,internal_ellipsoid,medium,deep_plus,large,medium,elongated_y,elongated_x,0.3236641585826874,2.8999998569488525,2.1999998092651367,True,False,True,False,True
mag_x_5line_only,richer_obs_base_011,richer_obs_base_012,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
mag_x_5line_only,richer_obs_base_012,richer_obs_base_011,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
mag_x_5line_only,richer_obs_base_013,richer_obs_base_015,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,small,compact,elongated_y,0.5805296897888184,12.191800117492676,0.9999999403953552,False,False,True,True,False
mag_x_5line_only,richer_obs_base_014,richer_obs_base_004,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,large,large,compact,compact,0.637370765209198,1.8027758598327637,0.0,False,True,True,True,False
mag_x_5line_only,richer_obs_base_015,richer_obs_base_026,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,small,medium,elongated_y,elongated_y,0.5514160394668579,0.1000002920627594,0.0,True,True,False,False,False
mag_x_5line_only,richer_obs_base_016,richer_obs_base_023,internal_ellipsoid,internal_cuboid,deep_plus,medium,large,small,elongated_y,elongated_y,0.5844442248344421,3.1240999698638916,2.1999998092651367,False,False,True,True,False
mag_x_5line_only,richer_obs_base_017,richer_obs_base_009,internal_sphere,internal_sphere,deep_plus,deep_plus,large,medium,compact,compact,0.8809467554092407,12.540334701538086,0.0,True,True,True,False,False
mag_x_5line_only,richer_obs_base_018,richer_obs_base_019,internal_cuboid,internal_cuboid,deep_plus,deep_plus,large,medium,compact,elongated_y,0.45091262459754944,8.062877655029297,0.0,True,True,True,False,False
mag_x_5line_only,richer_obs_base_019,richer_obs_base_025,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,medium,medium,elongated_y,elongated_x,0.4476838707923889,12.529964447021484,0.0,False,True,True,True,True
mag_x_5line_only,richer_obs_base_020,richer_obs_base_028,internal_cuboid,internal_cuboid,shallow,shallow,medium,medium,elongated_y,elongated_x,0.5730810761451721,5.0,0.0,True,True,True,False,True
mag_x_5line_only,richer_obs_base_021,richer_obs_base_011,internal_sphere,internal_sphere,deep,shallow,medium,large,compact,compact,0.5460126399993896,2.299999952316284,2.3999998569488525,True,False,True,False,False
mag_x_5line_only,richer_obs_base_022,richer_obs_base_028,internal_cuboid,internal_cuboid,shallow,shallow,large,medium,elongated_y,elongated_x,0.6089924573898315,13.000384330749512,0.0,True,True,True,False,True
mag_x_5line_only,richer_obs_base_023,richer_obs_base_030,internal_cuboid,internal_cuboid,medium,deep,small,medium,elongated_y,elongated_y,0.4490177035331726,1.3000000715255737,1.1999998092651367,True,False,True,False,False
mag_x_5line_only,richer_obs_base_024,richer_obs_base_029,internal_sphere,internal_sphere,deep_plus,deep_plus,large,small,compact,compact,0.4396333396434784,6.003332614898682,0.0,True,True,True,False,False
mag_x_5line_only,richer_obs_base_025,richer_obs_base_010,internal_ellipsoid,internal_ellipsoid,deep_plus,medium,medium,large,elongated_x,elongated_y,0.3236641585826874,2.8999998569488525,2.1999998092651367,True,False,True,False,True
mag_x_5line_only,richer_obs_base_026,richer_obs_base_008,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,medium,large,elongated_y,compact,0.4031030237674713,10.547986030578613,0.0,True,True,True,False,False
mag_x_5line_only,richer_obs_base_027,richer_obs_base_018,internal_cuboid,internal_cuboid,deep,deep_plus,medium,large,compact,compact,0.6894294023513794,6.099999904632568,0.9999999403953552,True,False,True,False,False
mag_x_5line_only,richer_obs_base_028,richer_obs_base_020,internal_cuboid,internal_cuboid,shallow,shallow,medium,medium,elongated_x,elongated_y,0.5730810761451721,5.0,0.0,True,True,True,False,True
mag_x_5line_only,richer_obs_base_029,richer_obs_base_024,internal_sphere,internal_sphere,deep_plus,deep_plus,small,large,compact,compact,0.4396333396434784,6.003332614898682,0.0,True,True,True,False,False
mag_x_5line_only,richer_obs_base_030,richer_obs_base_023,internal_cuboid,internal_cuboid,deep,medium,medium,small,elongated_y,elongated_y,0.4490177035331726,1.3000000715255737,1.1999998092651367,True,False,True,False,False
dual_mag_xy_5line,richer_obs_base_001,richer_obs_base_007,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,medium,compact,compact,0.5243540406227112,5.0059967041015625,0.9999999403953552,False,False,True,True,False
dual_mag_xy_5line,richer_obs_base_002,richer_obs_base_010,internal_ellipsoid,internal_ellipsoid,deep_plus,medium,large,large,elongated_y,elongated_y,0.6771146059036255,13.714591026306152,2.1999998092651367,True,False,True,False,False
dual_mag_xy_5line,richer_obs_base_003,richer_obs_base_010,internal_cuboid,internal_ellipsoid,deep_plus,medium,medium,large,compact,elongated_y,0.5744985342025757,13.579764366149902,2.1999998092651367,False,False,True,True,False
dual_mag_xy_5line,richer_obs_base_004,richer_obs_base_013,internal_ellipsoid,internal_cuboid,deep_plus,deep,large,large,compact,compact,0.7116268277168274,2.0615527629852295,0.9999999403953552,False,False,True,True,False
