group_type,group_value,row_count,base_count
observation_variant,M1_mag_y_5line_z0p008,30,30
observation_variant,M2_mag_y_9line_z0p008,30,30
paired_reference_variant,R1_5line_z0p008,30,30
paired_reference_variant,R1_9line_z0p008,30,30
magnetization_direction,mag_y,60,30
source_direction,orthogonal_source_x_from_nominal_y,60,30
scan_line_count,5,30,30
scan_line_count,9,30,30
shape_type,internal_cuboid,26,13
shape_type,internal_ellipsoid,20,10
shape_type,internal_sphere,14,7
burial_depth_level,deep,10,5
burial_depth_level,deep_plus,32,16
burial_depth_level,medium,4,2
burial_depth_level,shallow,14,7
size_level,large,30,15
size_level,medium,24,12
size_level,small,6,3
aspect_bin,compact,36,18
aspect_bin,elongated_x,4,2
aspect_bin,elongated_y,20,10
source_split,test,60,30
