group_type,group_value,row_count,base_count
observation_variant,R0_3line_z0p008,30,30
observation_variant,R1_5line_z0p008,30,30
observation_variant,R1_9line_z0p008,30,30
observation_variant,R2_5line_z0p006,30,30
observation_variant,R2_5line_z0p010,30,30
observation_variant,R2_5line_z0p012,30,30
scan_line_count,3,30,30
scan_line_count,5,120,30
scan_line_count,9,30,30
sensor_z_m,0.006,30,30
sensor_z_m,0.008,90,30
sensor_z_m,0.01,30,30
sensor_z_m,0.012,30,30
shape_type,internal_cuboid,78,13
shape_type,internal_ellipsoid,60,10
shape_type,internal_sphere,42,7
burial_depth_level,deep,30,5
burial_depth_level,deep_plus,96,16
burial_depth_level,medium,12,2
burial_depth_level,shallow,42,7
size_level,large,90,15
size_level,medium,72,12
size_level,small,18,3
aspect_bin,compact,108,18
aspect_bin,elongated_x,12,2
aspect_bin,elongated_y,60,10
