model,observation_config,seed,selected_model,split,sample_count,center_xyz_error_mean_mm,center_xyz_error_median_mm,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,burial_depth_error_mean_mm,burial_depth_error_median_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_misclassified_count,full_shift_failure_count
O1_richer_observation_conv1d,R1_plus_R2_combined,42,False,train,20,3.5288844108581543,3.2047524452209473,4.99439001083374,6.883392333984375,9.046415328979492,0.6319313645362854,0.42069411277770996,1.1027625799179077,1.7303310632705688,2.6126205921173096,3,0.15,0,0.0,0,2
O1_richer_observation_conv1d,R1_plus_R2_combined,42,False,val,5,3.629526138305664,3.5455102920532227,5.462786674499512,5.742012977600098,6.021239280700684,1.388315200805664,0.38725045323371887,3.0636868476867676,3.268378734588623,3.4730708599090576,2,0.4,1,0.2,2,1
O1_richer_observation_conv1d,R1_plus_R2_combined,42,False,test,5,4.4122700691223145,3.933030605316162,7.144595146179199,8.064017295837402,8.983438491821289,0.9588714838027954,0.7701462507247925,1.8800842761993408,2.246352434158325,2.6126205921173096,4,0.8,0,0.0,2,1
O1_richer_observation_conv1d,R1_plus_R2_combined,123,False,train,20,4.08086633682251,3.8835411071777344,6.68088960647583,6.775186061859131,6.993667125701904,0.7339901328086853,0.6787928342819214,1.2657735347747803,1.4023293256759644,1.9212942123413086,7,0.35,0,0.0,0,3
O1_richer_observation_conv1d,R1_plus_R2_combined,123,False,val,5,3.7247607707977295,3.540388822555542,5.425375461578369,5.533231735229492,5.641088008880615,1.392907738685608,1.5919504165649414,1.890861988067627,1.9622793197631836,2.0336966514587402,3,0.6,1,0.2,3,2
O1_richer_observation_conv1d,R1_plus_R2_combined,123,False,test,5,4.024109840393066,3.2627127170562744,6.427738666534424,7.3817291259765625,8.335719108581543,0.8544063568115234,0.751711905002594,1.3629391193389893,1.4399317502975464,1.516924500465393,3,0.6,0,0.0,3,1
O1_richer_observation_conv1d,R1_plus_R2_combined,2026,False,train,20,1.1383206844329834,0.787665843963623,2.774284839630127,2.898749351501465,3.0058705806732178,0.1194138154387474,0.09845223277807236,0.22062548995018005,0.2239709496498108,0.2621925175189972,0,0.0,0,0.0,0,0
O1_richer_observation_conv1d,R1_plus_R2_combined,2026,False,val,5,3.8169612884521484,3.849297046661377,4.949977874755859,4.966338634490967,4.982698917388916,1.3250657320022583,0.9171783328056335,2.200665235519409,2.3038177490234375,2.4069700241088867,2,0.4,1,0.2,3,1
O1_richer_observation_conv1d,R1_plus_R2_combined,2026,False,test,5,2.57220196723938,2.5331485271453857,3.894663095474243,4.292288780212402,4.689914226531982,0.6099489331245422,0.7061553001403809,0.8683636784553528,0.8758525252342224,0.8833413124084473,1,0.2,0,0.0,1,0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,42,False,train,20,5.107535362243652,5.28447151184082,8.533984184265137,8.75887393951416,9.255718231201172,0.5610184073448181,0.45507746934890747,0.8512212634086609,1.2824684381484985,2.2743406295776367,7,0.35,0,0.0,0,1
O2_richer_observation_feature_fusion,R1_plus_R2_combined,42,False,val,5,3.5209248065948486,2.4231300354003906,6.536697864532471,6.9075517654418945,7.278405666351318,1.030196189880371,0.8923385739326477,1.6859465837478638,1.8014534711837769,1.91696035861969,2,0.4,1,0.2,3,1
O2_richer_observation_feature_fusion,R1_plus_R2_combined,42,False,test,5,3.8326210975646973,3.567295551300049,6.156790733337402,6.688577651977539,7.220364093780518,0.8343492746353149,0.6584462523460388,1.72041916847229,1.9973798990249634,2.2743406295776367,2,0.4,0,0.0,3,1
O2_richer_observation_feature_fusion,R1_plus_R2_combined,123,False,train,20,0.9635812640190125,0.9203138947486877,1.7281570434570312,1.7638797760009766,1.952608585357666,0.07422564178705215,0.06814569234848022,0.12437927722930908,0.1412348747253418,0.2277495265007019,0,0.0,0,0.0,0,0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,123,False,val,5,3.9556021690368652,2.8025400638580322,6.110514163970947,6.37089204788208,6.631269454956055,1.4878604412078857,1.3560538291931152,2.0617008209228516,2.0764832496643066,2.0912656784057617,2,0.4,1,0.2,3,1
O2_richer_observation_feature_fusion,R1_plus_R2_combined,123,False,test,5,2.7297475337982178,2.5650558471679688,4.1955246925354,4.72617769241333,5.256831169128418,0.44394904375076294,0.3772343099117279,0.6630474925041199,0.6699842810630798,0.6769211292266846,0,0.0,0,0.0,2,0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,2026,False,train,20,1.9935756921768188,1.5292123556137085,4.306984901428223,5.124730110168457,5.525655746459961,0.15944573283195496,0.1383228302001953,0.30752572417259216,0.3644382655620575,0.5795632600784302,0,0.0,0,0.0,0,0
O2_richer_observation_feature_fusion,R1_plus_R2_combined,2026,False,val,5,4.2589616775512695,3.3744540214538574,6.311471462249756,6.440127849578857,6.568784713745117,1.0671998262405396,0.9488102793693542,1.2690672874450684,1.2953697443008423,1.3216720819473267,2,0.4,0,0.0,3,0
