sample_index,sample_id,split,shape_type,topology_type,representation_target,rbc_compatible,component_count,diagnosis,target_role,suitable_for_six_param_refinement,include_in_success_gate,include_in_rbc_control_gate,include_as_negative_control,exclude_reason,failure_reason,model_pass,rbc_representable,baseline_profile_depth_rmse_m,baseline_Er_like_error,baseline_projected_mask_IoU,baseline_projected_mask_Dice,baseline_area_error,baseline_mask_center_error_px,baseline_component_recall_proxy,baseline_merge_component_proxy,baseline_true_component_count,baseline_pred_component_count,oracle_profile_depth_rmse_m,oracle_Er_like_error,oracle_projected_mask_IoU,oracle_projected_mask_Dice,oracle_area_error,oracle_mask_center_error_px,oracle_component_count,oracle_minus_baseline_rmse_m,baseline_minus_oracle_rmse_m,label_L_m,label_W_m,label_D_m,label_aspect_ratio,label_rotation_angle,label_asymmetry_score,label_edge_steepness,feature_input_policy,label_use_policy,test_time_label_use_allowed,pred_L_m,pred_W_m,pred_D_m,pred_wLD,pred_wWD,pred_wLW,oracle_L_m,oracle_W_m,oracle_D_m,oracle_wLD,oracle_wWD,oracle_wLW
0,surf_shape_001_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,False,True,0.0004487911352184057,5.719557764599225,0.23324022346368714,0.3782559456398641,3.287425149700599,0.14818612098297657,1.0,False,1,1,1.6179891419462418e-05,0.20620243212585485,0.9147727272727273,0.9554896142433235,0.017964071856287425,0.1617429518378104,1,-0.0004326112437989433,0.0004326112437989433,0.0085,0.0051,0.001,1.6666666666666667,0.0,0.0,0.35,observed_delta_b_features_plus_frozen_20_85_predicted_params,labels_allowed_only_for_oracle_fit_surrogate_train_targets_validation_selection_and_final_metrics,False,0.02003076672554016,0.011100728996098042,0.0028384211473166943,0.8800782561302185,0.9016837477684021,0.8695011734962463,0.00945190376386632,0.005476701342700839,0.0008749437595047656,1.0000057518692596,0.9999829032540296,1.0002021671931998
1,surf_shape_002_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_profile_rmse_high|baseline_mask_dice_low,False,True,0.00081577582576044,8.876708726382319,0.2048823016564952,0.34008683068017365,3.880851063829787,0.6237551660422949,1.0,False,1,1,1.9142418104780846e-05,0.20829456386056983,0.9116465863453815,0.9537815126050421,0.02553191489361702,0.16983597982845097,1,-0.0007966334076556592,0.0007966334076556592,0.01,0.006,0.001,1.6666666666666667,0.0,0.0,0.35,observed_delta_b_features_plus_frozen_20_85_predicted_params,labels_allowed_only_for_oracle_fit_surrogate_train_targets_validation_selection_and_final_metrics,False,0.025363901630043983,0.014726756140589714,0.0038795159198343754,0.8289564251899719,0.8894338011741638,0.8293524980545044,0.01131044862301994,0.006486765086988692,0.0008603645280179497,0.9999021686387481,0.9998910768954722,1.000288041723091
2,surf_shape_003_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_profile_rmse_high|baseline_mask_dice_low,False,True,0.0008949928835173742,5.4190273311950445,0.30341113105924594,0.465564738292011,2.2958579881656807,0.21640212017482427,1.0,False,1,1,3.392929292463146e-05,0.205436008568141,0.9316239316239316,0.9646017699115044,0.005917159763313609,0.1485116848499056,1,-0.0008610635905927428,0.0008610635905927428,0.012,0.0072,0.0015,1.6666666666666667,0.0,0.0,0.35,observed_delta_b_features_plus_frozen_20_85_predicted_params,labels_allowed_only_for_oracle_fit_surrogate_train_targets_validation_selection_and_final_metrics,False,0.025665808469057083,0.01351801585406065,0.004581740126013756,0.8935307860374451,0.9164761900901794,0.913352370262146,0.013484761023899845,0.007721607227499831,0.0013135313596961192,1.0005724811276113,0.9997442493439215,0.9990932672885541
3,surf_shape_004_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,rbc_representable_and_model_pass,already_pass_reference,True,False,True,False,,oracle_and_model_pass,True,True,0.00012687176386884212,0.6854068137997091,0.7517564402810304,0.8582887700534759,0.24824355971896955,0.11217158518571146,1.0,False,1,1,3.771513299527994e-05,0.2037506877026681,0.9263392857142857,0.9617612977983777,0.02107728337236534,0.1081194027774136,1,-8.915663087356218e-05,8.915663087356218e-05,0.013500000000000002,0.008100000000000001,0.0015,1.6666666666666665,0.0,0.0,0.35,observed_delta_b_features_plus_frozen_20_85_predicted_params,labels_allowed_only_for_oracle_fit_surrogate_train_targets_validation_selection_and_final_metrics,False,0.012635798193514347,0.007764200679957867,0.0024519972503185272,0.9325816631317139,0.9734610915184021,0.9484753608703613,0.01524189959726608,0.008681431233835059,0.001288450380124496,0.9998471198955432,0.9999944085692839,1.0005557478497782
4,surf_shape_005_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_profile_rmse_high|baseline_mask_dice_low,False,True,0.0008838572882831529,5.139231415915717,0.15089285714285713,0.2622187742435997,5.627218934911243,0.3439064267523936,1.0,False,1,1,5.142115409867651e-05,0.29899081456903864,0.9881656804733728,0.9940476190476191,0.011834319526627219,0.09485928723006794,1,-0.0008324361341844764,0.0008324361341844764,0.0085,0.0051,0.0022,1.6666666666666667,0.0,0.0,0.35,observed_delta_b_features_plus_frozen_20_85_predicted_params,labels_allowed_only_for_oracle_fit_surrogate_train_targets_validation_selection_and_final_metrics,False,0.02583256922662258,0.01364956982433796,0.004372985567897558,0.8691096305847168,0.9128759503364563,0.8963649868965149,0.008141829850314444,0.004780086908090162,0.0014584826095719462,4.999999980945393,4.9996734066055435,5.000000059795817
5,surf_shape_006_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,False,True,0.0005424773785765408,2.700249139959178,0.21171171171171171,0.34944237918215615,3.723404255319149,0.6244423528737626,1.0,False,1,1,3.925614281894965e-05,0.19540237081061476,0.943089430894309,0.9707112970711297,0.03404255319148936,0.09221917576392931,1,-0.0005032212357575911,0.0005032212357575911,0.01,0.006,0.0022,1.6666666666666667,0.0,0.0,0.35,observed_delta_b_features_plus_frozen_20_85_predicted_params,labels_allowed_only_for_oracle_fit_surrogate_train_targets_validation_selection_and_final_metrics,False,0.024530380964279175,0.01477590948343277,0.0029798715841025114,0.7781636714935303,0.8623656034469604,0.8039083480834961,0.011361434839055955,0.006487106633222546,0.001880877254521201,0.9998309814269709,0.9996946281302053,1.0003594145769403
6,surf_shape_007_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_mask_dice_low,False,True,0.0003269008598508472,0.9881107331835054,0.41421568627450983,0.58578856152513,1.4142011834319526,0.12408724408174021,1.0,False,1,1,6.790408696344748e-05,0.2052510880094423,0.9138888888888889,0.9550072568940493,0.038461538461538464,0.10098253352590203,1,-0.0002589967728873997,0.0002589967728873997,0.012,0.0072,0.003,1.6666666666666667,0.0,0.0,0.35,observed_delta_b_features_plus_frozen_20_85_predicted_params,labels_allowed_only_for_oracle_fit_surrogate_train_targets_validation_selection_and_final_metrics,False,0.021327976137399673,0.011966980062425137,0.002921133767813444,0.8525129556655884,0.8961693644523621,0.8556321859359741,0.013610213217611406,0.007815367554256433,0.002577257767265434,0.9995472654941969,0.9996535179135895,1.0001177993634367
7,surf_shape_008_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,rbc_representable_and_model_pass,already_pass_reference,True,False,True,False,,oracle_and_model_pass,True,True,0.00021959380562752072,0.5928653324940757,0.5760869565217391,0.7310344827586207,0.7358490566037735,0.0820715898886979,1.0,False,1,1,7.479148027891204e-05,0.20192407384429514,0.9282511210762332,0.9627906976744186,0.02830188679245283,0.10580815193900335,1,-0.00014480232534860868,0.00014480232534860868,0.013500000000000002,0.008100000000000001,0.003,1.6666666666666665,0.0,0.0,0.35,observed_delta_b_features_plus_frozen_20_85_predicted_params,labels_allowed_only_for_oracle_fit_surrogate_train_targets_validation_selection_and_final_metrics,False,0.020321372896432877,0.011317025870084763,0.0028169003780931234,0.8740847706794739,0.8977691531181335,0.8674253225326538,0.015176662286331709,0.00872860537015549,0.002545178777098778,1.0000485275278161,0.99974195001931,1.0004793889562633
8,surf_shape_009_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_profile_rmse_high|baseline_mask_dice_low,False,True,0.0007036081928221775,9.040148932611178,0.16617790811339198,0.28499580888516346,5.017647058823529,0.018068307620137235,1.0,False,1,1,1.598507942286353e-05,0.20538063677553842,0.9166666666666666,0.9565217391304348,0.029411764705882353,0.0731418839529895,1,-0.000687623113399314,0.000687623113399314,0.0085,0.0051,0.001,1.6666666666666667,0.0,0.0,0.35,observed_delta_b_features_plus_frozen_20_85_predicted_params,labels_allowed_only_for_oracle_fit_surrogate_train_targets_validation_selection_and_final_metrics,False,0.023636028170585632,0.01361450832337141,0.003573114052414894,0.8366485834121704,0.8937183618545532,0.8303537368774414,0.009598947903449713,0.00551276363794455,0.0008578807102712712,1.0000540208653812,0.9998148466325363,1.0001202163590919
9,surf_shape_010_rbc_like_smooth_pit,train,rbc_like_smooth_pit,single_component,six_param_rbc,True,1,rbc_representable_but_model_fail,refinement_target,True,True,True,False,,baseline_profile_rmse_high|baseline_mask_dice_low,False,True,0.0008401006827869696,9.129033419666685,0.1988255033557047,0.33170048985304407,4.029535864978903,0.08278644551679144,1.0,False,1,1,1.8127037447545388e-05,0.1969791645796744,0.9467213114754098,0.9726315789473684,0.004219409282700422,0.06657107381021658,1,-0.0008219736453394242,0.0008219736453394242,0.01,0.006,0.001,1.6666666666666667,0.0,0.0,0.35,observed_delta_b_features_plus_frozen_20_85_predicted_params,labels_allowed_only_for_oracle_fit_surrogate_train_targets_validation_selection_and_final_metrics,False,0.02557462453842163,0.01455659605562687,0.003978236578404903,0.8414503335952759,0.8888342380523682,0.8586127161979675,0.011219654967570613,0.006449716077052475,0.0008693214219975093,1.000096809627881,1.0001098354545799,1.0002500298080927
