candidate_order,model,family,alpha,gamma,C,epsilon,sklearn_available,selected_by_validation,validation_selection_metric,test_final_only,evaluation_role,split,sample_count,normalized_param_mae_mean_mean,dimension_param_mae_norm_mean,curvature_param_mae_norm_mean,L_mae_mm_mean,W_mae_mm_mean,D_mae_mm_mean,wLD_abs_error_mean,wWD_abs_error_mean,wLW_abs_error_mean,curvature_mae_mean_mean,projected_mask_iou_mean,projected_mask_dice_mean,projected_mask_area_error_mean,projected_mask_center_error_px_mean,profile_depth_rmse_m_mean,volume_proxy_rel_error_mean,clip_applied_mean,feature_count,notes
0,mean_train_target,mean,,,,,,False,0.9027001261711121,False,fixed_mean_comparator,train,162,0.8843550119135115,0.854819937436669,0.9138900961404965,5.357136491640114,3.730723546610938,1.3268853824263738,0.2063705266257863,0.20390929300108074,0.19047448443777767,0.20025143533209225,0.5711879516880055,0.7085531606795136,0.7692658295200789,0.0,0.0006237220227769375,1.7018679845615414,0.0,291,train-target mean comparator; no labels used as input
0,mean_train_target,mean,,,,,,False,0.9027001261711121,False,fixed_mean_comparator,val,39,0.9027001766058115,0.8811293878616431,0.9242709737557632,5.357397249111762,3.7335642744333315,1.4462722155910273,0.20692320053394025,0.20652131086740738,0.19393995939156947,0.202461492174711,0.5731046990808089,0.7019223046660462,0.8672898284124002,0.0,0.0006671408713699725,2.2082292638655954,0.0,291,train-target mean comparator; no labels used as input
0,mean_train_target,mean,,,,,,False,0.9027001261711121,False,fixed_mean_comparator,test,39,0.912676948767442,0.9063940399732345,0.9189598514483526,5.845426941529299,3.9415935300863705,1.371151325221245,0.20733349445538643,0.20598234427280915,0.19083739244020903,0.2013844125545942,0.5384134081888916,0.6861305835479256,0.8238863090254052,0.0,0.0006566334204996029,2.111714516563697,0.0,291,train-target mean comparator; no labels used as input
1,ridge_alpha_0p001,Ridge,0.001,,,,,False,1.4587033987045288,False,validation_screen_only,train,162,0.0002394751983148227,0.00020527141957503726,0.0002736789769423248,0.000781862548104039,0.000973450548854875,0.0004164233550797274,5.7289997736612953e-05,7.181403077678916e-05,5.1256315207775725e-05,6.012011457232241e-05,0.999751095230652,0.9998750612060309,0.00025010511387354116,0.0,1.9378635215572808e-07,0.00028231428235299215,0.2839506172839506,291,
1,ridge_alpha_0p001,Ridge,0.001,,,,,False,1.4587033987045288,False,validation_screen_only,val,39,1.0409783205160728,0.8988335231939951,1.1831230930028818,3.7098282873630524,3.931450492869585,1.8654818206261365,0.3090500953869942,0.2332333295773237,0.2377382532144204,0.26000722870230675,0.624548975819239,0.7456832444353727,0.7193060611260066,0.0,0.0009070562197079058,2.238561766757691,0.9487179487179487,291,
2,ridge_alpha_0p01,Ridge,0.01,,,,,False,1.43096125125885,False,validation_screen_only,train,162,0.002380186682268776,0.002023913309748434,0.0027364600497588264,0.00750880550455164,0.009645578554934926,0.0041389304650142605,0.0005818340513441297,0.0007090344105237796,0.0005127835420914638,0.0006012173355963041,0.9982305173244619,0.999109756375712,0.0017832103566543126,0.0,1.9248346470622258e-06,0.0028031372894313823,0.2777777777777778,291,
2,ridge_alpha_0p01,Ridge,0.01,,,,,False,1.43096125125885,False,validation_screen_only,val,39,1.0357206051166241,0.8973239921988585,1.1741172193716733,3.6115267051336093,4.018755415311227,1.8531027398048303,0.30784491086617494,0.22831070575958642,0.23777389832032034,0.257976504186025,0.6238351240031151,0.744956519621634,0.7224060385113592,0.0,0.0009011755974848385,2.228508177429914,0.9487179487179487,291,
3,ridge_alpha_0p1,Ridge,0.1,,,,,False,1.3658627271652222,False,validation_screen_only,train,162,0.02061495460127193,0.017392704396991542,0.023837204995984785,0.06474233749839994,0.08222751919594076,0.03574074352918952,0.005112035774890287,0.0061100143709300475,0.004488651031329308,0.00523690038190344,0.9868801018273533,0.9933449849345782,0.013150134186953473,0.0,1.667953256243335e-05,0.02407805126782293,0.2716049382716049,291,
3,ridge_alpha_0p1,Ridge,0.1,,,,,False,1.3658627271652222,False,validation_screen_only,val,39,1.028959239140535,0.8687087454570409,1.1892097156781416,3.4147505966516642,3.999915193288754,1.7769526487741716,0.31146758183454853,0.23131170028295273,0.24106343740072006,0.2612809081299183,0.6280795964012696,0.750257468175623,0.6886216981847176,0.0,0.0008718031059311798,2.0303238524871747,0.9230769230769231,291,
4,ridge_alpha_1,Ridge,1,,,,,False,1.1714837551116943,False,validation_screen_only,train,162,0.0992576400174495,0.08235547261853,0.11615980655115879,0.31217906306739207,0.3796693961377497,0.1711409089822368,0.025707628623938855,0.028387345649577952,0.022431814376218818,0.025508929522604577,0.9470078930397915,0.9722627166068537,0.05584689924134319,0.0,8.102429006488998e-05,0.11359762061330876,0.21604938271604937,291,
4,ridge_alpha_1,Ridge,1,,,,,False,1.1714837551116943,False,validation_screen_only,val,39,0.9976779982829705,0.7722395524764673,1.2231164295703938,2.815098688006401,3.655809741371717,1.5998690294531674,0.3113907224092728,0.24464058723205176,0.24968658960782564,0.26857263317857033,0.6490152453119195,0.7715143674362032,0.5805008604952605,0.0,0.000786723206823435,1.5575141471529481,0.8717948717948718,291,
5,ridge_alpha_10,Ridge,10,,,,,False,0.9201467633247375,False,validation_screen_only,train,162,0.23923822519955812,0.19367227827509245,0.2848041704683392,0.7965553965833452,0.8885073788280105,0.3885842745916711,0.0651596917046441,0.0665781784940649,0.05587137738863627,0.06253641564686449,0.8812971706016967,0.9348797933507996,0.13282409690136743,0.0,0.0001839715451291183,0.26629559430551464,0.1728395061728395,291,
5,ridge_alpha_10,Ridge,10,,,,,False,0.9201467633247375,False,validation_screen_only,val,39,0.8557985488038796,0.6221520256919738,1.0894450658024886,2.167872359737372,2.9353321951169233,1.3169427265723546,0.2712955459570273,0.2312528873101259,0.2156223257382711,0.23939025464157263,0.7121065854502439,0.8177609414470758,0.4521921987619764,0.0,0.0006425196473243816,1.1008498397073703,0.46153846153846156,291,
6,ridge_alpha_100,Ridge,100,,,,,False,0.7572716474533081,False,validation_screen_only,train,162,0.4057051165052402,0.3220351406913481,0.4893750944347293,1.4056914044475113,1.4964719755965987,0.6196730770343156,0.11406281516875749,0.11419503041255621,0.09434902999136183,0.10753562528479063,0.8136912941902187,0.8925277563922944,0.2244303598960285,0.0,0.0002926604705480938,0.45333380368876763,0.09876543209876543,291,
6,ridge_alpha_100,Ridge,100,,,,,False,0.7572716474533081,False,validation_screen_only,val,39,0.7454382521219742,0.5150673930079509,0.9758091005377281,1.9582203531112425,2.297658272469655,1.0950374274681776,0.22948680321375528,0.22158738130178207,0.19187749654818803,0.21431722640036008,0.7485204357776023,0.8453192137485295,0.36298851137907956,0.0,0.0005351956117523607,0.8239295541616554,0.23076923076923078,291,
7,ridge_alpha_1000,Ridge,1000,,,,,False,0.7236589193344116,False,validation_screen_only,train,162,0.5672476323850361,0.43512762450601583,0.6993676385393849,1.9115778099239609,2.099883249052513,0.8078232880762238,0.16038963456212738,0.1642976576163445,0.13613114643979957,0.15360614543573725,0.756026522602301,0.8540053627380714,0.32060953033301764,0.0,0.0003801514044931133,0.6392419901887547,0.024691358024691357,291,
7,ridge_alpha_1000,Ridge,1000,,,,,False,0.7236589193344116,False,validation_screen_only,val,39,0.7229382315507302,0.4871808301943999,0.9586956439874111,2.0256858280836005,2.048433518849122,1.0354666015467582,0.22486233252745408,0.21460551634812966,0.19184191563190559,0.21043658829652345,0.7471662641213245,0.8449220944775551,0.3743385783047125,0.0,0.0005014990745574976,0.8192820521764018,0.05128205128205128,291,
8,lssvm_rbf_alpha_0p001_gamma_0p00171821,LS-SVM-like-RBF,0.001,0.00171821306,,,,False,0.7277262210845947,False,validation_screen_only,train,162,0.0025227185046619357,0.0019382238089837088,0.0031072132081550797,0.008596728245417276,0.008966920345469757,0.003709604411765381,0.0007306219618997456,0.0007143521014555001,0.0006031537497485126,0.0006827092657872134,0.9980723600145555,0.9990302140785149,0.0019459067398775907,0.0,1.737455633281045e-06,0.0025084000829587254,0.024691358024691357,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
8,lssvm_rbf_alpha_0p001_gamma_0p00171821,LS-SVM-like-RBF,0.001,0.00171821306,,,,False,0.7277262210845947,False,validation_screen_only,val,39,0.7206663852318739,0.5273142366741712,0.9140185456818495,2.276515829257476,2.439246986156855,1.0246707478967996,0.2209905676352672,0.2045365006495745,0.1771736190869258,0.20090022859856105,0.7265966050349437,0.8298278477488201,0.384656637498684,0.0,0.0005086798061174938,0.8546337851653322,0.10256410256410256,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
9,lssvm_rbf_alpha_0p001_gamma_0p00343643,LS-SVM-like-RBF,0.001,0.00343642612,,,,False,0.7160539627075195,False,validation_screen_only,train,162,0.0011547618891154905,0.0008928451308388447,0.0014166786384094724,0.004036869439813826,0.004071681932718666,0.0017099607057501505,0.00032752862683048953,0.0003337845390225634,0.00027256504988964694,0.00031129273840498946,0.9990275901840309,0.9995112834146914,0.000981242465354872,0.0,7.98486065942025e-07,0.0011456654324683102,0.006172839506172839,291,closed-form kernel ridge used as deterministic LS-SVM-like RBF
