group_field,group_value,split,sample_count,model_pass_rate,rbc_representable_rate,baseline_profile_depth_rmse_mean_m,baseline_profile_depth_rmse_p95_m,baseline_Er_like_mean,baseline_projected_mask_Dice_mean,baseline_projected_mask_IoU_mean,baseline_area_error_mean,total_normalized_MAE_vs_oracle_mean,L_mae_mm_vs_label_mean,W_mae_mm_vs_label_mean,D_mae_mm_vs_label_mean,component_recall_proxy_mean,merge_component_proxy_rate
shape_type,asymmetric_corrosion,all,16,0.25,1.0,0.00047975019436148495,0.0008032990097338218,3.086084566252422,0.5591292713575559,0.4210122662136537,2.1410791404731793,10.111354351043701,10.21478918408975,5.123935136105866,1.494485573656857,1.0,0.0
shape_type,elongated_crack_like_surface_defect,all,16,0.0,1.0,0.0004978291595028021,0.0006695660832909994,1.9071212558649484,0.4720649636862832,0.31034970697732434,1.8475272776662632,9.871963858604431,3.790104827657342,8.05229083178565,1.4336063622497022,1.0,0.0
shape_type,flat_bottom_pit,all,16,0.3125,1.0,0.00040448075825141573,0.0007413983324084891,1.5523397233284277,0.571939140615269,0.4235342179058014,1.8438166574427548,9.957199215888977,10.605535643175244,4.110523121412844,1.5393932740436866,1.0,0.0
shape_type,irregular_corrosion_non_rbc,all,16,0.25,1.0,0.0004553191161735761,0.000640555094549803,2.0653463969210524,0.5978387932465905,0.44488014257034547,1.582393925560754,10.046882033348083,9.343099013343455,4.5061898710951205,1.541671209782362,1.0,0.0
shape_type,multi_pit_two_component_surface_defect,all,16,0.0,0.0,0.0007183633569005014,0.0009936754687993208,2.7936654989702503,0.33422720299978764,0.2024194458689453,3.173946032875568,7.6038611233234406,16.264784576743843,7.699408774450422,1.8124570092651993,0.5,1.0
shape_type,rbc_like_smooth_pit,all,24,0.125,1.0,0.0005011810231545006,0.000893322544232241,3.6380501855799143,0.49355620883261464,0.3467146514673433,2.591852149512013,1.3323150252302487,11.17712513419489,5.9903280975297095,1.3517697831926245,1.0,0.0
shape_type,sharp_wall_boxy_corrosion,all,16,0.375,1.0,0.000370406391981249,0.00048719754323535007,1.1905161597133722,0.6314647302901455,0.4767242501148736,1.3500198736151274,9.89064770936966,9.002144150063396,5.478919974807651,1.3582149671157822,1.0,0.0
shape_type,asymmetric_corrosion,train,10,0.3,1.0,0.0005316684107885615,0.000814029518688871,3.982913852971291,0.5312167786017701,0.39477779532094753,2.4134883028292355,10.151085472106933,10.842067518383264,5.337931797355415,1.8402984738722445,1.0,0.0
shape_type,elongated_crack_like_surface_defect,train,10,0.0,1.0,0.0005328172589645334,0.0006856009300150016,2.361644727817873,0.461317858908716,0.30148156289791184,2.0524222926017117,9.929132270812989,4.0779197987914095,8.21617000975609,1.7425990855693818,1.0,0.0
shape_type,flat_bottom_pit,train,10,0.2,1.0,0.00044596462818009673,0.0007723694503528192,2.0019048484689557,0.5355985096836273,0.385446872812576,2.0768490722467927,10.0102219581604,11.21181005090475,4.454957238018514,1.7753740085661414,1.0,0.0
shape_type,irregular_corrosion_non_rbc,train,9,0.1111111111111111,1.0,0.00044789125625710913,0.0006187820674211689,2.1576874491579443,0.5723696635739375,0.41458193371385565,1.6884923997446788,10.081487337748209,9.557902304000326,4.855311217937204,1.527046917254726,1.0,0.0
shape_type,multi_pit_two_component_surface_defect,train,9,0.0,0.0,0.000727914231883712,0.0009699724536686989,3.153392045745844,0.3319858334253243,0.2008979210715428,3.5483272018546668,8.321750031577217,16.821502613690164,8.037599765261014,1.9487842955109147,0.5,1.0
shape_type,rbc_like_smooth_pit,train,14,0.21428571428571427,1.0,0.0005149289441096854,0.0008877547466151303,3.9988039368859303,0.47745606990230954,0.3395047510317773,2.894114096016801,1.641312484230314,11.419065463755812,6.186117740188327,1.4474676757518736,1.0,0.0
shape_type,sharp_wall_boxy_corrosion,train,10,0.3,1.0,0.0003749155439019522,0.0005150898339793159,1.4273542889281443,0.5947786975606808,0.4355380906468581,1.5888042608965136,9.955681705474854,9.802687477171423,5.980277215987445,1.5211914444714785,1.0,0.0
