sample_id,split,shape_type,topology_type,representation_target,oracle_profile_depth_rmse_m,oracle_projected_mask_Dice,oracle_Er_like_error,oracle_area_error,true_component_count,oracle_component_count,failure_reason
surf_shape_104_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,0.0005753974697702433,0.0903387703889586,0.9996060633109988,0.1196808510638298,2,3,profile_rmse_above_threshold|mask_dice_below_threshold
surf_shape_096_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,0.0004792836918320716,0.5603960396039604,0.8199640989224639,0.6233766233766234,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge
surf_shape_095_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,0.00043549148762688373,0.515802781289507,0.8509554522494042,0.6904761904761905,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge
surf_shape_103_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,0.00041928403654837383,0.5581395348837209,0.8153607082107632,0.7142857142857143,2,1,profile_rmse_above_threshold|mask_dice_below_threshold|component_merge
surf_shape_094_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,0.00031453355238874226,0.1552346570397112,0.9980607185658942,0.638095238095238,2,1,mask_dice_below_threshold|component_merge
surf_shape_102_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,0.0002935543287024792,0.3981042654028436,0.9406530667486079,0.06862745098039216,2,2,mask_dice_below_threshold
surf_shape_101_multi_pit_two_component_surface_defect,test,multi_pit_two_component_surface_defect,multi_component,component_set,0.0002882259746540032,0.0,1.074232635334361,0.2236842105263158,2,2,mask_dice_below_threshold
surf_shape_100_multi_pit_two_component_surface_defect,val,multi_pit_two_component_surface_defect,multi_component,component_set,0.00027740732194846644,0.3235294117647059,0.9540657385770319,0.30809399477806787,2,1,mask_dice_below_threshold|component_merge
surf_shape_093_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,0.0002611208882898488,0.22950819672131148,0.9821862564979033,0.04697986577181208,2,1,mask_dice_below_threshold|component_merge
surf_shape_091_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,0.00024637508870478073,0.31314623338257014,0.9631927933869459,0.29491525423728815,2,1,mask_dice_below_threshold|component_merge
surf_shape_092_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,0.00021429814727781372,0.6780341023069207,0.7387414975387198,0.6236842105263158,2,1,mask_dice_below_threshold|component_merge
surf_shape_099_multi_pit_two_component_surface_defect,val,multi_pit_two_component_surface_defect,multi_component,component_set,0.00018942162897375074,0.655,0.744557236508754,0.7210884353741497,2,1,mask_dice_below_threshold|component_merge
surf_shape_090_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,0.00014320019851413486,0.13615023474178403,0.9937747404649792,0.009433962264150943,2,1,mask_dice_below_threshold|component_merge
surf_shape_098_multi_pit_two_component_surface_defect,val,multi_pit_two_component_surface_defect,multi_component,component_set,0.00013671729638493877,0.29411764705882354,0.964824097708735,0.3106796116504854,2,1,mask_dice_below_threshold|component_merge
surf_shape_097_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,0.00012117039020757238,0.04,1.000160896572703,0.0,2,1,mask_dice_below_threshold|component_merge
surf_shape_089_multi_pit_two_component_surface_defect,train,multi_pit_two_component_surface_defect,multi_component,component_set,0.00010473781612652095,0.5411140583554377,0.8587987604065362,0.48026315789473684,2,1,mask_dice_below_threshold|component_merge
