source_pack,sample_id,split,curvature_template,depth_bin,size_bin,aspect_bin,schema_pass,delta_max_abs_error,defect_signal_norm
v2_120_source,rbc_pilot_001_shallow_small_compact_sharp,val,sharp,shallow,small_compact,compact,True,0.0,0.021304830413176254
v2_120_source,rbc_pilot_002_shallow_medium_balanced_sharp,test,sharp,shallow,medium_balanced,balanced,True,0.0,0.022820197825131765
v2_120_source,rbc_pilot_003_shallow_large_wide_sharp,train,sharp,shallow,large_wide,wide,True,0.0,0.02253004858033001
v2_120_source,rbc_pilot_004_shallow_elongated_sharp,train,sharp,shallow,elongated,narrow,True,0.0,0.020968430744842295
v2_120_source,rbc_pilot_005_medium_small_compact_sharp,val,sharp,medium,small_compact,compact,True,0.0,0.019825830879812805
v2_120_source,rbc_pilot_006_medium_medium_balanced_sharp,train,sharp,medium,medium_balanced,balanced,True,0.0,0.021132099070066714
v2_120_source,rbc_pilot_007_medium_large_wide_sharp,train,sharp,medium,large_wide,wide,True,0.0,0.02166543074796719
v2_120_source,rbc_pilot_008_medium_elongated_sharp,train,sharp,medium,elongated,narrow,True,0.0,0.020792765571580874
v2_120_source,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,small_compact,compact,True,0.0,0.019251727222087463
v2_120_source,rbc_pilot_010_deep_medium_balanced_sharp,train,sharp,deep,medium_balanced,balanced,True,0.0,0.01972433390733259
v2_120_source,rbc_pilot_011_deep_large_wide_sharp,train,sharp,deep,large_wide,wide,True,0.0,0.02089288016581688
v2_120_source,rbc_pilot_013_shallow_small_compact_round,train,round,shallow,small_compact,compact,True,0.0,0.020069777747496145
v2_120_source,rbc_pilot_014_shallow_medium_balanced_round,train,round,shallow,medium_balanced,balanced,True,0.0,0.02275026964899241
v2_120_source,rbc_pilot_015_shallow_large_wide_round,test,round,shallow,large_wide,wide,True,0.0,0.022314978847840984
v2_120_source,rbc_pilot_016_shallow_elongated_round,train,round,shallow,elongated,narrow,True,0.0,0.021266054275028028
v2_120_source,rbc_pilot_017_medium_small_compact_round,train,round,medium,small_compact,compact,True,0.0,0.01998652479010093
v2_120_source,rbc_pilot_018_medium_medium_balanced_round,val,round,medium,medium_balanced,balanced,True,0.0,0.021607816393026044
v2_120_source,rbc_pilot_019_medium_large_wide_round,test,round,medium,large_wide,wide,True,0.0,0.022102410885639134
v2_120_source,rbc_pilot_020_medium_elongated_round,train,round,medium,elongated,narrow,True,0.0,0.019763732627182506
v2_120_source,rbc_pilot_021_deep_small_compact_round,train,round,deep,small_compact,compact,True,0.0,0.018441001001181383
v2_120_source,rbc_pilot_022_deep_medium_balanced_round,val,round,deep,medium_balanced,balanced,True,0.0,0.019269286855348497
v2_120_source,rbc_pilot_023_deep_large_wide_round,train,round,deep,large_wide,wide,True,0.0,0.021167338128955205
v2_120_source,rbc_pilot_025_shallow_small_compact_boxy,train,boxy,shallow,small_compact,compact,True,0.0,0.021485002661349693
v2_120_source,rbc_pilot_026_shallow_medium_balanced_boxy,train,boxy,shallow,medium_balanced,balanced,True,0.0,0.022143548938801765
v2_120_source,rbc_pilot_027_shallow_large_wide_boxy,train,boxy,shallow,large_wide,wide,True,0.0,0.022437937469058887
v2_120_source,rbc_pilot_028_shallow_elongated_boxy,val,boxy,shallow,elongated,narrow,True,0.0,0.020817555605875403
v2_120_source,rbc_pilot_029_medium_small_compact_boxy,train,boxy,medium,small_compact,compact,True,0.0,0.021204527160610276
v2_120_source,rbc_pilot_030_medium_medium_balanced_boxy,train,boxy,medium,medium_balanced,balanced,True,0.0,0.021456533390632557
v2_120_source,rbc_pilot_031_medium_large_wide_boxy,train,boxy,medium,large_wide,wide,True,0.0,0.022006041681119477
v2_120_source,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,elongated,narrow,True,0.0,0.02021757795124475
v2_120_source,rbc_pilot_037_shallow_small_compact_LD_dominant,val,LD_dominant,shallow,small_compact,compact,True,0.0,0.02064270123651393
v2_120_source,rbc_pilot_038_shallow_medium_balanced_LD_dominant,test,LD_dominant,shallow,medium_balanced,balanced,True,0.0,0.021435889271230066
v2_120_source,rbc_pilot_039_shallow_large_wide_LD_dominant,train,LD_dominant,shallow,large_wide,wide,True,0.0,0.020945354482477772
v2_120_source,rbc_pilot_040_shallow_elongated_LD_dominant,train,LD_dominant,shallow,elongated,narrow,True,0.0,0.021452907997873655
v2_120_source,rbc_pilot_041_medium_small_compact_LD_dominant,val,LD_dominant,medium,small_compact,compact,True,0.0,0.019833305750625856
v2_120_source,rbc_pilot_042_medium_medium_balanced_LD_dominant,train,LD_dominant,medium,medium_balanced,balanced,True,0.0,0.020101536642164634
v2_120_source,rbc_pilot_043_medium_large_wide_LD_dominant,train,LD_dominant,medium,large_wide,wide,True,0.0,0.01973584028555762
v2_120_source,rbc_pilot_044_medium_elongated_LD_dominant,train,LD_dominant,medium,elongated,narrow,True,0.0,0.018696232520855983
v2_120_source,rbc_pilot_045_deep_small_compact_LD_dominant,test,LD_dominant,deep,small_compact,compact,True,0.0,0.017666380688945826
v2_120_source,rbc_pilot_047_deep_large_wide_LD_dominant,train,LD_dominant,deep,large_wide,wide,True,0.0,0.019608800881695233
v2_120_source,rbc_pilot_048_deep_elongated_LD_dominant,train,LD_dominant,deep,elongated,narrow,True,0.0,0.0181009348459472
v2_120_source,rbc_pilot_049_shallow_small_compact_WD_dominant,train,WD_dominant,shallow,small_compact,compact,True,0.0,0.021175947099598143
v2_120_source,rbc_pilot_050_shallow_medium_balanced_WD_dominant,train,WD_dominant,shallow,medium_balanced,balanced,True,0.0,0.020187230159904864
v2_120_source,rbc_pilot_051_shallow_large_wide_WD_dominant,test,WD_dominant,shallow,large_wide,wide,True,0.0,0.020787206411562578
v2_120_source,rbc_pilot_052_shallow_elongated_WD_dominant,train,WD_dominant,shallow,elongated,narrow,True,0.0,0.02113888489421432
v2_120_source,rbc_pilot_053_medium_small_compact_WD_dominant,train,WD_dominant,medium,small_compact,compact,True,0.0,0.01953675744058107
v2_120_source,rbc_pilot_054_medium_medium_balanced_WD_dominant,val,WD_dominant,medium,medium_balanced,balanced,True,0.0,0.020282851231072367
