sample_id,mesh_validation_pass,mesh_units,mesh_source,surface_continuity_assumption,top_cap_plane,depth_sign_convention,profile_pose_to_comsol_json,steel_surface_z_m,steel_z_min_m,steel_z_max_m,defect_void_embedded_in_steel,defect_intersects_top_surface,bbox_inside_steel,is_watertight,edge_incidence_all_two,nonmanifold_edges_count,zero_area_triangles_count,volume_m3,signed_volume_m3,volume_positive,bounds_min_json,bounds_max_json,max_depth_m,target_D_m,max_depth_abs_error_m,depth_rmse_vs_target,projected_footprint_area_m2,vertex_count,face_count,top_cap_face_count,bottom_face_count,side_face_count,top_normals_mean_z,bottom_normals_mean_z,inverted_normals_flag,export_path,export_format,exact_piao_rbc,rbc_style_approximation,notes,dataset_id,split,depth_bin,size_bin,aspect_bin,curvature_template,geometry_method
rbc_v3topup_001_train_WD_dominant_medium_narrow,True,m,triangulated_depth_grid,piecewise-linear continuous depth surface from RBC-style depth grid; not stepped_layers,z=0,bottom surface z=-depth,"{""angle_rad"":0.0,""center_x_m"":0.0,""center_y_m"":0.0,""comsol_coordinates"":""x/y on steel surface plane; top cap z=0; bottom surface z=-depth"",""mesh_units"":""m"",""steel_surface_z_m"":0.0}",0.0,-0.01,0.0,True,True,True,True,True,0,0,2.2268144747761024e-07,2.2268144747761024e-07,True,"[-0.010374,-0.0035273000000000006,-0.00343]","[0.010374,0.0035273000000000006,0.0]",0.00343,0.00343,0.0,3.414830922222948e-05,0.0001271841019872517,654,1304,568,568,168,1.0,-0.7962508098188249,False,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\generated\temp_true_3d_rbc_dataset_240_topup_meshes\rbc_v3topup_001_train_WD_dominant_medium_narrow.stl,ascii_stl,False,True,active_cells=284; temp STL is generated artifact and must not be committed,comsol_true_3d_rbc_imported_watertight_pilot_v3_topup_20_76,train,medium,elongated,narrow,WD_dominant,imported_watertight_mesh_solid
rbc_v3topup_002_train_WD_dominant_deep_narrow,True,m,triangulated_depth_grid,piecewise-linear continuous depth surface from RBC-style depth grid; not stepped_layers,z=0,bottom surface z=-depth,"{""angle_rad"":0.0,""center_x_m"":0.0,""center_y_m"":0.0,""comsol_coordinates"":""x/y on steel surface plane; top cap z=0; bottom surface z=-depth"",""mesh_units"":""m"",""steel_surface_z_m"":0.0}",0.0,-0.01,0.0,True,True,True,True,True,0,0,5.731369168215963e-07,5.731369168215963e-07,True,"[-0.0129675,-0.004409125,-0.00565]","[0.0129675,0.004409125,0.0]",0.00565,0.00565,0.0,5.625014386936408e-05,0.00019757530308711426,654,1304,568,568,168,1.0,-0.7231591156767253,False,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\generated\temp_true_3d_rbc_dataset_240_topup_meshes\rbc_v3topup_002_train_WD_dominant_deep_narrow.stl,ascii_stl,False,True,active_cells=284; temp STL is generated artifact and must not be committed,comsol_true_3d_rbc_imported_watertight_pilot_v3_topup_20_76,train,deep,elongated,narrow,WD_dominant,imported_watertight_mesh_solid
rbc_v3topup_003_train_WD_dominant_medium_narrow,True,m,triangulated_depth_grid,piecewise-linear continuous depth surface from RBC-style depth grid; not stepped_layers,z=0,bottom surface z=-depth,"{""angle_rad"":0.0,""center_x_m"":0.0,""center_y_m"":0.0,""comsol_coordinates"":""x/y on steel surface plane; top cap z=0; bottom surface z=-depth"",""mesh_units"":""m"",""steel_surface_z_m"":0.0}",0.0,-0.01,0.0,True,True,True,True,True,0,0,2.2684780125000044e-07,2.2684780125000044e-07,True,"[-0.0105,-0.0035,-0.003465]","[0.0105,0.0035,0.0]",0.003465,0.003465,0.0,3.456097077151805e-05,0.00012638420197475325,654,1304,568,568,168,1.0,-0.7927876393749964,False,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\generated\temp_true_3d_rbc_dataset_240_topup_meshes\rbc_v3topup_003_train_WD_dominant_medium_narrow.stl,ascii_stl,False,True,active_cells=284; temp STL is generated artifact and must not be committed,comsol_true_3d_rbc_imported_watertight_pilot_v3_topup_20_76,train,medium,elongated,narrow,WD_dominant,imported_watertight_mesh_solid
rbc_v3topup_004_train_WD_dominant_deep_compact,True,m,triangulated_depth_grid,piecewise-linear continuous depth surface from RBC-style depth grid; not stepped_layers,z=0,bottom surface z=-depth,"{""angle_rad"":0.0,""center_x_m"":0.0,""center_y_m"":0.0,""comsol_coordinates"":""x/y on steel surface plane; top cap z=0; bottom surface z=-depth"",""mesh_units"":""m"",""steel_surface_z_m"":0.0}",0.0,-0.01,0.0,True,True,True,True,True,0,0,1.670110844258061e-07,1.670110844258061e-07,True,"[-0.0060515000000000005,-0.0035273000000000006,-0.00441]","[0.0060515000000000005,0.0035273000000000006,0.0]",0.00441,0.00441,0.0,4.390496678555137e-05,7.279090113735789e-05,654,1304,568,568,168,1.0,-0.6842548367084572,False,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\generated\temp_true_3d_rbc_dataset_240_topup_meshes\rbc_v3topup_004_train_WD_dominant_deep_compact.stl,ascii_stl,False,True,active_cells=284; temp STL is generated artifact and must not be committed,comsol_true_3d_rbc_imported_watertight_pilot_v3_topup_20_76,train,deep,small_compact,compact,WD_dominant,imported_watertight_mesh_solid
rbc_v3topup_005_train_WD_dominant_deep_narrow,True,m,triangulated_depth_grid,piecewise-linear continuous depth surface from RBC-style depth grid; not stepped_layers,z=0,bottom surface z=-depth,"{""angle_rad"":0.0,""center_x_m"":0.0,""center_y_m"":0.0,""comsol_coordinates"":""x/y on steel surface plane; top cap z=0; bottom surface z=-depth"",""mesh_units"":""m"",""steel_surface_z_m"":0.0}",0.0,-0.01,0.0,True,True,True,True,True,0,0,5.779626814453138e-07,5.779626814453138e-07,True,"[-0.013125,-0.004375,-0.00565]","[0.013125,0.004375,0.0]",0.00565,0.00565,0.0,5.6354844373250935e-05,0.00019917510311211114,654,1304,568,568,168,1.0,-0.722214774947055,False,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\generated\temp_true_3d_rbc_dataset_240_topup_meshes\rbc_v3topup_005_train_WD_dominant_deep_narrow.stl,ascii_stl,False,True,active_cells=284; temp STL is generated artifact and must not be committed,comsol_true_3d_rbc_imported_watertight_pilot_v3_topup_20_76,train,deep,elongated,narrow,WD_dominant,imported_watertight_mesh_solid
rbc_v3topup_006_train_WD_dominant_medium_narrow,True,m,triangulated_depth_grid,piecewise-linear continuous depth surface from RBC-style depth grid; not stepped_layers,z=0,bottom surface z=-depth,"{""angle_rad"":0.0,""center_x_m"":0.0,""center_y_m"":0.0,""comsol_coordinates"":""x/y on steel surface plane; top cap z=0; bottom surface z=-depth"",""mesh_units"":""m"",""steel_surface_z_m"":0.0}",0.0,-0.01,0.0,True,True,True,True,True,0,0,2.309936412077085e-07,2.309936412077085e-07,True,"[-0.010626,-0.0034726999999999996,-0.0035]","[0.010626,0.0034726999999999996,0.0]",0.0035,0.0035,0.0,3.477694458480265e-05,0.00012558430196225482,654,1304,568,568,168,1.0,-0.7892879926620663,False,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\generated\temp_true_3d_rbc_dataset_240_topup_meshes\rbc_v3topup_006_train_WD_dominant_medium_narrow.stl,ascii_stl,False,True,active_cells=284; temp STL is generated artifact and must not be committed,comsol_true_3d_rbc_imported_watertight_pilot_v3_topup_20_76,train,medium,elongated,narrow,WD_dominant,imported_watertight_mesh_solid
rbc_v3topup_007_train_WD_dominant_deep_compact,True,m,triangulated_depth_grid,piecewise-linear continuous depth surface from RBC-style depth grid; not stepped_layers,z=0,bottom surface z=-depth,"{""angle_rad"":0.0,""center_x_m"":0.0,""center_y_m"":0.0,""comsol_coordinates"":""x/y on steel surface plane; top cap z=0; bottom surface z=-depth"",""mesh_units"":""m"",""steel_surface_z_m"":0.0}",0.0,-0.01,0.0,True,True,True,True,True,0,0,1.701358463437497e-07,1.701358463437497e-07,True,"[-0.006125,-0.0035,-0.004455]","[0.006125,0.0035,0.0]",0.004455,0.004455,0.0,4.443554084137431e-05,7.279090113735789e-05,654,1304,568,568,168,1.0,-0.6815849082906864,False,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\generated\temp_true_3d_rbc_dataset_240_topup_meshes\rbc_v3topup_007_train_WD_dominant_deep_compact.stl,ascii_stl,False,True,active_cells=284; temp STL is generated artifact and must not be committed,comsol_true_3d_rbc_imported_watertight_pilot_v3_topup_20_76,train,deep,small_compact,compact,WD_dominant,imported_watertight_mesh_solid
rbc_v3topup_008_train_WD_dominant_medium_balanced,True,m,triangulated_depth_grid,piecewise-linear continuous depth surface from RBC-style depth grid; not stepped_layers,z=0,bottom surface z=-depth,"{""angle_rad"":0.0,""center_x_m"":0.0,""center_y_m"":0.0,""comsol_coordinates"":""x/y on steel surface plane; top cap z=0; bottom surface z=-depth"",""mesh_units"":""m"",""steel_surface_z_m"":0.0}",0.0,-0.01,0.0,True,True,True,True,True,0,0,1.7188224098591866e-07,1.7188224098591866e-07,True,"[-0.00821275,-0.0046295812500000005,-0.002548]","[0.00821275,0.0046295812500000005,0.0]",0.002548,0.002548,0.0,2.536734807053151e-05,0.00013118360204974387,654,1304,568,568,168,1.0,-0.8897489917288816,False,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\generated\temp_true_3d_rbc_dataset_240_topup_meshes\rbc_v3topup_008_train_WD_dominant_medium_balanced.stl,ascii_stl,False,True,active_cells=284; temp STL is generated artifact and must not be committed,comsol_true_3d_rbc_imported_watertight_pilot_v3_topup_20_76,train,medium,medium_balanced,balanced,WD_dominant,imported_watertight_mesh_solid
rbc_v3topup_009_train_WD_dominant_deep_wide,True,m,triangulated_depth_grid,piecewise-linear continuous depth surface from RBC-style depth grid; not stepped_layers,z=0,bottom surface z=-depth,"{""angle_rad"":0.0,""center_x_m"":0.0,""center_y_m"":0.0,""comsol_coordinates"":""x/y on steel surface plane; top cap z=0; bottom surface z=-depth"",""mesh_units"":""m"",""steel_surface_z_m"":0.0}",0.0,-0.01,0.0,True,True,True,True,True,0,0,1.085061475448438e-06,1.085061475448438e-06,True,"[-0.0129675,-0.00875,-0.00539]","[0.0129675,0.00875,0.0]",0.00539,0.00539,0.0,5.366163436476053e-05,0.0003903512060992379,654,1304,568,568,168,1.0,-0.8567766168440193,False,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\generated\temp_true_3d_rbc_dataset_240_topup_meshes\rbc_v3topup_009_train_WD_dominant_deep_wide.stl,ascii_stl,False,True,active_cells=284; temp STL is generated artifact and must not be committed,comsol_true_3d_rbc_imported_watertight_pilot_v3_topup_20_76,train,deep,large_wide,wide,WD_dominant,imported_watertight_mesh_solid
rbc_v3topup_010_train_WD_dominant_shallow_narrow,True,m,triangulated_depth_grid,piecewise-linear continuous depth surface from RBC-style depth grid; not stepped_layers,z=0,bottom surface z=-depth,"{""angle_rad"":0.0,""center_x_m"":0.0,""center_y_m"":0.0,""comsol_coordinates"":""x/y on steel surface plane; top cap z=0; bottom surface z=-depth"",""mesh_units"":""m"",""steel_surface_z_m"":0.0}",0.0,-0.01,0.0,True,True,True,True,True,0,0,6.441856151372524e-08,6.441856151372524e-08,True,"[-0.007780499999999999,-0.0026454750000000004,-0.001764]","[0.007780499999999999,0.0026454750000000004,0.0]",0.001764,0.001764,0.0,1.756196045112419e-05,6.959130108736414e-05,654,1304,568,568,168,1.0,-0.876464953642003,False,C:\Users\19166\Desktop\PINN_project\data\comsol_mfl\generated\temp_true_3d_rbc_dataset_240_topup_meshes\rbc_v3topup_010_train_WD_dominant_shallow_narrow.stl,ascii_stl,False,True,active_cells=284; temp STL is generated artifact and must not be committed,comsol_true_3d_rbc_imported_watertight_pilot_v3_topup_20_76,train,shallow,elongated,narrow,WD_dominant,imported_watertight_mesh_solid
