group_field,group_value,row_count,base_count,success_count,failure_count,complete_paired_base_count
split,test,32,8,32,0,8
split,train,128,32,128,0,32
split,val,32,8,32,0,8
curvature_template,LD_dominant,36,9,36,0,9
curvature_template,WD_dominant,36,9,36,0,9
curvature_template,boxy,40,10,40,0,10
curvature_template,round,40,10,40,0,10
curvature_template,sharp,40,10,40,0,10
depth_bin,deep,64,16,64,0,16
depth_bin,medium,64,16,64,0,16
depth_bin,shallow,64,16,64,0,16
aspect_bin,balanced,48,12,48,0,12
aspect_bin,compact,48,12,48,0,12
aspect_bin,narrow,48,12,48,0,12
aspect_bin,wide,48,12,48,0,12
sensor_z_m,0.006,48,48,48,0,
sensor_z_m,0.008,48,48,48,0,
sensor_z_m,0.01,48,48,48,0,
sensor_z_m,0.012,48,48,48,0,
