route_mode,split,liftoff_subset,sample_count,profile_depth_rmse_m,er_like_profile_error,normalized_param_mae,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary,wLD_abs_error,wWD_abs_error,wLW_abs_error,projected_mask_iou,projected_mask_dice,max_depth_error_m,volume_proxy_rel_error,route_used_accuracy,out_of_range_count,profile_rmse_delta_vs_force_baseline_all_test_pct,dice_delta_vs_force_baseline_all_test
auto,train,all,128,0.0003438118972525217,0.23601065957336687,0.5854921400314197,1.3077984247356653,1.76931521872757,0.695896595629165,0.17315864296688233,0.18587931198999286,0.16882084216922522,0.16477577481418848,0.8017210766270512,0.8831144783951339,0.0006958965986996191,0.3887241677532518,1.0,0,-53.47588104379399,0.15961173456119404
auto,train,nominal_0p008,32,0.00046434335854428355,0.30935573438182473,0.6857831114903092,1.5755489226430655,2.1108921375125647,0.9471729106735438,0.19371914688963443,0.2070190366357565,0.1878732554614544,0.1862651500850916,0.7619212145400788,0.8544802321194553,0.000947172909945948,0.5445856092372761,1.0,0,-37.165741435726254,0.13097748828551548
auto,train,non_nominal,96,0.0003036347434886011,0.2115623013038809,0.5520618162117898,1.218548258766532,1.6554562457992386,0.6121378239477053,0.1663051416592983,0.17883273710807165,0.16247003773848215,0.15761264972388744,0.8149876973227087,0.8926592271536933,0.0006121378282841761,0.3367703539252436,1.0,0,-58.91259424648323,0.16915648331975341
auto,val,all,32,0.00041877749072227743,0.32808652555104345,0.7077013328671455,1.944608529098332,1.6114713399438187,0.7486478695645928,0.2167640116531402,0.16802075132727623,0.2818330191075802,0.20043825916945934,0.7535553480587334,0.8499483453112888,0.000748647864384111,0.5642861791559189,1.0,0,-43.33164747863653,0.12644560147734896
auto,val,nominal_0p008,8,0.0005097355888210586,0.4016190767288208,0.6836729608476162,1.9183284640312195,1.449089104309678,1.0309421084821224,0.19252215698361397,0.15310583263635635,0.24894972145557404,0.17551090568304062,0.7816422193776145,0.8663993654898648,0.0010309420904377475,0.7608601356431106,1.0,0,-31.023331769393245,0.14289662165592498
auto,val,non_nominal,24,0.00038845812468935037,0.303575675158451,0.7157107902069887,1.9533685507873695,1.6655987518218656,0.6545497899254163,0.2248446298763156,0.1729923908909162,0.2927941183249156,0.2087473769982656,0.7441930576191064,0.84446467191843,0.0006545497890328988,0.4987615269935217,1.0,0,-47.43441938171763,0.12096192808449013
auto,test,all,32,0.0004111750102993028,0.46523175458423793,0.7846496980637312,1.9235364550258964,1.7797490926459432,0.8124893453205004,0.2470694670919329,0.30088491179049015,0.20561992190778255,0.23470357060432434,0.7411376469840916,0.8427727673032805,0.000812489350209944,0.6602553963618938,1.0,0,-44.360403918966796,0.11927002346934068
auto,test,nominal_0p008,8,0.0003330594072394888,0.31298541370779276,0.7203325554728508,1.8778077894821763,1.9728609323501587,0.6381535693071783,0.22658974677324295,0.2824019268155098,0.1906532645225525,0.20671404153108597,0.7387764381632839,0.8439570430594017,0.0006381535640684888,0.6588381767874536,1.0,0,-54.93089213689278,0.1204542992254618
auto,test,non_nominal,24,0.00043721354465257417,0.5159805348763863,0.8060887455940247,1.9387793435404699,1.7153784794112046,0.8706012706582745,0.2538960405314962,0.30704590678215027,0.21060880770285925,0.24403341362873712,0.7419247165910275,0.8423780087179069,0.0008706012789237624,0.6607278028867072,1.0,0,-40.836907846324806,0.11887526488396705
force_baseline,train,all,128,0.0006254091322261957,0.5381792347470764,0.8752874962519854,4.614186036982574,3.2663393799448386,1.2947454533714335,0.19768225043662824,0.21211101720109582,0.1935336901806295,0.18740204442292452,0.6270573851236825,0.7462953726884769,0.001294745457926183,1.993938519562405,1.0,0,-15.370558446328776,0.022792628854537034
