model,seed,selected_seed,split,param,sample_count,normalized_mae,physical_mae,physical_mae_mm,relative_mae,r2
conv1d_rbc_param_gate,42,False,train,L_m,36,0.518439531326294,0.0033135279081761837,3.313527822494507,0.1705673635005951,0.6099687749215217
conv1d_rbc_param_gate,42,False,train,W_m,36,0.46624672412872314,0.0021753842011094093,2.175384283065796,0.1959264576435089,0.6226664571147433
conv1d_rbc_param_gate,42,False,train,D_m,36,0.6424274444580078,0.0010214366484433413,1.0214366912841797,0.3736821711063385,0.37759319512659806
conv1d_rbc_param_gate,42,False,train,wLD,36,0.875384509563446,0.21051639318466187,,,0.06757540257842576
conv1d_rbc_param_gate,42,False,train,wWD,36,0.8385955095291138,0.18934495747089386,,,0.1309658936828113
conv1d_rbc_param_gate,42,False,train,wLW,36,0.8169560432434082,0.1703733652830124,,,0.05559523193168281
conv1d_rbc_param_gate,42,False,train,ALL,36,0.693008303642273,0.09612417966127396,,,
conv1d_rbc_param_gate,42,False,train,DIMENSION_MEAN,36,0.5423712134361267,0.002170116174966097,2.1701161861419678,,
conv1d_rbc_param_gate,42,False,train,CURVATURE_MEAN,36,0.8436453938484192,0.1900782436132431,,,
conv1d_rbc_param_gate,42,False,val,L_m,10,0.44882649183273315,0.0028686062432825565,2.8686063289642334,0.18180866539478302,0.7087842457793616
conv1d_rbc_param_gate,42,False,val,W_m,10,0.4275698661804199,0.0019949281122535467,1.9949281215667725,0.2128537893295288,0.6798118351676907
conv1d_rbc_param_gate,42,False,val,D_m,10,0.5964981317520142,0.0009484106558375061,0.9484106302261353,0.3576911687850952,0.4246322651265614
conv1d_rbc_param_gate,42,False,val,wLD,10,0.9227717518806458,0.22191229462623596,,,-0.06314442613452642
conv1d_rbc_param_gate,42,False,val,wWD,10,1.0283639430999756,0.23219247162342072,,,-0.13833407519565522
conv1d_rbc_param_gate,42,False,val,wLW,10,0.9094805717468262,0.18966904282569885,,,-0.1935108747233747
conv1d_rbc_param_gate,42,False,val,ALL,10,0.7222517728805542,0.10826428979635239,,,
conv1d_rbc_param_gate,42,False,val,DIMENSION_MEAN,10,0.4909648597240448,0.0019373151008039713,1.9373151063919067,,
conv1d_rbc_param_gate,42,False,val,CURVATURE_MEAN,10,0.953538715839386,0.21459124982357025,,,
conv1d_rbc_param_gate,42,False,test,L_m,10,0.4607831537723541,0.002945025684311986,2.945025682449341,0.1479925811290741,0.6365840927633551
conv1d_rbc_param_gate,42,False,test,W_m,10,0.5638246536254883,0.002630657283589244,2.630657196044922,0.22833743691444397,0.2915977274560154
conv1d_rbc_param_gate,42,False,test,D_m,10,0.740839421749115,0.0011779081542044878,1.177908182144165,0.4415082037448883,0.08915631709923755
conv1d_rbc_param_gate,42,False,test,wLD,10,0.8871414065361023,0.2133437693119049,,,0.03560274873084368
conv1d_rbc_param_gate,42,False,test,wWD,10,0.9900524020195007,0.22354216873645782,,,-0.13207554540668487
conv1d_rbc_param_gate,42,False,test,wLW,10,0.91754150390625,0.1913500875234604,,,-0.09792371041531878
conv1d_rbc_param_gate,42,False,test,ALL,10,0.7600303888320923,0.10583160072565079,,,
conv1d_rbc_param_gate,42,False,test,DIMENSION_MEAN,10,0.5884824991226196,0.0022511971183121204,2.251197099685669,,
conv1d_rbc_param_gate,42,False,test,CURVATURE_MEAN,10,0.931578516960144,0.20941199362277985,,,
conv1d_rbc_param_gate,123,False,train,L_m,36,0.5702518224716187,0.0036446782760322094,3.6446783542633057,0.19209419190883636,0.45373975808084666
conv1d_rbc_param_gate,123,False,train,W_m,36,0.5844893455505371,0.0027270736172795296,2.7270736694335938,0.271380215883255,0.4866453727845529
conv1d_rbc_param_gate,123,False,train,D_m,36,0.680846631526947,0.001082521746866405,1.0825217962265015,0.4209124445915222,0.26498065994205133
conv1d_rbc_param_gate,123,False,train,wLD,36,0.887973964214325,0.21354398131370544,,,0.016693119693648728
conv1d_rbc_param_gate,123,False,train,wWD,36,0.8874027729034424,0.2003650963306427,,,-0.02750823534225999
conv1d_rbc_param_gate,123,False,train,wLW,36,0.8434982895851135,0.1759086400270462,,,-0.0030522215555914833
conv1d_rbc_param_gate,123,False,train,ALL,36,0.7424105405807495,0.09954533725976944,,,
conv1d_rbc_param_gate,123,False,train,DIMENSION_MEAN,36,0.6118625998497009,0.0024847579188644886,2.484757900238037,,
conv1d_rbc_param_gate,123,False,train,CURVATURE_MEAN,36,0.8729584217071533,0.19660593569278717,,,
conv1d_rbc_param_gate,123,False,val,L_m,10,0.5509961843490601,0.003521608654409647,3.521608591079712,0.24369052052497864,0.4678412777825368
