sample_id,plan_split,inventory_status,classification,curvature_template,depth_bin,size_bin,aspect_bin,L_m,W_m,D_m,wLD,wWD,wLW,mesh_validation_pass,schema_pass,failure_reason,recommended_action
rbc_pilot_001_shallow_small_compact_sharp,val,pass,success,sharp,shallow,small_compact,compact,0.01,0.006,0.001,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_002_shallow_medium_balanced_sharp,test,pass,success,sharp,shallow,medium_balanced,balanced,0.016,0.009,0.0013,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_003_shallow_large_wide_sharp,train,pass,success,sharp,shallow,large_wide,wide,0.024,0.015,0.0016,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_004_shallow_elongated_sharp,train,pass,success,sharp,shallow,elongated,narrow,0.018,0.006,0.0018,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_005_medium_small_compact_sharp,val,pass,success,sharp,medium,small_compact,compact,0.012,0.007,0.0022,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_006_medium_medium_balanced_sharp,train,pass,success,sharp,medium,medium_balanced,balanced,0.019,0.0105,0.0026,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_007_medium_large_wide_sharp,train,pass,success,sharp,medium,large_wide,wide,0.027,0.0175,0.0031,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_008_medium_elongated_sharp,train,pass,success,sharp,medium,elongated,narrow,0.024,0.008,0.0035,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_009_deep_small_compact_sharp,test,pass,success,sharp,deep,small_compact,compact,0.014,0.008,0.0045,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_010_deep_medium_balanced_sharp,train,pass,success,sharp,deep,medium_balanced,balanced,0.022,0.012,0.005,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_011_deep_large_wide_sharp,train,pass,success,sharp,deep,large_wide,wide,0.03,0.02,0.0055,0.55,0.6,0.55,True,True,,keep_as_partial_source
rbc_pilot_012_deep_elongated_sharp,train,fail,timeout_or_bounded_skip,sharp,deep,elongated,narrow,0.03,0.01,0.006,0.55,0.6,0.55,True,False,skipped after bounded timeout in an earlier chunk,bounded_retry_then_adjusted_replacement
rbc_pilot_013_shallow_small_compact_round,train,pass,success,round,shallow,small_compact,compact,0.01,0.006,0.001,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_014_shallow_medium_balanced_round,train,pass,success,round,shallow,medium_balanced,balanced,0.016,0.009,0.0013,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_015_shallow_large_wide_round,test,pass,success,round,shallow,large_wide,wide,0.024,0.015,0.0016,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_016_shallow_elongated_round,train,pass,success,round,shallow,elongated,narrow,0.018,0.006,0.0018,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_017_medium_small_compact_round,train,pass,success,round,medium,small_compact,compact,0.012,0.007,0.0022,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_018_medium_medium_balanced_round,val,pass,success,round,medium,medium_balanced,balanced,0.019,0.0105,0.0026,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_019_medium_large_wide_round,test,pass,success,round,medium,large_wide,wide,0.027,0.0175,0.0031,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_020_medium_elongated_round,train,pass,success,round,medium,elongated,narrow,0.024,0.008,0.0035,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_021_deep_small_compact_round,train,pass,success,round,deep,small_compact,compact,0.014,0.008,0.0045,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_022_deep_medium_balanced_round,val,pass,success,round,deep,medium_balanced,balanced,0.022,0.012,0.005,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_023_deep_large_wide_round,train,pass,success,round,deep,large_wide,wide,0.03,0.02,0.0055,0.707,0.707,0.707,True,True,,keep_as_partial_source
rbc_pilot_024_deep_elongated_round,train,fail,timeout_or_bounded_skip,round,deep,elongated,narrow,0.03,0.01,0.006,0.707,0.707,0.707,True,False,skipped after bounded timeout in an earlier chunk,bounded_retry_then_adjusted_replacement
rbc_pilot_025_shallow_small_compact_boxy,train,pass,success,boxy,shallow,small_compact,compact,0.01,0.006,0.001,1.1,1.1,1.1,True,True,,keep_as_partial_source
