rank,selection_bucket,sample_id,split,png_path,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,notes
1,best_profile,rbc_v3topup_107_test_WD_dominant_shallow_balanced,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\01_best_profile_rbc_v3topup_107_test_WD_dominant_shallow_balanced.png,7.230234768940136e-05,0.11901780247159337,0.8,held-out test visualization; not used for selection
2,best_profile,rbc_v3topup_109_test_WD_dominant_shallow_narrow,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\02_best_profile_rbc_v3topup_109_test_WD_dominant_shallow_narrow.png,7.273768278537318e-05,0.0853455474252436,0.8512820512820513,held-out test visualization; not used for selection
3,best_profile,rbc_pilot_002_shallow_medium_balanced_sharp,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\03_best_profile_rbc_pilot_002_shallow_medium_balanced_sharp.png,8.17986874608323e-05,0.16045631637452834,0.7953216374269005,held-out test visualization; not used for selection
4,worst_profile,rbc_v3topup_126_test_boxy_deep_wide,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\04_worst_profile_rbc_v3topup_126_test_boxy_deep_wide.png,0.0016182089457288384,0.6060698979631832,0.8385598141695703,held-out test visualization; not used for selection
5,worst_profile,rbc_pilot_036_deep_elongated_boxy,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\05_worst_profile_rbc_pilot_036_deep_elongated_boxy.png,0.0011872889008373022,0.407443629291888,0.8875968992248062,held-out test visualization; not used for selection
6,worst_profile,rbc_v3topup_114_test_sharp_deep_balanced,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\06_worst_profile_rbc_v3topup_114_test_sharp_deep_balanced.png,0.0010615326464176178,0.5393138753714803,0.7795527156549521,held-out test visualization; not used for selection
7,best_dice,rbc_v3topup_116_test_round_medium_wide,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\07_best_dice_rbc_v3topup_116_test_round_medium_wide.png,0.0004486377874854952,0.34722666985642325,0.9819694868238558,held-out test visualization; not used for selection
8,best_dice,rbc_pilot_015_shallow_large_wide_round,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\08_best_dice_rbc_pilot_015_shallow_large_wide_round.png,0.00011575710232136771,0.17156461665950512,0.9769911504424779,held-out test visualization; not used for selection
9,best_dice,rbc_pilot_051_shallow_large_wide_WD_dominant,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\09_best_dice_rbc_pilot_051_shallow_large_wide_WD_dominant.png,0.000169957333127968,0.22366769343728704,0.9726027397260274,held-out test visualization; not used for selection
10,curvature_risk,rbc_v3topup_123_test_boxy_medium_wide,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\10_curvature_risk_rbc_v3topup_123_test_boxy_medium_wide.png,0.0004557305364869535,0.30604289519255734,0.951885565669701,held-out test visualization; not used for selection
11,curvature_risk,rbc_pilot_032_medium_elongated_boxy,test,C:\Users\19166\Desktop\PINN_project\results\previews\true_3d_rbc_profile_primary_loss_gallery\11_curvature_risk_rbc_pilot_032_medium_elongated_boxy.png,0.0003559849283192307,0.20942375436913416,0.6666666666666666,held-out test visualization; not used for selection
