sample_id,split,curvature_template,depth_bin,size_bin,aspect_bin,L_m,W_m,D_m,wLD,wWD,wLW,source_dataset_id,schema_pass
rbc_pilot_001_shallow_small_compact_sharp,val,sharp,shallow,small_compact,compact,0.01,0.006,0.001,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_002_shallow_medium_balanced_sharp,test,sharp,shallow,medium_balanced,balanced,0.016,0.009,0.0013,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_003_shallow_large_wide_sharp,train,sharp,shallow,large_wide,wide,0.024,0.015,0.0016,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_004_shallow_elongated_sharp,train,sharp,shallow,elongated,narrow,0.018,0.006,0.0018,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_005_medium_small_compact_sharp,val,sharp,medium,small_compact,compact,0.012,0.007,0.0022,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_006_medium_medium_balanced_sharp,train,sharp,medium,medium_balanced,balanced,0.019,0.0105,0.0026,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_007_medium_large_wide_sharp,train,sharp,medium,large_wide,wide,0.027,0.0175,0.0031,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_008_medium_elongated_sharp,train,sharp,medium,elongated,narrow,0.024,0.008,0.0035,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,small_compact,compact,0.014,0.008,0.0045,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_010_deep_medium_balanced_sharp,train,sharp,deep,medium_balanced,balanced,0.022,0.012,0.005,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_011_deep_large_wide_sharp,train,sharp,deep,large_wide,wide,0.03,0.02,0.0055,0.55,0.6,0.55,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_013_shallow_small_compact_round,train,round,shallow,small_compact,compact,0.01,0.006,0.001,0.707,0.707,0.707,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_014_shallow_medium_balanced_round,train,round,shallow,medium_balanced,balanced,0.016,0.009,0.0013,0.707,0.707,0.707,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_015_shallow_large_wide_round,test,round,shallow,large_wide,wide,0.024,0.015,0.0016,0.707,0.707,0.707,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_016_shallow_elongated_round,train,round,shallow,elongated,narrow,0.018,0.006,0.0018,0.707,0.707,0.707,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_017_medium_small_compact_round,train,round,medium,small_compact,compact,0.012,0.007,0.0022,0.707,0.707,0.707,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_018_medium_medium_balanced_round,val,round,medium,medium_balanced,balanced,0.019,0.0105,0.0026,0.707,0.707,0.707,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_019_medium_large_wide_round,test,round,medium,large_wide,wide,0.027,0.0175,0.0031,0.707,0.707,0.707,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_020_medium_elongated_round,train,round,medium,elongated,narrow,0.024,0.008,0.0035,0.707,0.707,0.707,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
rbc_pilot_021_deep_small_compact_round,train,round,deep,small_compact,compact,0.014,0.008,0.0045,0.707,0.707,0.707,comsol_true_3d_rbc_imported_watertight_pilot_v1_assembled,True
