model,seed,selected_seed,split,param,sample_count,normalized_mae,physical_mae,physical_mae_mm,relative_mae,r2
conv1d_rbc_param_gate,42,True,train,L_m,76,0.44129160046577454,0.0027817797381430864,2.7817797660827637,0.14056099951267242,0.6945145676614561
conv1d_rbc_param_gate,42,True,train,W_m,76,0.5244561433792114,0.0023815142922103405,2.381514310836792,0.2346430867910385,0.577785837006539
conv1d_rbc_param_gate,42,True,train,D_m,76,0.71171635389328,0.0010950450086966157,1.0950449705123901,0.3914322555065155,0.1544288464534238
conv1d_rbc_param_gate,42,True,train,wLD,76,0.9369803071022034,0.22533302009105682,,,-0.07788384065927323
conv1d_rbc_param_gate,42,True,train,wWD,76,0.877366304397583,0.19372399151325226,,,0.0019231728233441991
conv1d_rbc_param_gate,42,True,train,wLW,76,0.9434011578559875,0.20176753401756287,,,-0.0019714882445571735
conv1d_rbc_param_gate,42,True,train,ALL,76,0.7392020225524902,0.10451380163431168,,,
conv1d_rbc_param_gate,42,True,train,DIMENSION_MEAN,76,0.5591546297073364,0.0020861129742115736,2.0861129760742188,,
conv1d_rbc_param_gate,42,True,train,CURVATURE_MEAN,76,0.9192492961883545,0.20694150030612946,,,
conv1d_rbc_param_gate,42,True,val,L_m,18,0.39295274019241333,0.0024770647287368774,2.477064609527588,0.12972255051136017,0.7081057060154168
conv1d_rbc_param_gate,42,True,val,W_m,18,0.42599621415138245,0.0019344157772138715,1.9344158172607422,0.19271951913833618,0.588166647278983
conv1d_rbc_param_gate,42,True,val,D_m,18,0.8678697347640991,0.0013353023678064346,1.3353023529052734,0.41666868329048157,0.0025315624875417164
conv1d_rbc_param_gate,42,True,val,wLD,18,0.8833104372024536,0.21242602169513702,,,-0.29316382896719473
conv1d_rbc_param_gate,42,True,val,wWD,18,0.8585003614425659,0.18955835700035095,,,-0.2630951889955624
conv1d_rbc_param_gate,42,True,val,wLW,18,0.7787431478500366,0.16655170917510986,,,-0.1465468738990705
conv1d_rbc_param_gate,42,True,val,ALL,18,0.701228678226471,0.09571380913257599,,,
conv1d_rbc_param_gate,42,True,val,DIMENSION_MEAN,18,0.562272846698761,0.0019155940972268581,1.9155941009521484,,
conv1d_rbc_param_gate,42,True,val,CURVATURE_MEAN,18,0.8401846885681152,0.18951207399368286,,,
conv1d_rbc_param_gate,42,True,test,L_m,18,0.3975295424461365,0.002505915705114603,2.505915641784668,0.11437416076660156,0.7533648292748694
