variant,seed,selected_by_validation,split,sample_count,selection_score,normalized_param_mae,dimension_mae_norm,curvature_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,curvature_delta_vs_reference,dimension_delta_vs_reference,dice_delta_vs_reference,notes
C0_reference_20_77,42,False,train,162,,0.6461113923125796,0.4468101876799339,0.8454125907134127,1.8511671239487182,2.035119338122047,0.8981590448292317,0.19226883443785303,0.18994916294827874,0.17381475185170586,0.18534424889510798,0.7614980454774725,0.8562088055848226,0.0004272178392528548,0.0,0.0,0.0,
C0_reference_20_77,42,False,val,39,0.9624091105105785,0.7486944236816504,0.5487817963346456,0.9486070420497503,2.5295834308251357,2.2502389185321636,1.1248635611472986,0.21566433020127126,0.211593950406099,0.19649168314077917,0.20791665512399796,0.7298490255306381,0.8315550804306858,0.0005162771157278584,0.0,0.0,0.0,
C0_reference_20_77,42,False,test,39,,0.6780143536818333,0.4387845003213256,0.9172442085467852,1.8918915996566796,2.1857599088778863,0.8002313476246901,0.2094394748027508,0.20446911683449379,0.18931882809369993,0.20107580616306037,0.7506502455785019,0.8477271366767738,0.0003877372636895579,0.0,0.0,0.0,
C1_split_heads,42,True,train,162,,0.5237991531827936,0.4307582875092824,0.6168400214088184,1.998844347158332,1.8865950711899333,0.8388083787795938,0.15143069404142875,0.13802549721282206,0.11756870849632922,0.13567496658831743,0.7726631728111448,0.8637195406544783,0.00042010102872693634,-0.049669282306790546,-0.0160519001706515,0.007510735069655716,
C1_split_heads,42,True,val,39,0.9333009656186257,0.723060226211181,0.5580656702319781,0.8880547980467478,2.581577228047909,2.3473545756095495,1.121570186355175,0.20064307023317385,0.2141123918386606,0.17053397038044074,0.19509647724529108,0.7152172405699827,0.8207614130466496,0.0005497780230843301,-0.012820177878706873,0.009283873897332429,-0.010793667384036199,
C1_split_heads,42,True,test,39,,0.7533873075093979,0.5443614702194165,0.9624131419337713,2.660231047715896,2.135249491303395,1.1115478296310475,0.2320939057912582,0.21763882270226112,0.18501947017816398,0.21158406477517042,0.7282398476842469,0.8345969696140306,0.0005550889249067181,0.01050825861211005,0.1055769698980909,-0.01313016706274317,
C2_split_heads_curv_weight_1p5,42,False,train,162,,0.519779123549844,0.4072841022991472,0.6322741382237937,1.9151330267389615,1.6774171435124712,0.8230271349419598,0.15950522672982864,0.1434980520495662,0.11492650266046878,0.13930992732100464,0.7899557727265619,0.8781230668634475,0.00037880045772594096,-0.04603432157410334,-0.039526085380786724,0.021914261278624947,
C2_split_heads_curv_weight_1p5,42,False,val,39,0.9792768061743369,0.760040744757041,0.5735802092613318,0.9465012825452365,2.5780130380239243,2.3218920127703595,1.202105801170453,0.22331225719207373,0.2160163919130961,0.18450341469202286,0.20794402081996965,0.7188020155450975,0.8260749888802382,0.0005804340618898352,2.7365695971698356e-05,0.024798412926686164,-0.005480091550447597,
C2_split_heads_curv_weight_1p5,42,False,test,39,,0.6603275598623813,0.4375589090662125,0.883096202252767,2.0168967623359118,1.8158585347044163,0.8895222038412706,0.21217928024438712,0.1985753927475367,0.1714810942992186,0.1940785895746488,0.7715570846062189,0.8646732951283309,0.0004188422076717521,-0.00699721658841157,-0.0012255912551131232,0.016946158451557114,
C3_stronger_encoder_feature_fusion,42,False,train,162,,0.11096692901035701,0.09416625703351549,0.1277676000684517,0.487972338396458,0.3660791277149577,0.18655861200718785,0.02352740036116706,0.032140789208588774,0.02800461061206865,0.027890933331092792,0.9380377230728818,0.9670519715920887,8.62000342005648e-05,-0.15745331556401518,-0.3526439306464184,0.11084316600726607,
C3_stronger_encoder_feature_fusion,42,False,val,39,0.9455503468712172,0.7380294295457693,0.5047711485471481,0.9712877143652011,2.275033480463884,2.0930889329084983,1.039451175297682,0.22658952994224352,0.2168948451677958,0.19591574943982637,0.2131333752320363,0.750923490843166,0.8447476404371096,0.0005287675250236554,0.005216720108038336,-0.044010647787497525,0.01319256000642377,
C3_stronger_encoder_feature_fusion,42,False,test,39,,0.7403749997417132,0.48423763116200763,0.9965123680826181,2.2706140608359604,2.021053107121052,0.97102976962924,0.2402113676071167,0.21961834033330283,0.1968590464347448,0.21889625142256802,0.7503804982295859,0.8473552008973229,0.00046301657344790723,0.017820445259507656,0.04545313084068203,-0.00037193577945093814,
