case_type,rank,sample_id,split,curvature_template,depth_bin,aspect_bin,normalized_param_mae_mean,dimension_param_mae_norm,curvature_mae_mean,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,notes
highest_total_param_error,1,rbc_v3topup_111_test_sharp_medium_wide,test,sharp,medium,wide,1.4077297449111938,1.064872145652771,0.38211870193481445,1.2550522089004517,6.9337358474731445,2.209545373916626,0.39690786600112915,0.34172022342681885,0.40772807598114014,0.6558823529411765,0.7921847246891652,0.0012877670815214515,ranked by normalized_param_mae_mean
highest_total_param_error,2,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,1.3345698118209839,0.6052327752113342,0.4518102705478668,4.100456714630127,1.322221040725708,1.3119603395462036,0.5113973021507263,0.3872179388999939,0.4568156599998474,0.5058823529411764,0.671875,0.0007191899348981678,ranked by normalized_param_mae_mean
highest_total_param_error,3,rbc_pilot_051_shallow_large_wide_WD_dominant,test,WD_dominant,shallow,wide,1.2188555002212524,1.209633469581604,0.26767176389694214,1.4223568439483643,5.670246601104736,3.260158061981201,0.09772706031799316,0.46445274353027344,0.24083548784255981,0.609271523178808,0.757201646090535,0.0013352383393794298,ranked by normalized_param_mae_mean
highest_total_param_error,4,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,1.2033631801605225,0.658661425113678,0.3815804421901703,1.934822678565979,0.9402772188186646,2.219127655029297,0.3628476858139038,0.385583758354187,0.39630985260009766,0.9326424870466321,0.9651474530831099,0.000739137816708535,ranked by normalized_param_mae_mean
highest_total_param_error,5,rbc_pilot_002_shallow_medium_balanced_sharp,test,sharp,shallow,balanced,1.2030380964279175,0.34306320548057556,0.45316287875175476,0.9275991320610046,0.9773122072219849,1.0099207162857056,0.5904216170310974,0.33228880167007446,0.43677818775177,0.9245283018867925,0.9607843137254902,0.0006042915629222989,ranked by normalized_param_mae_mean
highest_curvature_error,1,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,1.1560460329055786,0.23147408664226532,0.4554925858974457,2.8316843509674072,0.6839008927345276,0.13033953309059143,0.4491071105003357,0.478330135345459,0.4390404224395752,0.7549407114624506,0.8603603603603603,0.0007299243006855249,ranked by curvature_mae_mean
highest_curvature_error,2,rbc_pilot_002_shallow_medium_balanced_sharp,test,sharp,shallow,balanced,1.2030380964279175,0.34306320548057556,0.45316287875175476,0.9275991320610046,0.9773122072219849,1.0099207162857056,0.5904216170310974,0.33228880167007446,0.43677818775177,0.9245283018867925,0.9607843137254902,0.0006042915629222989,ranked by curvature_mae_mean
highest_curvature_error,3,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,1.3345698118209839,0.6052327752113342,0.4518102705478668,4.100456714630127,1.322221040725708,1.3119603395462036,0.5113973021507263,0.3872179388999939,0.4568156599998474,0.5058823529411764,0.671875,0.0007191899348981678,ranked by curvature_mae_mean
highest_curvature_error,4,rbc_v3topup_110_test_sharp_medium_compact,test,sharp,medium,compact,1.0898714065551758,0.16406913101673126,0.4399389326572418,0.808136522769928,0.4133419096469879,0.41166216135025024,0.3931381106376648,0.47595423460006714,0.45072442293167114,0.7922077922077922,0.8840579710144928,0.00017964317521546036,ranked by curvature_mae_mean
highest_curvature_error,5,rbc_v3topup_111_test_sharp_medium_wide,test,sharp,medium,wide,1.4077297449111938,1.064872145652771,0.38211870193481445,1.2550522089004517,6.9337358474731445,2.209545373916626,0.39690786600112915,0.34172022342681885,0.40772807598114014,0.6558823529411765,0.7921847246891652,0.0012877670815214515,ranked by curvature_mae_mean
highest_D_m_error,1,rbc_pilot_051_shallow_large_wide_WD_dominant,test,WD_dominant,shallow,wide,1.2188555002212524,1.209633469581604,0.26767176389694214,1.4223568439483643,5.670246601104736,3.260158061981201,0.09772706031799316,0.46445274353027344,0.24083548784255981,0.609271523178808,0.757201646090535,0.0013352383393794298,ranked by D_mae_mm
highest_D_m_error,2,rbc_v3topup_125_test_boxy_shallow_balanced,test,boxy,shallow,balanced,0.6722509264945984,0.936313807964325,0.08854595571756363,4.3730549812316895,1.5561050176620483,2.6807596683502197,0.030164718627929688,0.14396411180496216,0.09150904417037964,0.6797752808988764,0.8093645484949833,0.0012496222043409944,ranked by D_mae_mm
highest_D_m_error,3,rbc_pilot_015_shallow_large_wide_round,test,round,shallow,wide,1.1020313501358032,0.6414909958839417,0.34200015664100647,1.1572315692901611,0.31184589862823486,2.5453596115112305,0.325955867767334,0.37153398990631104,0.3285106420516968,0.8544891640866873,0.9215358931552587,0.0013233661884441972,ranked by D_mae_mm
highest_D_m_error,4,rbc_v3topup_112_test_sharp_shallow_balanced,test,sharp,shallow,balanced,1.1436604261398315,0.9198014140129089,0.2993314266204834,4.949618339538574,1.4045722484588623,2.5147910118103027,0.38107210397720337,0.200092613697052,0.3168295621871948,0.6011560693641619,0.7509025270758123,0.0012170117115601897,ranked by D_mae_mm
highest_D_m_error,5,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,1.2033631801605225,0.658661425113678,0.3815804421901703,1.934822678565979,0.9402772188186646,2.219127655029297,0.3628476858139038,0.385583758354187,0.39630985260009766,0.9326424870466321,0.9651474530831099,0.000739137816708535,ranked by D_mae_mm
lowest_projected_mask_dice,1,rbc_v2topup_077_buffer_shallow_small_compact_sharp,test,sharp,shallow,compact,1.1006102561950684,0.7996542453765869,0.30674484372138977,6.719691753387451,1.4305198192596436,1.520526647567749,0.3165576457977295,0.30098479986190796,0.3026920557022095,0.4368932038834951,0.6081081081081081,0.0007605048012919724,ranked by projected_mask_dice
lowest_projected_mask_dice,2,rbc_v2topup_052_deep_large_wide_WD_dominant,test,WD_dominant,deep,wide,0.8426453471183777,1.1106767654418945,0.12492498010396957,8.0004243850708,7.323441982269287,0.6270254850387573,0.023491084575653076,0.23639029264450073,0.11489355564117432,0.44654088050314467,0.6173913043478261,0.00040190116851590574,ranked by projected_mask_dice
lowest_projected_mask_dice,3,rbc_v3topup_127_test_LD_dominant_shallow_wide,test,LD_dominant,shallow,wide,0.7895188331604004,1.0528563261032104,0.11998637765645981,5.7064666748046875,4.998866558074951,1.7165231704711914,0.20209026336669922,0.1573459506034851,0.000522911548614502,0.5033557046979866,0.6696428571428571,0.0008128267945721745,ranked by projected_mask_dice
lowest_projected_mask_dice,4,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,1.3345698118209839,0.6052327752113342,0.4518102705478668,4.100456714630127,1.322221040725708,1.3119603395462036,0.5113973021507263,0.3872179388999939,0.4568156599998474,0.5058823529411764,0.671875,0.0007191899348981678,ranked by projected_mask_dice
lowest_projected_mask_dice,5,rbc_v3topup_117_test_round_medium_narrow,test,round,medium,narrow,0.6659806370735168,0.5864774584770203,0.16243572533130646,1.0709147453308105,6.082753658294678,0.35437196493148804,0.11469227075576782,0.2076587677001953,0.16495615243911743,0.5475285171102662,0.7076167076167076,0.00029472311143763363,ranked by projected_mask_dice
mask_good_but_curvature_bad,1,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,1.1560460329055786,0.23147408664226532,0.4554925858974457,2.8316843509674072,0.6839008927345276,0.13033953309059143,0.4491071105003357,0.478330135345459,0.4390404224395752,0.7549407114624506,0.8603603603603603,0.0007299243006855249,ranked by curvature_mae_mean
