section,reference,metric,value,source,notes
identity,v3_240,dataset_id,comsol_true_3d_rbc_imported_watertight_pilot_v3_240,C:\Users\19166\Desktop\PINN_project\results\manifests\comsol_true_3d_rbc_imported_watertight_pilot_v3_240.manifest.json,
identity,v3_240,status,pilot_generated,C:\Users\19166\Desktop\PINN_project\results\manifests\comsol_true_3d_rbc_imported_watertight_pilot_v3_240.manifest.json,
identity,v3_240,train_ready_candidate,True,C:\Users\19166\Desktop\PINN_project\results\manifests\comsol_true_3d_rbc_imported_watertight_pilot_v3_240.manifest.json,
identity,v3_240,baseline_ready,False,C:\Users\19166\Desktop\PINN_project\results\manifests\comsol_true_3d_rbc_imported_watertight_pilot_v3_240.manifest.json,must remain false
identity,v3_240,input_shape_delta_b,"[240, 3, 3, 201]",C:\Users\19166\Desktop\PINN_project\results\manifests\comsol_true_3d_rbc_imported_watertight_pilot_v3_240.manifest.json,
identity,v3_240,input_shape_conv1d,"[240, 9, 201]",C:\Users\19166\Desktop\PINN_project\results\manifests\comsol_true_3d_rbc_imported_watertight_pilot_v3_240.manifest.json,
identity,v3_240,split_counts,"{'train': 162, 'val': 39, 'test': 39}",C:\Users\19166\Desktop\PINN_project\results\manifests\comsol_true_3d_rbc_imported_watertight_pilot_v3_240.manifest.json,
features,20.80,feature_columns,642,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_piao_nls_features.csv,
features,20.80,feature_group_counts,"{""F0_existing_handcrafted"": ""135"", ""F1_peak_shape"": ""216"", ""F2_gradient_asymmetry"": ""90"", ""F3_cross_axis"": ""51"", ""F4_nls_curve_fit"": ""108"", ""F5_curvature_focused"": ""42""}",C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_piao_nls_feature_quality.csv,
features,20.80,selected_feature_set,F0_F1_F2_basic_physical,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_piao_nls_feature_regression_metrics.csv,
features,20.80,selected_model,svr_rbf_C10_eps0.03,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_piao_nls_feature_regression_metrics.csv,
reference,20.77_neural,selected_seed,42,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_neural_training_gate_seed_summary.csv,
reference,20.77_neural,train_val_test_total_mae,0.6461113923125796/0.7486944236816504/0.6780143536818333,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_neural_training_gate_seed_summary.csv,
reference,20.77_neural,test_total_mae,0.6780143536818333,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_neural_training_gate_seed_summary.csv,
reference,20.77_neural,test_LWD_mae_mm,1.8918915996566796/2.1857599088778863/0.8002313476246901,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_neural_training_gate_seed_summary.csv,
reference,20.77_neural,test_curvature_mae,0.20107580616306037,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_neural_training_gate_seed_summary.csv,
reference,20.77_neural,test_wLD_wWD_wLW,0.2094394713640213/0.20446909964084625/0.18931882083415985,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_neural_training_gate_metrics.csv,
reference,20.77_neural,test_iou_dice,0.7506502455785019/0.8477271366767738,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_neural_training_gate_seed_summary.csv,
reference,20.77_neural,test_profile_depth_rmse_m,0.0003877372636895579,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_neural_training_gate_seed_summary.csv,
reference,20.80_feature_only,test_total_mae,0.6957241464883853,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_piao_nls_feature_regression_metrics.csv,
reference,20.80_feature_only,test_LWD_mae_mm,2.5945624946019588/2.3609011820875683/0.9663975906486695,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_piao_nls_feature_regression_metrics.csv,
reference,20.80_feature_only,test_curvature_mae,0.1903038014872716,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_piao_nls_feature_regression_metrics.csv,
reference,20.80_feature_only,test_wLD_wWD_wLW,0.2096490095823239/0.1947971781094869/0.1664652182505681,C:\Users\19166\Desktop\PINN_project\results\metrics\true_3d_rbc_v3_240_piao_nls_feature_regression_metrics.csv,
