metric,reference_label,current_label,reference_value,current_value,delta,improved,notes
total_normalized_mae,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.6780143536818333,0.667888397971789,-0.010125955710044265,True,selected by validation; test final only
total_normalized_mae,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.6957241464883853,0.667888397971789,-0.027835748516596315,True,selected by validation; test final only
total_normalized_mae,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.7533873075093979,0.667888397971789,-0.08549890953760886,True,selected by validation; test final only
L_mae_mm,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,1.8918915996566796,2.0303866893817215,0.13849508972504188,False,selected by validation; test final only
L_mae_mm,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,2.5945624946019588,2.0303866893817215,-0.5641758052202372,True,selected by validation; test final only
L_mae_mm,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,2.660231047715896,2.0303866893817215,-0.6298443583341746,True,selected by validation; test final only
W_mae_mm,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,2.1857599088778863,1.8066299970333393,-0.37912991184454703,True,selected by validation; test final only
W_mae_mm,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,2.3609011820875683,1.8066299970333393,-0.554271185054229,True,selected by validation; test final only
W_mae_mm,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,2.135249491303395,1.8066299970333393,-0.32861949427005555,True,selected by validation; test final only
D_mae_mm,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.8002313476246901,0.9566183099761988,0.15638696235150873,False,selected by validation; test final only
D_mae_mm,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.9663975906486695,0.9566183099761988,-0.009779280672470692,True,selected by validation; test final only
D_mae_mm,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,1.1115478296310475,0.9566183099761988,-0.1549295196548487,True,selected by validation; test final only
curvature_mae,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.20107580616306037,0.19448333899848735,-0.006592467164573013,True,selected by validation; test final only
curvature_mae,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.1903038014872716,0.19448333899848735,0.004179537511215747,False,selected by validation; test final only
curvature_mae,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.21158406477517042,0.19448333899848735,-0.017100725776683062,True,selected by validation; test final only
wLD_abs_error,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.2094394713640213,0.21707869340211916,0.007639222038097859,False,selected by validation; test final only
wLD_abs_error,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.2096490095823239,0.21707869340211916,0.007429683819795252,False,selected by validation; test final only
wLD_abs_error,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.2320939057912582,0.21707869340211916,-0.015015212389139027,True,selected by validation; test final only
wWD_abs_error,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.20446909964084625,0.20230379012914804,-0.0021653095116982157,True,selected by validation; test final only
wWD_abs_error,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.1947971781094869,0.20230379012914804,0.00750661201966113,False,selected by validation; test final only
wWD_abs_error,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.21763882270226112,0.20230379012914804,-0.015335032573113083,True,selected by validation; test final only
wLW_abs_error,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.18931882083415985,0.1640675358283214,-0.025251285005838453,True,selected by validation; test final only
wLW_abs_error,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.1664652182505681,0.1640675358283214,-0.002397682422246694,True,selected by validation; test final only
wLW_abs_error,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.18501947017816398,0.1640675358283214,-0.020951934349842577,True,selected by validation; test final only
projected_mask_iou,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.7506502455785019,0.77454093657963,0.02389069100112806,True,selected by validation; test final only
projected_mask_iou,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.7145338928326161,0.77454093657963,0.06000704374701382,True,selected by validation; test final only
projected_mask_iou,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.7282398476842469,0.77454093657963,0.04630108889538309,True,selected by validation; test final only
projected_mask_dice,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.8477271366767738,0.8665725224434271,0.01884538576665329,True,selected by validation; test final only
projected_mask_dice,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.8262715758785393,0.8665725224434271,0.04030094656488781,True,selected by validation; test final only
projected_mask_dice,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.8345969696140306,0.8665725224434271,0.03197555282939646,True,selected by validation; test final only
profile_depth_rmse_m,20.77_neural,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.0003877372636895579,0.00044529733223988354,5.756006855032564e-05,False,selected by validation; test final only
profile_depth_rmse_m,20.80_feature_only,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.0004496398864713951,0.00044529733223988354,-4.342554231511549e-06,True,selected by validation; test final only
profile_depth_rmse_m,20.79_failed_refinement,H3_curv_fusion_F0F1F2_w1p0::seed2026,0.0005550889249067181,0.00044529733223988354,-0.00010979159266683453,True,selected by validation; test final only
