case_type,rank,group_field,group_value,sample_count,curvature_mae,wLD_abs_error,wWD_abs_error,wLW_abs_error,total_normalized_mae,projected_mask_dice,profile_depth_rmse_m,notes
worst_curvature_template_by_curvature,1,curvature_template,boxy,7,0.25984704068728853,0.275864166872842,0.23501016412462508,0.26866679532187326,0.896787336894444,0.8362728186814212,0.0005750599209152694,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_curvature_template_by_curvature,2,curvature_template,sharp,8,0.2366491574794054,0.217767171561718,0.25012290477752686,0.24205739051103592,0.7694732956588268,0.8290022600137663,0.0005052449159848038,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_curvature_template_by_curvature,3,curvature_template,LD_dominant,8,0.1708228588104248,0.2814876437187195,0.11910440027713776,0.11187653988599777,0.6271452866494656,0.8410629936217418,0.00041869790584314615,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_curvature_template_by_curvature,4,curvature_template,round,8,0.15267760935239494,0.15426943451166153,0.15825296938419342,0.14551042765378952,0.6014285162091255,0.8164988805663884,0.0002640385337144835,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_curvature_template_by_curvature,5,curvature_template,WD_dominant,8,0.14021524600684643,0.12713352590799332,0.21652207523584366,0.07699013501405716,0.608919195830822,0.8097710818597388,0.000500835660204757,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_depth_bin_by_curvature,1,depth_bin,deep,11,0.2032186734405431,0.23153599283911966,0.21723112734881314,0.16088890487497504,0.7860649065537886,0.8243024333458933,0.0006090357637731358,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_depth_bin_by_curvature,2,depth_bin,shallow,17,0.1937924350666649,0.21172817314372344,0.19299646686105168,0.17665266640046062,0.6847876853802625,0.8100097678004806,0.0004240698352291742,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_depth_bin_by_curvature,3,depth_bin,medium,11,0.17199740491130136,0.1845487735488198,0.175146146254106,0.15629729357632724,0.6222851899537173,0.8533726036227304,0.0003297613610894504,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_aspect_bin_by_curvature,1,aspect_bin,compact,9,0.24734236631128523,0.2541199525197347,0.26810726192262435,0.21979988283581203,0.8206144769986471,0.7617744401863842,0.0004635268754403417,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_aspect_bin_by_curvature,2,aspect_bin,balanced,9,0.1968256655252642,0.20996802382998997,0.19964276419745552,0.1808662149641249,0.657281306054857,0.8767294260677603,0.00039244167015163437,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_aspect_bin_by_curvature,3,aspect_bin,narrow,9,0.17477600193685955,0.23166310787200928,0.15066858132680258,0.1419963174396091,0.6544998188813528,0.8099369192912925,0.0003695273254480627,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_aspect_bin_by_curvature,4,aspect_bin,wide,12,0.15427932950357595,0.15954596797625223,0.16927687327067056,0.1340151478846868,0.6618067746361097,0.8490520324461749,0.0005422077277520051,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_size_bin_by_curvature,1,size_bin,small_compact,9,0.24734236631128523,0.2541199525197347,0.26810726192262435,0.21979988283581203,0.8206144769986471,0.7617744401863842,0.0004635268754403417,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_size_bin_by_curvature,2,size_bin,medium_balanced,9,0.1968256655252642,0.20996802382998997,0.19964276419745552,0.1808662149641249,0.657281306054857,0.8767294260677603,0.00039244167015163437,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_size_bin_by_curvature,3,size_bin,elongated,9,0.17477600193685955,0.23166310787200928,0.15066858132680258,0.1419963174396091,0.6544998188813528,0.8099369192912925,0.0003695273254480627,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
worst_size_bin_by_curvature,4,size_bin,large_wide,12,0.15427932950357595,0.15954596797625223,0.16927687327067056,0.1340151478846868,0.6618067746361097,0.8490520324461749,0.0005422077277520051,group-level failure case; sample-level predictions are not persisted to avoid nonselected test ranking
